year,month,Region,Province,City,EMP_w,observed,needs_projection,POP15p_n,LF_n,projection_reliance,months_observed
2024,1,NCR,NCR,Caloocan City,466093,TRUE,FALSE,,,,
2024,2,NCR,NCR,Caloocan City,541479,TRUE,FALSE,,,,
2024,3,NCR,NCR,Caloocan City,457025,TRUE,FALSE,,,,
2024,4,NCR,NCR,Caloocan City,409008,TRUE,FALSE,,,,
2024,5,NCR,NCR,Caloocan City,464020,TRUE,FALSE,,,,
2024,6,NCR,NCR,Caloocan City,402897,TRUE,FALSE,,,,
2024,7,NCR,NCR,Caloocan City,446730,TRUE,FALSE,,,,
2024,8,NCR,NCR,Caloocan City,559353,TRUE,FALSE,,,,
2024,9,NCR,NCR,Caloocan City,468326,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,10,NCR,NCR,Caloocan City,468326,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,11,NCR,NCR,Caloocan City,468326,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,12,NCR,NCR,Caloocan City,468326,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,1,NCR,NCR,City of Manila,1003410,TRUE,FALSE,,,,
2024,2,NCR,NCR,City of Manila,736978,TRUE,FALSE,,,,
2024,3,NCR,NCR,City of Manila,857379,TRUE,FALSE,,,,
2024,4,NCR,NCR,City of Manila,871315,TRUE,FALSE,,,,
2024,5,NCR,NCR,City of Manila,900296,TRUE,FALSE,,,,
2024,6,NCR,NCR,City of Manila,741236,TRUE,FALSE,,,,
2024,7,NCR,NCR,City of Manila,901567,TRUE,FALSE,,,,
2024,8,NCR,NCR,City of Manila,827307,TRUE,FALSE,,,,
2024,9,NCR,NCR,City of Manila,854936,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,10,NCR,NCR,City of Manila,854936,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,11,NCR,NCR,City of Manila,854936,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,12,NCR,NCR,City of Manila,854936,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,1,NCR,NCR,Las Pinas City,227117,TRUE,FALSE,,,,
2024,2,NCR,NCR,Las Pinas City,205736,TRUE,FALSE,,,,
2024,3,NCR,NCR,Las Pinas City,204184,TRUE,FALSE,,,,
2024,4,NCR,NCR,Las Pinas City,212738,TRUE,FALSE,,,,
2024,5,NCR,NCR,Las Pinas City,224541,TRUE,FALSE,,,,
2024,6,NCR,NCR,Las Pinas City,188571,TRUE,FALSE,,,,
2024,7,NCR,NCR,Las Pinas City,219596,TRUE,FALSE,,,,
2024,8,NCR,NCR,Las Pinas City,186414,TRUE,FALSE,,,,
2024,9,NCR,NCR,Las Pinas City,208612,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,10,NCR,NCR,Las Pinas City,208612,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,11,NCR,NCR,Las Pinas City,208612,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,12,NCR,NCR,Las Pinas City,208612,FALSE,FALSE,,,EMP_w_city_mean_2024,8
2024,1,NCR,NCR,Makati City,711049,TRUE,FALSE,,,,
2024,2,NCR,NCR,Makati City,682679,TRUE,FALSE,,,,
2024,3,NCR,NCR,Makati City,577315,TRUE,FALSE,,,,
