Region,City/Province,Year,Price Type,Value
National Capital Region (NCR),N/A,2018,At Current Prices,228147
National Capital Region (NCR),N/A,2019,At Current Prices,244668
National Capital Region (NCR),N/A,2020,At Current Prices,225603
National Capital Region (NCR),N/A,2021,At Current Prices,231661
National Capital Region (NCR),N/A,2022,At Current Prices,265513
National Capital Region (NCR),N/A,2023,At Current Prices,291144
National Capital Region (NCR),N/A,2018,At Constant 2018 Prices,228147
National Capital Region (NCR),N/A,2019,At Constant 2018 Prices,239835
National Capital Region (NCR),N/A,2020,At Constant 2018 Prices,216784
National Capital Region (NCR),N/A,2021,At Constant 2018 Prices,215215
National Capital Region (NCR),N/A,2022,At Constant 2018 Prices,234519
National Capital Region (NCR),N/A,2023,At Constant 2018 Prices,245606
Cordillera Administrative Region (CAR),N/A,2018,At Current Prices,124841
Cordillera Administrative Region (CAR),N/A,2019,At Current Prices,131679
Cordillera Administrative Region (CAR),N/A,2020,At Current Prices,123349
Cordillera Administrative Region (CAR),N/A,2021,At Current Prices,137779
Cordillera Administrative Region (CAR),N/A,2022,At Current Prices,155007
Cordillera Administrative Region (CAR),N/A,2023,At Current Prices,171372
Cordillera Administrative Region (CAR),N/A,2018,At Constant 2018 Prices,124841
Cordillera Administrative Region (CAR),N/A,2019,At Constant 2018 Prices,129731
Cordillera Administrative Region (CAR),N/A,2020,At Constant 2018 Prices,118215
Cordillera Administrative Region (CAR),N/A,2021,At Constant 2018 Prices,126595
Cordillera Administrative Region (CAR),N/A,2022,At Constant 2018 Prices,133960
Cordillera Administrative Region (CAR),N/A,2023,At Constant 2018 Prices,139681
Region I (Ilocos Region),N/A,2018,At Current Prices,114290
Region I (Ilocos Region),N/A,2019,At Current Prices,121262
Region I (Ilocos Region),N/A,2020,At Current Prices,113150
Region I (Ilocos Region),N/A,2021,At Current Prices,122287
Region I (Ilocos Region),N/A,2022,At Current Prices,134483
Region I (Ilocos Region),N/A,2023,At Current Prices,149217
Region I (Ilocos Region),N/A,2018,At Constant 2018 Prices,114290
Region I (Ilocos Region),N/A,2019,At Constant 2018 Prices,119069
Region I (Ilocos Region),N/A,2020,At Constant 2018 Prices,108557
Region I (Ilocos Region),N/A,2021,At Constant 2018 Prices,112565
Region I (Ilocos Region),N/A,2022,At Constant 2018 Prices,116954
Region I (Ilocos Region),N/A,2023,At Constant 2018 Prices,122907
Region II (Cagayan Valley),N/A,2018,At Current Prices,87647
Region II (Cagayan Valley),N/A,2019,At Current Prices,94126
Region II (Cagayan Valley),N/A,2020,At Current Prices,88128
Region II (Cagayan Valley),N/A,2021,At Current Prices,100780
Region II (Cagayan Valley),N/A,2022,At Current Prices,113760
Region II (Cagayan Valley),N/A,2023,At Current Prices,125099
Region II (Cagayan Valley),N/A,2018,At Constant 2018 Prices,87647
Region II (Cagayan Valley),N/A,2019,At Constant 2018 Prices,92788
Region II (Cagayan Valley),N/A,2020,At Constant 2018 Prices,84067
Region II (Cagayan Valley),N/A,2021,At Constant 2018 Prices,90719
Region II (Cagayan Valley),N/A,2022,At Constant 2018 Prices,96060
Region II (Cagayan Valley),N/A,2023,At Constant 2018 Prices,100810
Region III (Central Luzon),N/A,2018,At Current Prices,151004
Region III (Central Luzon),N/A,2019,At Current Prices,160106
Region III (Central Luzon),N/A,2020,At Current Prices,149709
Region III (Central Luzon),N/A,2021,At Current Prices,155646
Region III (Central Luzon),N/A,2022,At Current Prices,176296
Region III (Central Luzon),N/A,2023,At Current Prices,194820
Region III (Central Luzon),N/A,2018,At Constant 2018 Prices,151004
Region III (Central Luzon),N/A,2019,At Constant 2018 Prices,156501
Region III (Central Luzon),N/A,2020,At Constant 2018 Prices,142924
