YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,1,1,0.4,29.0,24.0,83,6,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,2,22.4,27.8,23.2,83,5,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,3,96.2,27.0,22.6,93,5,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,4,0.0,31.0,24.0,89,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,5,-1.0,29.5,24.5,87,2,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,6,0.0,30.0,24.5,84,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,7,3.5,28.5,23.5,94,1,70,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,8,0.0,30.0,24.5,89,1,70,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,9,-1.0,29.8,24.5,88,1,70,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,10,1.5,30.0,23.5,86,2,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,11,39.0,25.3,21.0,93,4,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,12,17.5,26.2,20.2,86,5,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,13,18.5,25.5,20.5,86,5,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,14,1.5,27.0,20.7,77,4,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,15,15.5,28.4,20.3,77,3,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,16,61.0,28.9,22.0,89,3,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,17,0.5,26.7,22.2,92,2,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,18,5.5,29.8,23.1,86,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,19,0.0,28.5,23.2,84,3,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,20,1.0,28.9,23.2,83,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,21,-1.0,30.6,23.0,88,2,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,22,-1.0,30.3,23.3,88,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,23,1.8,31.2,23.5,86,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,24,11.2,30.2,24.1,87,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,25,2.6,30.4,23.5,87,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,26,118.8,29.6,22.5,89,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,27,19.4,27.7,22.5,91,2,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,28,5.2,28.2,22.0,89,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,29,1.0,29.2,22.0,86,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,30,1.0,28.0,21.5,90,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
2018,1,31,0.6,28.5,23.2,88,1,40,Region IV-A (Calabarzon),"Alabat, Quezon"
