YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,1,1,4.4,25.0,21.0,93,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,2,0.0,24.0,21.5,92,1,180,Region III (Central Luzon),"Baler, Aurora"
2018,1,3,0.2,25.5,21.9,81,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,4,6.8,25.8,21.7,95,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,5,4.4,27.5,22.5,94,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,6,0.0,28.0,22.5,90,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,7,1.8,29.5,22.5,90,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,8,5.2,27.2,23.0,88,1,320,Region III (Central Luzon),"Baler, Aurora"
2018,1,9,0.0,31.0,23.5,87,1,160,Region III (Central Luzon),"Baler, Aurora"
2018,1,10,0.0,30.5,22.5,77,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,11,0.7,27.2,20.9,78,3,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,12,0.0,24.0,20.5,78,3,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,13,0.0,24.5,20.4,82,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,14,0.0,27.5,20.3,83,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,15,0.0,29.0,21.5,82,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,16,57.5,27.6,22.0,81,3,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,17,21.8,25.0,21.6,96,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,18,57.4,26.3,22.2,98,1,160,Region III (Central Luzon),"Baler, Aurora"
2018,1,19,0.0,28.5,21.5,84,1,160,Region III (Central Luzon),"Baler, Aurora"
2018,1,20,0.0,29.3,22.5,79,1,180,Region III (Central Luzon),"Baler, Aurora"
2018,1,21,2.4,27.5,22.5,94,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,22,0.0,30.2,22.5,87,1,320,Region III (Central Luzon),"Baler, Aurora"
2018,1,23,-1.0,30.5,23.1,85,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,24,1.7,27.5,22.5,93,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,25,2.0,30.0,22.5,88,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,26,85.4,28.7,22.2,94,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,27,27.4,24.4,21.4,96,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,28,23.7,24.1,21.0,95,3,320,Region III (Central Luzon),"Baler, Aurora"
2018,1,29,-1.0,29.5,22.3,85,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,30,0.0,30.0,21.5,82,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,1,31,0.2,29.8,22.2,84,2,160,Region III (Central Luzon),"Baler, Aurora"
2018,2,1,0.0,30.4,22.1,78,1,140,Region III (Central Luzon),"Baler, Aurora"
2018,2,2,0.0,30.0,21.5,85,1,320,Region III (Central Luzon),"Baler, Aurora"
2018,2,3,0.0,29.5,21.0,77,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,4,0.0,30.4,21.5,78,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,5,0.0,30.5,20.4,70,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,6,0.0,30.0,21.0,73,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,7,-1.0,27.3,20.5,83,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,8,0.2,31.4,21.5,76,3,290,Region III (Central Luzon),"Baler, Aurora"
2018,2,9,0.0,29.5,22.4,84,1,320,Region III (Central Luzon),"Baler, Aurora"
2018,2,10,1.5,31.5,23.5,83,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,11,1.2,31.3,22.0,88,1,140,Region III (Central Luzon),"Baler, Aurora"
2018,2,12,1.4,29.0,20.6,88,2,160,Region III (Central Luzon),"Baler, Aurora"
2018,2,13,0.7,24.5,20.6,87,2,160,Region III (Central Luzon),"Baler, Aurora"
2018,2,14,0.6,26.5,21.9,86,1,160,Region III (Central Luzon),"Baler, Aurora"
2018,2,15,4.4,31.8,22.5,83,2,160,Region III (Central Luzon),"Baler, Aurora"
2018,2,16,0.0,31.0,23.3,85,1,160,Region III (Central Luzon),"Baler, Aurora"
2018,2,17,0.8,32.1,23.5,85,1,160,Region III (Central Luzon),"Baler, Aurora"
2018,2,18,10.0,32.0,22.5,89,1,140,Region III (Central Luzon),"Baler, Aurora"
2018,2,19,0.0,31.0,22.3,85,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,20,0.0,31.0,22.5,83,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,21,0.0,31.7,22.8,82,2,320,Region III (Central Luzon),"Baler, Aurora"
2018,2,22,0.2,31.6,23.0,82,1,320,Region III (Central Luzon),"Baler, Aurora"
2018,2,23,0.2,29.8,22.9,84,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,24,0.0,31.8,23.0,82,1,140,Region III (Central Luzon),"Baler, Aurora"
2018,2,25,0.6,31.0,22.5,86,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,26,71.0,32.0,21.5,87,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,27,34.7,25.0,21.0,97,3,360,Region III (Central Luzon),"Baler, Aurora"
2018,2,28,0.0,29.6,23.0,86,1,180,Region III (Central Luzon),"Baler, Aurora"
2018,3,1,25.8,31.7,22.8,88,2,160,Region III (Central Luzon),"Baler, Aurora"
2018,3,2,4.3,30.8,22.5,92,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,3,3,6.5,29.0,23.0,92,0,0,Region III (Central Luzon),"Baler, Aurora"
2018,3,4,1.4,30.0,22.5,93,1,140,Region III (Central Luzon),"Baler, Aurora"
2018,3,5,0.0,32.0,23.5,82,1,320,Region III (Central Luzon),"Baler, Aurora"
2018,3,6,0.0,32.0,23.5,86,1,160,Region III (Central Luzon),"Baler, Aurora"
2018,3,7,4.8,29.0,22.4,93,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,3,8,5.8,30.4,21.5,90,2,180,Region III (Central Luzon),"Baler, Aurora"
2018,3,9,0.0,30.9,21.8,85,2,360,Region III (Central Luzon),"Baler, Aurora"
2018,3,10,0.0,28.0,20.2,82,3,360,Region III (Central Luzon),"Baler, Aurora"
2018,3,11,0.5,26.5,21.0,80,1,360,Region III (Central Luzon),"Baler, Aurora"
2018,3,12,0.0,30.0,21.1,79,1,180,Region III (Central Luzon),"Baler, Aurora"
2018,3,13,0.0,30.0,21.5,84,2,180,Region III (Central Luzon),"Baler, Aurora"
2018,3,14,0.0,31.0,22.0,83,2,140,Region III (Central Luzon),"Baler, Aurora"
2018,3,15,0.0,31.5,22.7,80,2,160,Region III (Central Luzon),"Baler, Aurora"
2018,3,16,13.0,32.9,21.1,84,2,360,Region III (Central Luzon),"Baler, Aurora"
