YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,1,1,0.0,31.5,21.9,72,3,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,2,0.0,30.5,24.0,75,6,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,3,0.0,30.2,23.4,81,2,20,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,4,0.0,30.9,22.0,82,1,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,5,0.0,32.5,23.7,85,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,6,0.0,33.0,22.6,77,1,180,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,7,0.0,33.0,23.0,80,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,8,0.0,31.9,23.1,86,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,9,5.2,33.0,23.0,85,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,10,0.0,33.2,22.7,77,3,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,11,0.0,32.0,22.0,70,3,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,12,0.0,30.0,22.5,67,4,20,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,13,0.0,29.3,21.6,68,4,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,14,0.0,30.7,21.7,70,2,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,15,0.0,31.7,21.0,74,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,16,6.6,37.5,22.5,81,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,17,0.2,27.0,22.7,94,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,18,0.8,31.5,23.2,82,2,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,19,0.0,31.8,22.0,76,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,20,0.0,32.7,22.0,70,3,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,21,0.0,31.2,21.5,83,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,22,0.0,32.7,22.0,82,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,23,0.0,33.0,22.8,81,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,24,0.0,31.8,22.7,84,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,25,0.0,33.0,22.3,76,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,26,0.0,34.0,24.3,77,3,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,1,27,0.0,29.2,23.5,82,1,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
