YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,1,1,15.2,25.6,21.0,95,3,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,2,5.3,24.5,20.0,93,4,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,3,2.0,26.5,22.0,86,4,20,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,4,8.3,26.0,23.0,93,1,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,5,2.4,28.6,23.0,95,2,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,6,1.0,29.2,22.2,90,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,7,0.8,30.0,23.4,93,1,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,8,1.0,28.0,21.5,94,0,0,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,9,0.0,30.6,22.5,91,2,70,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,10,4.2,29.0,22.2,93,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,11,0.7,28.0,20.6,82,6,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,12,0.5,25.4,19.6,88,6,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,13,0.8,24.4,19.4,90,5,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,14,0.0,27.6,20.6,87,4,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,15,0.0,28.0,20.5,83,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,16,13.5,27.0,22.0,93,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,17,60.2,26.5,22.9,96,1,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,18,92.0,27.3,21.6,98,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,19,0.0,29.0,21.0,89,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,20,0.4,29.2,23.0,91,4,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,21,0.7,29.0,21.5,92,2,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,22,0.0,29.0,20.8,90,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,23,0.3,30.0,22.2,91,3,70,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,24,0.6,28.4,22.8,94,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,25,1.6,29.6,23.0,91,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,26,44.6,26.6,22.4,96,5,20,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,27,18.4,26.5,21.5,94,1,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,28,13.0,26.6,21.5,95,1,360,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,29,7.5,30.0,22.4,94,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,30,0.0,28.5,22.6,86,4,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,1,31,0.3,29.0,21.0,93,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,1,0.8,30.5,22.2,92,3,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,2,0.0,27.0,22.2,93,3,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,3,0.0,27.5,20.6,87,3,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,4,0.0,30.0,21.4,83,4,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,5,0.0,29.8,20.6,80,4,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,6,0.6,28.0,20.3,84,4,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,7,3.4,25.6,20.0,96,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,8,7.5,30.0,20.8,88,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,9,1.5,26.2,21.0,94,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,10,0.0,30.8,22.8,91,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,11,0.0,29.8,22.4,90,6,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,12,8.2,27.0,21.0,91,4,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,13,19.2,25.4,20.0,92,3,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,14,2.0,27.0,20.5,93,3,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,15,5.0,29.5,22.8,92,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,16,0.0,31.5,23.0,91,1,110,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,17,0.0,31.6,22.0,89,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,18,0.0,30.5,22.8,89,2,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,19,3.2,31.8,22.0,88,1,90,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,20,0.0,30.5,23.3,91,1,40,Region III (Central Luzon),"Casiguran, Aurora"
2018,2,21,0.0,31.5,21.6,88,1,40,Region III (Central Luzon),"Casiguran, Aurora"
