YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,1,1,0.0,30.1,23.4,69,3,310,Region III (Central Luzon),"Clark, Pampanga"
2018,1,2,0.0,29.2,23.4,75,4,350,Region III (Central Luzon),"Clark, Pampanga"
2018,1,3,0.0,30.0,23.5,72,3,310,Region III (Central Luzon),"Clark, Pampanga"
2018,1,4,0.0,30.1,23.8,74,3,300,Region III (Central Luzon),"Clark, Pampanga"
2018,1,5,0.0,31.0,24.5,73,2,310,Region III (Central Luzon),"Clark, Pampanga"
2018,1,6,0.0,31.8,23.0,78,2,110,Region III (Central Luzon),"Clark, Pampanga"
2018,1,7,0.0,32.6,24.4,71,2,120,Region III (Central Luzon),"Clark, Pampanga"
2018,1,8,0.0,31.7,24.8,73,2,300,Region III (Central Luzon),"Clark, Pampanga"
2018,1,9,0.0,33.0,24.0,71,3,300,Region III (Central Luzon),"Clark, Pampanga"
2018,1,10,0.0,32.2,23.8,69,3,360,Region III (Central Luzon),"Clark, Pampanga"
2018,1,11,-1.0,30.7,22.9,63,3,40,Region III (Central Luzon),"Clark, Pampanga"
2018,1,12,0.0,29.3,22.0,65,4,330,Region III (Central Luzon),"Clark, Pampanga"
2018,1,13,0.0,29.4,21.8,64,4,320,Region III (Central Luzon),"Clark, Pampanga"
2018,1,14,0.0,29.3,21.4,65,3,300,Region III (Central Luzon),"Clark, Pampanga"
2018,1,15,0.0,29.8,23.0,66,3,300,Region III (Central Luzon),"Clark, Pampanga"
2018,1,16,3.0,31.4,24.0,72,2,310,Region III (Central Luzon),"Clark, Pampanga"
2018,1,17,0.3,26.8,23.8,84,3,320,Region III (Central Luzon),"Clark, Pampanga"
2018,1,18,3.0,30.2,24.3,82,3,340,Region III (Central Luzon),"Clark, Pampanga"
2018,1,19,0.0,29.5,23.0,72,3,70,Region III (Central Luzon),"Clark, Pampanga"
2018,1,20,0.0,30.8,23.6,71,2,270,Region III (Central Luzon),"Clark, Pampanga"
2018,1,21,0.0,30.6,23.0,76,2,280,Region III (Central Luzon),"Clark, Pampanga"
2018,1,22,0.0,31.2,23.8,72,3,360,Region III (Central Luzon),"Clark, Pampanga"
2018,1,23,0.0,32.2,23.6,67,2,300,Region III (Central Luzon),"Clark, Pampanga"
2018,1,24,-1.0,30.2,24.0,78,3,10,Region III (Central Luzon),"Clark, Pampanga"
2018,1,25,0.0,31.7,24.0,69,3,260,Region III (Central Luzon),"Clark, Pampanga"
2018,1,26,2.6,32.4,24.4,73,2,340,Region III (Central Luzon),"Clark, Pampanga"
2018,1,27,0.0,28.4,24.0,75,2,350,Region III (Central Luzon),"Clark, Pampanga"
2018,1,28,-1.0,27.6,23.2,79,2,40,Region III (Central Luzon),"Clark, Pampanga"
2018,1,29,0.0,31.0,24.4,74,2,350,Region III (Central Luzon),"Clark, Pampanga"
2018,1,30,0.0,29.4,22.8,70,2,20,Region III (Central Luzon),"Clark, Pampanga"
