YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,1,1,1.0,28.2,23.0,83,3,70,Region III (Central Luzon),"Infanta, Quezon"
2018,1,2,4.1,27.8,21.8,93,4,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,3,13.6,26.7,22.3,91,3,70,Region III (Central Luzon),"Infanta, Quezon"
2018,1,4,11.9,28.1,22.0,95,2,320,Region III (Central Luzon),"Infanta, Quezon"
2018,1,5,0.9,28.7,22.0,93,2,340,Region III (Central Luzon),"Infanta, Quezon"
2018,1,6,0.0,29.3,21.9,94,1,40,Region III (Central Luzon),"Infanta, Quezon"
2018,1,7,21.5,27.6,22.0,90,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,8,2.0,29.5,22.6,96,2,310,Region III (Central Luzon),"Infanta, Quezon"
2018,1,9,1.3,29.8,24.0,91,2,330,Region III (Central Luzon),"Infanta, Quezon"
2018,1,10,3.3,29.0,22.3,91,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,11,43.0,26.4,21.9,94,4,40,Region III (Central Luzon),"Infanta, Quezon"
2018,1,12,29.0,24.9,21.1,95,5,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,13,4.9,25.1,21.8,86,3,40,Region III (Central Luzon),"Infanta, Quezon"
2018,1,14,5.3,26.0,22.2,89,3,40,Region III (Central Luzon),"Infanta, Quezon"
2018,1,15,1.8,27.6,21.8,88,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,16,141.0,26.3,22.5,95,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,17,26.4,26.4,23.6,94,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,18,2.3,29.9,22.1,91,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,19,0.3,28.8,21.0,88,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,20,3.8,28.9,22.0,88,2,320,Region III (Central Luzon),"Infanta, Quezon"
2018,1,21,1.8,28.5,22.2,94,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,22,0.1,28.8,22.5,90,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,23,11.9,29.1,21.5,93,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,24,23.5,28.0,22.6,97,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,25,0.2,28.6,21.7,91,2,340,Region III (Central Luzon),"Infanta, Quezon"
2018,1,26,48.1,28.6,20.8,96,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,1,27,14.9,26.0,21.8,93,3,90,Region III (Central Luzon),"Infanta, Quezon"
2018,1,28,0.2,27.2,22.2,93,1,320,Region III (Central Luzon),"Infanta, Quezon"
2018,1,29,3.3,29.2,23.2,87,2,320,Region III (Central Luzon),"Infanta, Quezon"
2018,1,30,5.3,27.6,21.6,91,3,40,Region III (Central Luzon),"Infanta, Quezon"
2018,1,31,34.0,25.3,22.0,91,2,320,Region III (Central Luzon),"Infanta, Quezon"
2018,2,1,4.9,28.8,23.0,88,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,2,0.8,28.6,21.1,88,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,3,2.2,27.7,21.0,87,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,4,0.8,28.0,21.8,85,2,20,Region III (Central Luzon),"Infanta, Quezon"
2018,2,5,9.9,28.5,22.0,81,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,6,26.6,27.4,20.0,91,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,7,25.7,25.0,20.5,93,3,340,Region III (Central Luzon),"Infanta, Quezon"
2018,2,8,0.0,28.0,20.7,90,1,270,Region III (Central Luzon),"Infanta, Quezon"
2018,2,9,0.0,28.4,20.7,90,3,340,Region III (Central Luzon),"Infanta, Quezon"
2018,2,10,0.1,30.1,22.0,93,2,40,Region III (Central Luzon),"Infanta, Quezon"
2018,2,11,6.4,29.4,22.5,91,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,12,10.2,27.0,23.0,90,3,40,Region III (Central Luzon),"Infanta, Quezon"
2018,2,13,1.6,26.7,21.3,90,3,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,14,7.7,26.7,22.0,91,3,90,Region III (Central Luzon),"Infanta, Quezon"
2018,2,15,0.3,28.6,22.8,92,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,16,0.0,29.4,22.0,93,1,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,17,0.0,29.5,22.0,90,2,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,18,1.6,29.3,21.8,89,2,320,Region III (Central Luzon),"Infanta, Quezon"
2018,2,19,0.0,30.0,24.8,84,1,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,20,1.6,29.4,21.5,91,2,320,Region III (Central Luzon),"Infanta, Quezon"
2018,2,21,1.5,29.0,23.5,91,1,340,Region III (Central Luzon),"Infanta, Quezon"
2018,2,22,2.0,30.5,23.4,88,1,360,Region III (Central Luzon),"Infanta, Quezon"
2018,2,23,0.0,30.9,24.0,89,3,70,Region III (Central Luzon),"Infanta, Quezon"
2018,2,24,0.0,30.2,23.0,85,2,20,Region III (Central Luzon),"Infanta, Quezon"
2018,2,25,2.6,28.1,21.8,89,2,320,Region III (Central Luzon),"Infanta, Quezon"
2018,2,26,43.7,29.5,22.5,92,2,340,Region III (Central Luzon),"Infanta, Quezon"
2018,2,27,75.2,27.0,22.0,98,2,320,Region III (Central Luzon),"Infanta, Quezon"
