YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,1,1,0.4,21.7,16.0,85,5,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,2,1.4,22.2,15.2,86,8,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,3,0.4,21.8,15.5,91,6,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,4,-1.0,23.0,16.5,93,3,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,5,0.8,25.0,17.0,93,4,50,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,6,0.0,25.2,16.8,83,4,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,7,3.5,25.0,21.0,92,3,360,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,8,-1.0,26.0,16.0,92,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,9,1.8,27.0,17.8,90,3,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,10,1.4,27.0,16.2,90,3,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,11,0.0,22.0,15.0,86,5,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,12,0.0,21.5,15.1,82,6,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,13,0.0,28.3,18.0,78,7,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,14,-1.0,22.0,18.5,85,6,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,15,0.0,23.5,17.8,80,5,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,16,49.9,23.3,16.5,93,4,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,17,1.6,22.2,17.1,84,5,360,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,18,5.4,26.0,16.8,89,5,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,19,0.0,23.5,18.7,81,5,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,20,-1.0,24.5,20.2,84,4,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,21,0.5,24.3,20.7,89,4,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,22,1.5,24.2,16.8,91,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,23,0.0,25.0,16.9,87,2,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,24,1.6,23.0,16.2,94,4,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,25,0.0,25.0,17.0,82,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,26,40.6,26.0,16.7,88,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,27,12.0,21.5,16.0,95,5,30,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,28,0.0,22.0,16.0,93,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,29,0.0,25.5,16.3,86,3,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,30,-1.0,24.0,19.2,86,5,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,1,31,1.6,22.4,16.7,96,3,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,1,0.0,27.5,16.0,81,4,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,2,0.0,25.0,16.0,84,2,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,3,0.0,23.5,15.6,87,3,340,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,4,0.0,24.5,19.8,85,3,340,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,5,0.0,24.2,15.0,84,2,300,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,6,0.0,24.5,15.0,86,2,350,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,7,0.0,24.0,15.5,95,2,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,8,0.0,24.0,14.8,83,2,280,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,9,0.0,26.0,16.0,83,2,270,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,10,0.0,25.5,17.0,91,1,290,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,11,-1.0,26.0,20.3,90,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,12,-1.0,24.5,16.2,89,6,340,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,13,-1.0,20.9,15.9,88,6,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,14,0.8,21.4,16.8,93,5,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,15,0.0,27.0,17.0,87,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,16,0.0,26.5,17.5,84,2,280,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,17,0.0,28.0,17.4,81,3,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,18,0.0,26.0,20.0,88,5,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,19,0.0,27.5,17.3,81,3,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,20,0.0,27.5,17.3,82,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,21,0.0,28.5,17.2,83,4,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,22,0.0,27.0,16.8,81,3,30,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,23,0.0,26.0,17.5,80,4,30,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,24,0.0,26.5,17.6,72,3,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,25,0.0,24.5,19.9,86,3,340,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,26,4.2,25.4,16.5,87,4,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,27,16.4,23.2,16.5,96,4,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,2,28,0.0,27.0,17.2,85,2,340,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,1,0.0,27.0,17.5,86,4,80,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,2,0.0,26.0,17.7,89,3,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,3,0.0,27.5,18.0,87,3,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,4,0.0,27.0,17.2,81,4,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,5,0.0,29.0,17.2,76,3,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,6,0.0,29.2,17.1,85,4,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,7,3.2,27.0,17.0,90,3,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,8,15.8,24.5,19.0,91,2,360,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,9,-1.0,22.2,16.8,89,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,10,0.0,23.0,16.0,84,5,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,11,-1.0,22.5,19.0,85,5,30,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,12,0.0,23.4,17.5,86,4,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,13,0.0,25.1,17.4,82,4,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,14,0.0,25.6,17.2,78,3,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,15,0.0,27.0,17.6,84,2,340,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,16,0.0,28.5,17.5,82,2,340,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,17,0.0,27.5,17.4,81,3,30,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,18,0.0,26.5,20.0,82,3,30,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,19,0.0,29.0,17.5,76,3,280,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,20,0.0,29.6,17.3,81,2,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,21,0.4,29.3,17.0,84,2,40,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,22,4.5,22.0,19.0,94,5,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,23,-1.0,22.4,16.5,83,6,30,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,24,0.0,23.0,16.0,74,6,10,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,25,0.0,25.3,19.3,75,4,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,26,0.0,25.0,16.0,79,3,20,Region IV-A (Calabarzon),"Tanay, Rizal"
2018,3,27,0.0,24.2,16.8,82,3,340,Region IV-A (Calabarzon),"Tanay, Rizal"
