Region,Province,City,city_raw
NCR,NCR,Caloocan City,Caloocan City
NCR,NCR,City of Manila,City of Manila
NCR,NCR,Las Pinas City,Las Piñas City
NCR,NCR,Makati City,Makati City
NCR,NCR,Malabon City,Malabon City
NCR,NCR,Mandaluyong City,Mandaluyong City
NCR,NCR,Marikina City,Marikina City
NCR,NCR,Muntinlupa City,Muntinlupa City
NCR,NCR,Navotas City,Navotas City
NCR,NCR,Paranaque City,Parañaque City
NCR,NCR,Pasay City,Pasay City
NCR,NCR,Pasig City,Pasig City
NCR,NCR,Quezon City,Quezon City
NCR,NCR,San Juan City,San Juan City
NCR,NCR,Taguig City,Taguig City
NCR,NCR,Valenzuela City,Valenzuela City
Region III (Central Luzon),Bataan,Balanga City,Balanga City
Region III (Central Luzon),Bulacan,Malolos City,Malolos City
Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City
Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City
Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City
Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City
Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz
Region III (Central Luzon),Pampanga,Angeles City,Angeles City
Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City
Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City
Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City
Region III (Central Luzon),Zambales,Olongapo City,Olongapo City
Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City
Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City
Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City
Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City
Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City
Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona
Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City
Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City
Region IV-A (CALABARZON),Cavite,Imus City,Imus City
Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City
Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City
Region IV-A (CALABARZON),Laguna,Binan City,Biñan City
Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City
Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City
Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City
Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City
Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City
Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City
Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City
Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City
