Region,Province,City,households_single_duplex_2020,units_single_duplex_2020,single_house_households_2020,single_house_occupied_units_2020,duplex_households_2020,duplex_occupied_units_2020,geo_source_for_demand
NCR,NCR,Caloocan City,333696,312768,314759,294947,18937,17821,city
NCR,NCR,City of Manila,292166,265704,277663,252720,14503,12984,city
NCR,NCR,Las Pinas City,131470,119039,123735,111899,7735,7140,city
NCR,NCR,Makati City,78644,75706,73564,70814,5080,4892,city
NCR,NCR,Malabon City,84990,79262,82935,77315,2055,1947,city
NCR,NCR,Mandaluyong City,64000,58513,60997,55824,3003,2689,city
NCR,NCR,Marikina City,88070,81943,82978,77125,5092,4818,city
NCR,NCR,Muntinlupa City,104684,94994,98562,89550,6122,5444,city
NCR,NCR,Navotas City,55332,48368,53708,46919,1624,1449,city
NCR,NCR,Paranaque City,146317,136863,140583,131629,5734,5234,city
NCR,NCR,Pasay City,69342,60326,65408,56954,3934,3372,city
NCR,NCR,Pasig City,136386,124606,124121,113387,12265,11219,city
NCR,NCR,Quezon City,582490,547417,554889,521248,27601,26169,city
NCR,NCR,San Juan City,17515,16242,16664,15478,851,764,city
NCR,NCR,Taguig City,151357,137316,135188,122616,16169,14700,city
NCR,NCR,Valenzuela City,132706,121133,123616,112612,9090,8521,city
Region III (Central Luzon),Bataan,Balanga City,191552,182140,180934,171968,10618,10172,province
Region III (Central Luzon),Bulacan,Malolos City,721538,676204,671305,628197,50233,48007,province
Region III (Central Luzon),Bulacan,Meycauayan City,721538,676204,671305,628197,50233,48007,province
Region III (Central Luzon),Bulacan,San Jose del Monte City,721538,676204,671305,628197,50233,48007,province
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,558224,532052,539001,513407,19223,18645,province
Region III (Central Luzon),Nueva Ecija,Gapan City,558224,532052,539001,513407,19223,18645,province
Region III (Central Luzon),Nueva Ecija,Palayan City,558224,532052,539001,513407,19223,18645,province
Region III (Central Luzon),Nueva Ecija,San Jose City,558224,532052,539001,513407,19223,18645,province
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,558224,532052,539001,513407,19223,18645,province
Region III (Central Luzon),Pampanga,Angeles City,102225,95961,96350,90348,5875,5613,city
Region III (Central Luzon),Pampanga,Mabalacat City,533432,501581,510491,479636,22941,21945,province
Region III (Central Luzon),Pampanga,San Fernando City,533432,501581,510491,479636,22941,21945,province
Region III (Central Luzon),Tarlac,Tarlac City,348934,340007,335164,326486,13770,13521,province
Region III (Central Luzon),Zambales,Olongapo City,50087,48302,45367,43788,4720,4514,city
Region IV-A (CALABARZON),Batangas,Batangas City,645129,607384,610659,574697,34470,32687,province
Region IV-A (CALABARZON),Batangas,Lipa City,645129,607384,610659,574697,34470,32687,province
Region IV-A (CALABARZON),Batangas,Tanauan City,645129,607384,610659,574697,34470,32687,province
Region IV-A (CALABARZON),Cavite,Bacoor City,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Cavite,Cavite City,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Cavite,City of Carmona,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Cavite,Dasmarinas City,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Cavite,General Trias City,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Cavite,Imus City,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Cavite,Tagaytay City,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Cavite,Trece Martires City,767938,721929,662914,621682,105024,100247,province
Region IV-A (CALABARZON),Laguna,Binan City,679825,625229,616880,567636,62945,57593,province
Region IV-A (CALABARZON),Laguna,Cabuyao City,679825,625229,616880,567636,62945,57593,province
Region IV-A (CALABARZON),Laguna,Calamba City,679825,625229,616880,567636,62945,57593,province
Region IV-A (CALABARZON),Laguna,San Pablo City,679825,625229,616880,567636,62945,57593,province
Region IV-A (CALABARZON),Laguna,San Pedro City,679825,625229,616880,567636,62945,57593,province
Region IV-A (CALABARZON),Laguna,Santa Rosa City,679825,625229,616880,567636,62945,57593,province
Region IV-A (CALABARZON),Quezon,Lucena City,61829,58874,59035,56203,2794,2671,city
Region IV-A (CALABARZON),Quezon,Tayabas City,469476,449681,454656,435565,14820,14116,province
Region IV-A (CALABARZON),Rizal,Antipolo City,650420,618379,615189,584757,35231,33622,province
