Region,Province,City,income_total_2023p_millions,geo_source_for_income
NCR,NCR,Caloocan City,154161.91,city
NCR,NCR,City of Manila,246232.67,city
NCR,NCR,Las Pinas City,96816.95,city
NCR,NCR,Makati City,164347.09,city
NCR,NCR,Malabon City,34270.92,city
NCR,NCR,Mandaluyong City,93875.35,city
NCR,NCR,Marikina City,60399.48,city
NCR,NCR,Muntinlupa City,80328.59,city
NCR,NCR,Navotas City,21291.41,city
NCR,NCR,Paranaque City,114375.68,city
NCR,NCR,Pasay City,58005.62,city
NCR,NCR,Pasig City,130765.02,city
NCR,NCR,Quezon City,359208.8,city
NCR,NCR,San Juan City,24320.15,city
NCR,NCR,Taguig City,150373.59,city
NCR,NCR,Valenzuela City,69892.16,city
Region III (Central Luzon),Bataan,Balanga City,83190.7,province
Region III (Central Luzon),Bulacan,Malolos City,342693.71,province
Region III (Central Luzon),Bulacan,Meycauayan City,342693.71,province
Region III (Central Luzon),Bulacan,San Jose del Monte City,342693.71,province
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,194488.54,province
Region III (Central Luzon),Nueva Ecija,Gapan City,194488.54,province
Region III (Central Luzon),Nueva Ecija,Palayan City,194488.54,province
Region III (Central Luzon),Nueva Ecija,San Jose City,194488.54,province
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,194488.54,province
Region III (Central Luzon),Pampanga,Angeles City,69727.85,city
Region III (Central Luzon),Pampanga,Mabalacat City,251756.6,province
Region III (Central Luzon),Pampanga,San Fernando City,251756.6,province
Region III (Central Luzon),Tarlac,Tarlac City,134488.68,province
Region III (Central Luzon),Zambales,Olongapo City,24236.46,city
Region IV-A (CALABARZON),Batangas,Batangas City,327130.55,province
Region IV-A (CALABARZON),Batangas,Lipa City,327130.55,province
Region IV-A (CALABARZON),Batangas,Tanauan City,327130.55,province
Region IV-A (CALABARZON),Cavite,Bacoor City,527020.97,province
Region IV-A (CALABARZON),Cavite,Cavite City,527020.97,province
Region IV-A (CALABARZON),Cavite,City of Carmona,527020.97,province
Region IV-A (CALABARZON),Cavite,Dasmarinas City,527020.97,province
Region IV-A (CALABARZON),Cavite,General Trias City,527020.97,province
Region IV-A (CALABARZON),Cavite,Imus City,527020.97,province
Region IV-A (CALABARZON),Cavite,Tagaytay City,527020.97,province
Region IV-A (CALABARZON),Cavite,Trece Martires City,527020.97,province
Region IV-A (CALABARZON),Laguna,Binan City,440820.18,province
Region IV-A (CALABARZON),Laguna,Cabuyao City,440820.18,province
Region IV-A (CALABARZON),Laguna,Calamba City,440820.18,province
Region IV-A (CALABARZON),Laguna,San Pablo City,440820.18,province
Region IV-A (CALABARZON),Laguna,San Pedro City,440820.18,province
Region IV-A (CALABARZON),Laguna,Santa Rosa City,440820.18,province
Region IV-A (CALABARZON),Quezon,Lucena City,24776.36,city
Region IV-A (CALABARZON),Quezon,Tayabas City,122275.35,province
Region IV-A (CALABARZON),Rizal,Antipolo City,393926.36,province
