year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,1,7501,NCR,NCR,Caloocan City,Caloocan City,466093,2004,,,,,,
2024,1,NA,NCR,NCR,City of Manila,City of Manila,1003410,3763,,,,,,
2024,1,3901,NCR,NCR,City of Manila,City of Manila,259445,920,,,,,,
2024,1,3902,NCR,NCR,City of Manila,City of Manila,60064,293,,,,,,
2024,1,3903,NCR,NCR,City of Manila,City of Manila,46829,182,,,,,,
2024,1,3904,NCR,NCR,City of Manila,City of Manila,12993,44,,,,,,
2024,1,3905,NCR,NCR,City of Manila,City of Manila,117110,408,,,,,,
2024,1,3906,NCR,NCR,City of Manila,City of Manila,146627,527,,,,,,
2024,1,3907,NCR,NCR,City of Manila,City of Manila,14311,54,,,,,,
2024,1,3908,NCR,NCR,City of Manila,City of Manila,56008,232,,,,,,
2024,1,3909,NCR,NCR,City of Manila,City of Manila,28208,149,,,,,,
2024,1,3910,NCR,NCR,City of Manila,City of Manila,103182,397,,,,,,
2024,1,3911,NCR,NCR,City of Manila,City of Manila,36422,124,,,,,,
2024,1,3912,NCR,NCR,City of Manila,City of Manila,16695,67,,,,,,
2024,1,3913,NCR,NCR,City of Manila,City of Manila,47024,172,,,,,,
2024,1,3914,NCR,NCR,City of Manila,City of Manila,58493,194,,,,,,
2024,1,7601,NCR,NCR,Las Pinas City,Las Piñas City,227117,1925,,,,,,
2024,1,7602,NCR,NCR,Makati City,Makati City,711049,3794,,,,,,
2024,1,7502,NCR,NCR,Malabon City,Malabon City,123339,1903,,,,,,
2024,1,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,281088,2321,,,,,,
2024,1,7402,NCR,NCR,Marikina City,Marikina City,198056,1858,,,,,,
2024,1,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,322227,2630,,,,,,
2024,1,7503,NCR,NCR,Navotas City,Navotas City,73256,1917,,,,,,
2024,1,7604,NCR,NCR,Paranaque City,Parañaque City,394815,2766,,,,,,
2024,1,7605,NCR,NCR,Pasay City,Pasay City,330464,2527,,,,,,
2024,1,7403,NCR,NCR,Pasig City,Pasig City,535667,2814,,,,,,
2024,1,7404,NCR,NCR,Quezon City,Quezon City,1754776,5036,,,,,,
2024,1,7405,NCR,NCR,San Juan City,San Juan City,62969,648,,,,,,
2024,1,7607,NCR,NCR,Taguig City,Taguig City,642038,3463,,,,,,
2024,1,7504,NCR,NCR,Valenzuela City,Valenzuela City,271961,2210,,,,,,
2024,1,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,49383,335,,,,,,
2024,1,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,78278,149,,,,,,
2024,1,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,88182,192,,,,,,
2024,1,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,180825,303,,,,,,
2024,1,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,181003,468,,,,,,
2024,1,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,44153,120,,,,,,
2024,1,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,21598,53,,,,,,
2024,1,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,105766,272,,,,,,
2024,1,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,61975,170,,,,,,
2024,1,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,335532,2991,,,,,,
2024,1,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,134003,524,,,,,,
2024,1,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,158414,500,,,,,,
2024,1,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,198515,744,,,,,,
2024,1,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,120200,2523,,,,,,
