year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,1,7501,NCR,NCR,Caloocan City,Caloocan City,466092.5359,2004,,,,,,
2024,1,NA,NCR,NCR,City of Manila,City of Manila,1003410.375,3763,,,,,,
2024,1,3901,NCR,NCR,City of Manila,City of Manila,259445.1647,920,,,,,,
2024,1,3902,NCR,NCR,City of Manila,City of Manila,60064.071,293,,,,,,
2024,1,3903,NCR,NCR,City of Manila,City of Manila,46828.8224,182,,,,,,
2024,1,3904,NCR,NCR,City of Manila,City of Manila,12992.6618,44,,,,,,
2024,1,3905,NCR,NCR,City of Manila,City of Manila,117110.2063,408,,,,,,
2024,1,3906,NCR,NCR,City of Manila,City of Manila,146627.0873,527,,,,,,
2024,1,3907,NCR,NCR,City of Manila,City of Manila,14310.9547,54,,,,,,
2024,1,3908,NCR,NCR,City of Manila,City of Manila,56008.0519,232,,,,,,
2024,1,3909,NCR,NCR,City of Manila,City of Manila,28207.5271,149,,,,,,
2024,1,3910,NCR,NCR,City of Manila,City of Manila,103182.2805,397,,,,,,
2024,1,3911,NCR,NCR,City of Manila,City of Manila,36421.6092,124,,,,,,
2024,1,3912,NCR,NCR,City of Manila,City of Manila,16694.7711,67,,,,,,
2024,1,3913,NCR,NCR,City of Manila,City of Manila,47023.9371,172,,,,,,
2024,1,3914,NCR,NCR,City of Manila,City of Manila,58493.2296,194,,,,,,
2024,1,7601,NCR,NCR,Las Pinas City,Las Piñas City,227116.6847,1925,,,,,,
2024,1,7602,NCR,NCR,Makati City,Makati City,711048.7621,3794,,,,,,
2024,1,7502,NCR,NCR,Malabon City,Malabon City,123338.9257,1903,,,,,,
2024,1,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,281087.573,2321,,,,,,
2024,1,7402,NCR,NCR,Marikina City,Marikina City,198056.4883,1858,,,,,,
2024,1,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,322227.3479,2630,,,,,,
2024,1,7503,NCR,NCR,Navotas City,Navotas City,73256.1871,1917,,,,,,
2024,1,7604,NCR,NCR,Paranaque City,Parañaque City,394814.6922,2766,,,,,,
2024,1,7605,NCR,NCR,Pasay City,Pasay City,330464.2326,2527,,,,,,
2024,1,7403,NCR,NCR,Pasig City,Pasig City,535666.9454,2814,,,,,,
2024,1,7404,NCR,NCR,Quezon City,Quezon City,1754776.252,5036,,,,,,
2024,1,7405,NCR,NCR,San Juan City,San Juan City,62968.8984,648,,,,,,
2024,1,7607,NCR,NCR,Taguig City,Taguig City,642037.7677,3463,,,,,,
2024,1,7504,NCR,NCR,Valenzuela City,Valenzuela City,271961.2734,2210,,,,,,
2024,1,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,49383.4114,335,,,,,,
2024,1,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,78277.5118,149,,,,,,
2024,1,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,88182.2845,192,,,,,,
2024,1,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,180825.1102,303,,,,,,
2024,1,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,181003.3846,468,,,,,,
2024,1,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,44153.1182,120,,,,,,
2024,1,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,21597.7373,53,,,,,,
2024,1,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,105765.6006,272,,,,,,
2024,1,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,61975.2383,170,,,,,,
2024,1,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,335531.7657,2991,,,,,,
2024,1,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,134002.6992,524,,,,,,
2024,1,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,158413.5664,500,,,,,,
2024,1,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,198514.7606,744,,,,,,
2024,1,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,120199.5721,2523,,,,,,
2024,1,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,163478.6267,369,,,,,,
2024,1,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,266720.6547,547,,,,,,
2024,1,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,69464.0427,143,,,,,,
2024,1,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,249725.1191,391,,,,,,
2024,1,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,38377.792,118,,,,,,
2024,1,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,40315.5987,73,,,,,,
2024,1,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,231596.4903,344,,,,,,
2024,1,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,187722.8459,247,,,,,,
2024,1,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,140804.5359,202,,,,,,
2024,1,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,40740.9955,84,,,,,,
2024,1,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,93654.2336,117,,,,,,
2024,1,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,224967.4548,423,,,,,,
2024,1,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,115022.3441,243,,,,,,
2024,1,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,331233.4628,654,,,,,,
2024,1,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,114307.3875,217,,,,,,
2024,1,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,89659.576,194,,,,,,
2024,1,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,198384.8998,392,,,,,,
2024,1,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,119118.349,1542,,,,,,
2024,1,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,46322.1565,142,,,,,,
2024,1,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,296813.4513,622,,,,,,
2024,2,7501,NCR,NCR,Caloocan City,Caloocan City,541478.5363,144,,,,,,
2024,2,NA,NCR,NCR,City of Manila,City of Manila,736978.0999,201,,,,,,
2024,2,3901,NCR,NCR,City of Manila,City of Manila,216294.1911,57,,,,,,
2024,2,3902,NCR,NCR,City of Manila,City of Manila,56448.8219,13,,,,,,
2024,2,3903,NCR,NCR,City of Manila,City of Manila,25329.6637,10,,,,,,
2024,2,3904,NCR,NCR,City of Manila,City of Manila,,,,,,,,
2024,2,3905,NCR,NCR,City of Manila,City of Manila,78940.3757,23,,,,,,
2024,2,3906,NCR,NCR,City of Manila,City of Manila,56350.3527,14,,,,,,
2024,2,3907,NCR,NCR,City of Manila,City of Manila,3072.8594,2,,,,,,
2024,2,3908,NCR,NCR,City of Manila,City of Manila,19897.72,9,,,,,,
2024,2,3909,NCR,NCR,City of Manila,City of Manila,15281.9774,3,,,,,,
