Region,Province,City,city_raw,grdp_pc_2024_const,geo_source_for_grdp
NCR,NCR,Caloocan City,Caloocan City,503483,region
NCR,NCR,City of Manila,City of Manila,503483,region
NCR,NCR,Las Pinas City,Las Piñas City,503483,region
NCR,NCR,Makati City,Makati City,503483,region
NCR,NCR,Malabon City,Malabon City,503483,region
NCR,NCR,Mandaluyong City,Mandaluyong City,503483,region
NCR,NCR,Marikina City,Marikina City,503483,region
NCR,NCR,Muntinlupa City,Muntinlupa City,503483,region
NCR,NCR,Navotas City,Navotas City,503483,region
NCR,NCR,Paranaque City,Parañaque City,503483,region
NCR,NCR,Pasay City,Pasay City,503483,region
NCR,NCR,Pasig City,Pasig City,503483,region
NCR,NCR,Quezon City,Quezon City,503483,region
NCR,NCR,San Juan City,San Juan City,503483,region
NCR,NCR,Taguig City,Taguig City,503483,region
NCR,NCR,Valenzuela City,Valenzuela City,503483,region
Region III (Central Luzon),Bataan,Balanga City,Balanga City,191874,region
Region III (Central Luzon),Bulacan,Malolos City,Malolos City,191874,region
Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,191874,region
Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,191874,region
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,191874,region
Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,191874,region
Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,191874,region
Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,191874,region
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,191874,region
Region III (Central Luzon),Pampanga,Angeles City,Angeles City,191874,region
Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,191874,region
Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,191874,region
Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,191874,region
Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,191874,region
Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,192048,region
Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,192048,region
Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,192048,region
Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,192048,region
Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,192048,region
Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,192048,region
Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,192048,region
Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,192048,region
Region IV-A (CALABARZON),Cavite,Imus City,Imus City,192048,region
Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,192048,region
Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,192048,region
Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,192048,region
Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,192048,region
Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,192048,region
Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,192048,region
Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,192048,region
Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,192048,region
Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,192048,region
Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,192048,region
Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,192048,region
