year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n
2021,2,7501,NCR,NCR,Caloocan City,Caloocan City,470087.3088,141
2021,2,NA,NCR,NCR,City of Manila,City of Manila,939814.6116,254
2021,2,7601,NCR,NCR,Las Pinas City,Las Piñas City,209938.2867,117
2021,2,7602,NCR,NCR,Makati City,Makati City,660922.3849,313
2021,2,7502,NCR,NCR,Malabon City,Malabon City,99012.3437,121
2021,2,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,279925.7369,151
2021,2,7402,NCR,NCR,Marikina City,Marikina City,233551.6807,167
2021,2,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,266849.1293,171
2021,2,7503,NCR,NCR,Navotas City,Navotas City,69276.2483,131
2021,2,7604,NCR,NCR,Paranaque City,Parañaque City,384489.945,159
2021,2,7605,NCR,NCR,Pasay City,Pasay City,334170.6562,186
2021,2,7403,NCR,NCR,Pasig City,Pasig City,422709.9278,203
2021,2,7404,NCR,NCR,Quezon City,Quezon City,1597110.731,334
2021,2,7405,NCR,NCR,San Juan City,San Juan City,73873.082,50
2021,2,7607,NCR,NCR,Taguig City,Taguig City,463601.0792,219
2021,2,7504,NCR,NCR,Valenzuela City,Valenzuela City,233122.6984,144
2021,2,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,47862.0946,22
2021,2,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,23001.0271,3
2021,2,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,143910.6326,22
2021,2,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,23259.4233,4
2021,2,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,71828.2424,11
2021,2,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,11968.1869,3
2021,2,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,,
2021,2,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,4780.5978,1
2021,2,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,1454.843,2
2021,2,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,225196.9456,182
2021,2,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,148930.5465,28
2021,2,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,68687.5624,12
2021,2,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,145249.1232,43
2021,2,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,99262.8202,155
2021,2,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,367953.7401,63
2021,2,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,166755.185,28
2021,2,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,11240.2679,2
2021,2,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,445150.3118,45
2021,2,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,40107.7881,8
2021,2,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,23740.9533,5
2021,2,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,52231.5566,7
2021,2,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,108227.9277,13
