Region,IncomeGroup,Value,Year
PHILIPPINES,All Income Groups,7757012.68,2018
NATIONAL CAPITAL REGION,2nd Decile,1527769.65,2018
NCR I,3rd Decile,,2018
City of Manila,4th Decile,197174.25,2018
NCR II,5th Decile,,2018
City of Mandaluyong,6th Decile,77146.17,2018
City of San Juan,7th Decile,17024.55,2018
Quezon City,8th Decile,340450.04,2018
City of Marikina,9th Decile,48538.67,2018
City of Pasig,10th Decile,88774.66,2018
NCR III,All Income Groups,,2018
City of Caloocan,1st Decile,141351.28,2018
City of Malabon,2nd Decile,31750.68,2018
City of Navotas,3rd Decile,21905.68,2018
City of Valenzuela,4th Decile,60113.79,2018
NCR IV,5th Decile,,2018
City of Las Piñas,6th Decile,77305.75,2018
City of Muntinlupa,7th Decile,64274.79,2018
City of Parañaque,8th Decile,93913.75,2018
Pasay City,9th Decile,49277.21,2018
City of Makati,10th Decile,112920.17,2018
Pateros,All Income Groups,6132.02,2018
City of Taguig,1st Decile,99716.19,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,3rd Decile,149519.27,2018
Abra,4th Decile,13265.51,2018
Benguet (Excluding City of Baguio),5th Decile,41457.73,2018
City of Baguio,6th Decile,48710.34,2018
Ifugao,7th Decile,14070.34,2018
Kalinga,8th Decile,15950.42,2018
Mountain Province,9th Decile,9370.27,2018
Apayao,10th Decile,6694.66,2018
REGION I - ILOCOS REGION,1st Decile,348096.66,2018
Ilocos Norte,2nd Decile,48315.93,2018
Ilocos Sur,3rd Decile,47618.66,2018
La Union,4th Decile,64064.71,2018
Pangasinan,5th Decile,188097.36,2018
REGION II - CAGAYAN VALLEY,7th Decile,225944.52,2018
Batanes,8th Decile,1912.73,2018
Cagayan,9th Decile,80635.06,2018
Isabela,10th Decile,94120.41,2018
Nueva Vizcaya,All Income Groups,36531.22,2018
Quirino,1st Decile,12745.1,2018
REGION III - CENTRAL LUZON,3rd Decile,929598.3,2018
Aurora,4th Decile,14727.37,2018
Bataan,5th Decile,74626.73,2018
Bulacan,6th Decile,289140.33,2018
Nueva Ecija,7th Decile,165534.08,2018
Pampanga (Excluding City of Angeles),8th Decile,186598.49,2018
City of Angeles,9th Decile,39223.47,2018
Tarlac,10th Decile,91533.05,2018
Zambales (Excluding City of Olongapo),All Income Groups,45949.56,2018
City of Olongapo,1st Decile,22265.22,2018
