Area,Year,IncomeGroup,Value
PHILIPPINES,2018,10th Decile,2147950.63
PHILIPPINES,2018,1st Decile,280591.27
PHILIPPINES,2018,2nd Decile,357379.72
PHILIPPINES,2018,3rd Decile,416561.68
PHILIPPINES,2018,4th Decile,488345.43
PHILIPPINES,2018,5th Decile,556838.29
PHILIPPINES,2018,6th Decile,649802.48
PHILIPPINES,2018,7th Decile,763488.81
PHILIPPINES,2018,8th Decile,918043.59
PHILIPPINES,2018,9th Decile,1178010.77
PHILIPPINES,2018,All Income Groups,7757012.68
PHILIPPINES,2021,10th Decile,2149110.3
PHILIPPINES,2021,1st Decile,306262.87
PHILIPPINES,2021,2nd Decile,401607.22
PHILIPPINES,2021,3rd Decile,464150.01
PHILIPPINES,2021,4th Decile,535044.82
PHILIPPINES,2021,5th Decile,601018.25
PHILIPPINES,2021,6th Decile,691035.99
PHILIPPINES,2021,7th Decile,799717.89
PHILIPPINES,2021,8th Decile,954449.33
PHILIPPINES,2021,9th Decile,1206648.57
PHILIPPINES,2021,All Income Groups,8109045.26
PHILIPPINES,2023,10th Decile,2460817.96
PHILIPPINES,2023,1st Decile,393685.99
PHILIPPINES,2023,2nd Decile,501868.93
PHILIPPINES,2023,3rd Decile,572743.13
PHILIPPINES,2023,4th Decile,662747.85
PHILIPPINES,2023,5th Decile,747600.12
PHILIPPINES,2023,6th Decile,848372.55
PHILIPPINES,2023,7th Decile,966503.95
PHILIPPINES,2023,8th Decile,1143798.18
PHILIPPINES,2023,9th Decile,1408474.25
PHILIPPINES,2023,All Income Groups,9706612.91
NATIONAL CAPITAL REGION,2018,10th Decile,355545.54
NATIONAL CAPITAL REGION,2018,1st Decile,70127.21
NATIONAL CAPITAL REGION,2018,2nd Decile,87785.99
NATIONAL CAPITAL REGION,2018,3rd Decile,101204.78
NATIONAL CAPITAL REGION,2018,4th Decile,111696.33
NATIONAL CAPITAL REGION,2018,5th Decile,124357.3
NATIONAL CAPITAL REGION,2018,6th Decile,136331.78
NATIONAL CAPITAL REGION,2018,7th Decile,156437.84
NATIONAL CAPITAL REGION,2018,8th Decile,173262.16
NATIONAL CAPITAL REGION,2018,9th Decile,211020.73
NATIONAL CAPITAL REGION,2018,All Income Groups,1527769.65
NATIONAL CAPITAL REGION,2021,10th Decile,315898.85
NATIONAL CAPITAL REGION,2021,1st Decile,77163.78
NATIONAL CAPITAL REGION,2021,2nd Decile,91809.85
NATIONAL CAPITAL REGION,2021,3rd Decile,103516.9
NATIONAL CAPITAL REGION,2021,4th Decile,113145.22
NATIONAL CAPITAL REGION,2021,5th Decile,125436.46
NATIONAL CAPITAL REGION,2021,6th Decile,134488.1
NATIONAL CAPITAL REGION,2021,7th Decile,148349.74
NATIONAL CAPITAL REGION,2021,8th Decile,169983.54
NATIONAL CAPITAL REGION,2021,9th Decile,187836.03
NATIONAL CAPITAL REGION,2021,All Income Groups,1467628.46
NATIONAL CAPITAL REGION,2023,10th Decile,427620.84
NATIONAL CAPITAL REGION,2023,1st Decile,94452.9
NATIONAL CAPITAL REGION,2023,2nd Decile,117464.79
NATIONAL CAPITAL REGION,2023,3rd Decile,127934.6
NATIONAL CAPITAL REGION,2023,4th Decile,141971.78
NATIONAL CAPITAL REGION,2023,5th Decile,154774.39
NATIONAL CAPITAL REGION,2023,6th Decile,170358.4
NATIONAL CAPITAL REGION,2023,7th Decile,188200.04
NATIONAL CAPITAL REGION,2023,8th Decile,208683.05
NATIONAL CAPITAL REGION,2023,9th Decile,234340.51
NATIONAL CAPITAL REGION,2023,All Income Groups,1865801.3
City of Manila,2018,10th Decile,40344.05
City of Manila,2018,1st Decile,9229.0
City of Manila,2018,2nd Decile,12068.34
City of Manila,2018,3rd Decile,14075.71
City of Manila,2018,4th Decile,16395.65
City of Manila,2018,5th Decile,16359.63
City of Manila,2018,6th Decile,18953.61
City of Manila,2018,7th Decile,21199.05
City of Manila,2018,8th Decile,22872.7
City of Manila,2018,9th Decile,25676.51
City of Manila,2018,All Income Groups,197174.25
City of Manila,2021,10th Decile,36244.13
City of Manila,2021,1st Decile,12756.53
City of Manila,2021,2nd Decile,14367.17
City of Manila,2021,3rd Decile,15252.71
City of Manila,2021,4th Decile,17313.18
City of Manila,2021,5th Decile,18312.17
City of Manila,2021,6th Decile,18747.08
City of Manila,2021,7th Decile,21382.04
City of Manila,2021,8th Decile,23313.65
City of Manila,2021,9th Decile,26681.02
City of Manila,2021,All Income Groups,204369.69
City of Manila,2023,10th Decile,47901.45
City of Manila,2023,1st Decile,12026.79
City of Manila,2023,2nd Decile,16715.58
City of Manila,2023,3rd Decile,18672.51
City of Manila,2023,4th Decile,20079.84
City of Manila,2023,5th Decile,20757.54
City of Manila,2023,6th Decile,22831.85
City of Manila,2023,7th Decile,25612.84
City of Manila,2023,8th Decile,30157.34
City of Manila,2023,9th Decile,31476.92
City of Manila,2023,All Income Groups,246232.67
City of Mandaluyong,2018,10th Decile,27465.28
City of Mandaluyong,2018,1st Decile,2706.97
City of Mandaluyong,2018,2nd Decile,3517.13
City of Mandaluyong,2018,3rd Decile,3899.12
City of Mandaluyong,2018,4th Decile,4683.56
City of Mandaluyong,2018,5th Decile,4765.88
City of Mandaluyong,2018,6th Decile,5746.47
City of Mandaluyong,2018,7th Decile,6346.94
City of Mandaluyong,2018,8th Decile,7644.74
City of Mandaluyong,2018,9th Decile,10370.08
City of Mandaluyong,2018,All Income Groups,77146.17
City of Mandaluyong,2021,10th Decile,11970.43
City of Mandaluyong,2021,1st Decile,3956.37
City of Mandaluyong,2021,2nd Decile,4231.84
City of Mandaluyong,2021,3rd Decile,4447.2
City of Mandaluyong,2021,4th Decile,5169.04
City of Mandaluyong,2021,5th Decile,5413.22
City of Mandaluyong,2021,6th Decile,5908.25
City of Mandaluyong,2021,7th Decile,6108.5
City of Mandaluyong,2021,8th Decile,7377.02
City of Mandaluyong,2021,9th Decile,7770.84
City of Mandaluyong,2021,All Income Groups,62352.7
City of Mandaluyong,2023,10th Decile,21743.44
City of Mandaluyong,2023,1st Decile,4743.61
City of Mandaluyong,2023,2nd Decile,5620.73
City of Mandaluyong,2023,3rd Decile,6660.45
City of Mandaluyong,2023,4th Decile,6622.14
City of Mandaluyong,2023,5th Decile,7441.95
City of Mandaluyong,2023,6th Decile,8095.61
City of Mandaluyong,2023,7th Decile,9119.63
City of Mandaluyong,2023,8th Decile,11302.84
City of Mandaluyong,2023,9th Decile,12524.95
City of Mandaluyong,2023,All Income Groups,93875.35
City of San Juan,2018,10th Decile,5366.1
City of San Juan,2018,1st Decile,667.05
City of San Juan,2018,2nd Decile,902.46
City of San Juan,2018,3rd Decile,968.66
City of San Juan,2018,4th Decile,1100.89
City of San Juan,2018,5th Decile,1314.67
City of San Juan,2018,6th Decile,1406.52
City of San Juan,2018,7th Decile,1623.23
City of San Juan,2018,8th Decile,1623.09
City of San Juan,2018,9th Decile,2051.87
City of San Juan,2018,All Income Groups,17024.55
City of San Juan,2021,10th Decile,3518.9
City of San Juan,2021,1st Decile,869.95
City of San Juan,2021,2nd Decile,924.42
City of San Juan,2021,3rd Decile,1228.94
City of San Juan,2021,4th Decile,1177.94
City of San Juan,2021,5th Decile,1465.38
City of San Juan,2021,6th Decile,1263.61
City of San Juan,2021,7th Decile,1698.37
City of San Juan,2021,8th Decile,1634.49
City of San Juan,2021,9th Decile,2058.52
City of San Juan,2021,All Income Groups,15840.53
City of San Juan,2023,10th Decile,6886.4
City of San Juan,2023,1st Decile,927.18
City of San Juan,2023,2nd Decile,1427.25
City of San Juan,2023,3rd Decile,1480.95
City of San Juan,2023,4th Decile,1511.59
City of San Juan,2023,5th Decile,1722.84
City of San Juan,2023,6th Decile,2020.34
City of San Juan,2023,7th Decile,2265.23
City of San Juan,2023,8th Decile,1851.47
City of San Juan,2023,9th Decile,4226.9
City of San Juan,2023,All Income Groups,24320.15
Quezon City,2018,10th Decile,77346.23
Quezon City,2018,1st Decile,16200.91
Quezon City,2018,2nd Decile,19913.52
Quezon City,2018,3rd Decile,20545.99
Quezon City,2018,4th Decile,23706.56
Quezon City,2018,5th Decile,26909.54
Quezon City,2018,6th Decile,30034.67
Quezon City,2018,7th Decile,35953.16
Quezon City,2018,8th Decile,39623.6
Quezon City,2018,9th Decile,50215.87
Quezon City,2018,All Income Groups,340450.04
Quezon City,2021,10th Decile,72498.44
Quezon City,2021,1st Decile,17265.27
Quezon City,2021,2nd Decile,19203.69
Quezon City,2021,3rd Decile,22399.5
Quezon City,2021,4th Decile,23882.82
Quezon City,2021,5th Decile,27449.09
Quezon City,2021,6th Decile,27241.02
Quezon City,2021,7th Decile,31191.57
Quezon City,2021,8th Decile,35536.29
Quezon City,2021,9th Decile,39199.81
Quezon City,2021,All Income Groups,315867.49
Quezon City,2023,10th Decile,74062.25
Quezon City,2023,1st Decile,20501.01
Quezon City,2023,2nd Decile,25201.84
Quezon City,2023,3rd Decile,24932.28
Quezon City,2023,4th Decile,29128.12
Quezon City,2023,5th Decile,30704.25
Quezon City,2023,6th Decile,31496.79
Quezon City,2023,7th Decile,36983.61
Quezon City,2023,8th Decile,41553.4
Quezon City,2023,9th Decile,44645.26
Quezon City,2023,All Income Groups,359208.8
City of Marikina,2018,10th Decile,11331.59
City of Marikina,2018,1st Decile,2172.53
City of Marikina,2018,2nd Decile,2525.15
City of Marikina,2018,3rd Decile,3024.7
City of Marikina,2018,4th Decile,3523.89
City of Marikina,2018,5th Decile,3958.4
City of Marikina,2018,6th Decile,4241.79
City of Marikina,2018,7th Decile,4941.79
City of Marikina,2018,8th Decile,5974.21
City of Marikina,2018,9th Decile,6844.62
City of Marikina,2018,All Income Groups,48538.67
City of Marikina,2021,10th Decile,11660.71
City of Marikina,2021,1st Decile,2408.44
City of Marikina,2021,2nd Decile,2985.1
City of Marikina,2021,3rd Decile,3725.41
City of Marikina,2021,4th Decile,4062.73
City of Marikina,2021,5th Decile,3960.24
City of Marikina,2021,6th Decile,4452.57
City of Marikina,2021,7th Decile,5140.25
City of Marikina,2021,8th Decile,6136.91
City of Marikina,2021,9th Decile,6930.35
City of Marikina,2021,All Income Groups,51462.72
City of Marikina,2023,10th Decile,13378.77
City of Marikina,2023,1st Decile,3086.86
City of Marikina,2023,2nd Decile,3654.14
City of Marikina,2023,3rd Decile,3832.83
City of Marikina,2023,4th Decile,4551.19
City of Marikina,2023,5th Decile,5102.32
City of Marikina,2023,6th Decile,5477.41
City of Marikina,2023,7th Decile,6405.09
City of Marikina,2023,8th Decile,6708.86
City of Marikina,2023,9th Decile,8202.01
City of Marikina,2023,All Income Groups,60399.48
City of Pasig,2018,10th Decile,18863.82
City of Pasig,2018,1st Decile,4054.37
City of Pasig,2018,2nd Decile,5193.79
City of Pasig,2018,3rd Decile,6331.4
City of Pasig,2018,4th Decile,6688.45
