Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
PHILIPPINES,Province,,2018,10th Decile,2147950.63,False
PHILIPPINES,Province,,2018,1st Decile,280591.27,False
PHILIPPINES,Province,,2018,2nd Decile,357379.72,False
PHILIPPINES,Province,,2018,3rd Decile,416561.68,False
PHILIPPINES,Province,,2018,4th Decile,488345.43,False
PHILIPPINES,Province,,2018,5th Decile,556838.29,False
PHILIPPINES,Province,,2018,6th Decile,649802.48,False
PHILIPPINES,Province,,2018,7th Decile,763488.81,False
PHILIPPINES,Province,,2018,8th Decile,918043.59,False
PHILIPPINES,Province,,2018,9th Decile,1178010.77,False
PHILIPPINES,Province,,2018,All Income Groups,7757012.68,False
PHILIPPINES,Province,,2021,10th Decile,2149110.3,False
PHILIPPINES,Province,,2021,1st Decile,306262.87,False
PHILIPPINES,Province,,2021,2nd Decile,401607.22,False
PHILIPPINES,Province,,2021,3rd Decile,464150.01,False
PHILIPPINES,Province,,2021,4th Decile,535044.82,False
PHILIPPINES,Province,,2021,5th Decile,601018.25,False
PHILIPPINES,Province,,2021,6th Decile,691035.99,False
PHILIPPINES,Province,,2021,7th Decile,799717.89,False
PHILIPPINES,Province,,2021,8th Decile,954449.33,False
PHILIPPINES,Province,,2021,9th Decile,1206648.57,False
PHILIPPINES,Province,,2021,All Income Groups,8109045.26,False
PHILIPPINES,Province,,2023,10th Decile,2460817.96,False
PHILIPPINES,Province,,2023,1st Decile,393685.99,False
PHILIPPINES,Province,,2023,2nd Decile,501868.93,False
PHILIPPINES,Province,,2023,3rd Decile,572743.13,False
PHILIPPINES,Province,,2023,4th Decile,662747.85,False
PHILIPPINES,Province,,2023,5th Decile,747600.12,False
PHILIPPINES,Province,,2023,6th Decile,848372.55,False
PHILIPPINES,Province,,2023,7th Decile,966503.95,False
PHILIPPINES,Province,,2023,8th Decile,1143798.18,False
PHILIPPINES,Province,,2023,9th Decile,1408474.25,False
PHILIPPINES,Province,,2023,All Income Groups,9706612.91,False
NATIONAL CAPITAL REGION,Region,NCR,2018,10th Decile,355545.54,False
NATIONAL CAPITAL REGION,Region,NCR,2018,1st Decile,70127.21,False
NATIONAL CAPITAL REGION,Region,NCR,2018,2nd Decile,87785.99,False
NATIONAL CAPITAL REGION,Region,NCR,2018,3rd Decile,101204.78,False
NATIONAL CAPITAL REGION,Region,NCR,2018,4th Decile,111696.33,False
NATIONAL CAPITAL REGION,Region,NCR,2018,5th Decile,124357.3,False
NATIONAL CAPITAL REGION,Region,NCR,2018,6th Decile,136331.78,False
NATIONAL CAPITAL REGION,Region,NCR,2018,7th Decile,156437.84,False
NATIONAL CAPITAL REGION,Region,NCR,2018,8th Decile,173262.16,False
NATIONAL CAPITAL REGION,Region,NCR,2018,9th Decile,211020.73,False
NATIONAL CAPITAL REGION,Region,NCR,2018,All Income Groups,1527769.65,False
NATIONAL CAPITAL REGION,Region,NCR,2021,10th Decile,315898.85,False
NATIONAL CAPITAL REGION,Region,NCR,2021,1st Decile,77163.78,False
NATIONAL CAPITAL REGION,Region,NCR,2021,2nd Decile,91809.85,False
NATIONAL CAPITAL REGION,Region,NCR,2021,3rd Decile,103516.9,False
NATIONAL CAPITAL REGION,Region,NCR,2021,4th Decile,113145.22,False
NATIONAL CAPITAL REGION,Region,NCR,2021,5th Decile,125436.46,False
NATIONAL CAPITAL REGION,Region,NCR,2021,6th Decile,134488.1,False
NATIONAL CAPITAL REGION,Region,NCR,2021,7th Decile,148349.74,False
NATIONAL CAPITAL REGION,Region,NCR,2021,8th Decile,169983.54,False
NATIONAL CAPITAL REGION,Region,NCR,2021,9th Decile,187836.03,False
NATIONAL CAPITAL REGION,Region,NCR,2021,All Income Groups,1467628.46,False
NATIONAL CAPITAL REGION,Region,NCR,2023,10th Decile,427620.84,False
NATIONAL CAPITAL REGION,Region,NCR,2023,1st Decile,94452.9,False
NATIONAL CAPITAL REGION,Region,NCR,2023,2nd Decile,117464.79,False
NATIONAL CAPITAL REGION,Region,NCR,2023,3rd Decile,127934.6,False
NATIONAL CAPITAL REGION,Region,NCR,2023,4th Decile,141971.78,False
NATIONAL CAPITAL REGION,Region,NCR,2023,5th Decile,154774.39,False
NATIONAL CAPITAL REGION,Region,NCR,2023,6th Decile,170358.4,False
NATIONAL CAPITAL REGION,Region,NCR,2023,7th Decile,188200.04,False
NATIONAL CAPITAL REGION,Region,NCR,2023,8th Decile,208683.05,False
NATIONAL CAPITAL REGION,Region,NCR,2023,9th Decile,234340.51,False
NATIONAL CAPITAL REGION,Region,NCR,2023,All Income Groups,1865801.3,False
Manila,Province,,2018,10th Decile,40344.05,False
Manila,Province,,2018,1st Decile,9229.0,False
Manila,Province,,2018,2nd Decile,12068.34,False
Manila,Province,,2018,3rd Decile,14075.71,False
Manila,Province,,2018,4th Decile,16395.65,False
Manila,Province,,2018,5th Decile,16359.63,False
Manila,Province,,2018,6th Decile,18953.61,False
Manila,Province,,2018,7th Decile,21199.05,False
Manila,Province,,2018,8th Decile,22872.7,False
Manila,Province,,2018,9th Decile,25676.51,False
Manila,Province,,2018,All Income Groups,197174.25,False
Manila,Province,,2021,10th Decile,36244.13,False
Manila,Province,,2021,1st Decile,12756.53,False
Manila,Province,,2021,2nd Decile,14367.17,False
Manila,Province,,2021,3rd Decile,15252.71,False
Manila,Province,,2021,4th Decile,17313.18,False
Manila,Province,,2021,5th Decile,18312.17,False
Manila,Province,,2021,6th Decile,18747.08,False
Manila,Province,,2021,7th Decile,21382.04,False
Manila,Province,,2021,8th Decile,23313.65,False
Manila,Province,,2021,9th Decile,26681.02,False
Manila,Province,,2021,All Income Groups,204369.69,False
Manila,Province,,2023,10th Decile,47901.45,False
Manila,Province,,2023,1st Decile,12026.79,False
Manila,Province,,2023,2nd Decile,16715.58,False
Manila,Province,,2023,3rd Decile,18672.51,False
Manila,Province,,2023,4th Decile,20079.84,False
Manila,Province,,2023,5th Decile,20757.54,False
Manila,Province,,2023,6th Decile,22831.85,False
Manila,Province,,2023,7th Decile,25612.84,False
Manila,Province,,2023,8th Decile,30157.34,False
Manila,Province,,2023,9th Decile,31476.92,False
Manila,Province,,2023,All Income Groups,246232.67,False
Mandaluyong,Province,,2018,10th Decile,27465.28,False
Mandaluyong,Province,,2018,1st Decile,2706.97,False
Mandaluyong,Province,,2018,2nd Decile,3517.13,False
Mandaluyong,Province,,2018,3rd Decile,3899.12,False
Mandaluyong,Province,,2018,4th Decile,4683.56,False
Mandaluyong,Province,,2018,5th Decile,4765.88,False
Mandaluyong,Province,,2018,6th Decile,5746.47,False
Mandaluyong,Province,,2018,7th Decile,6346.94,False
Mandaluyong,Province,,2018,8th Decile,7644.74,False
Mandaluyong,Province,,2018,9th Decile,10370.08,False
Mandaluyong,Province,,2018,All Income Groups,77146.17,False
Mandaluyong,Province,,2021,10th Decile,11970.43,False
Mandaluyong,Province,,2021,1st Decile,3956.37,False
Mandaluyong,Province,,2021,2nd Decile,4231.84,False
Mandaluyong,Province,,2021,3rd Decile,4447.2,False
Mandaluyong,Province,,2021,4th Decile,5169.04,False
Mandaluyong,Province,,2021,5th Decile,5413.22,False
Mandaluyong,Province,,2021,6th Decile,5908.25,False
Mandaluyong,Province,,2021,7th Decile,6108.5,False
Mandaluyong,Province,,2021,8th Decile,7377.02,False
Mandaluyong,Province,,2021,9th Decile,7770.84,False
Mandaluyong,Province,,2021,All Income Groups,62352.7,False
Mandaluyong,Province,,2023,10th Decile,21743.44,False
Mandaluyong,Province,,2023,1st Decile,4743.61,False
Mandaluyong,Province,,2023,2nd Decile,5620.73,False
Mandaluyong,Province,,2023,3rd Decile,6660.45,False
Mandaluyong,Province,,2023,4th Decile,6622.14,False
Mandaluyong,Province,,2023,5th Decile,7441.95,False
Mandaluyong,Province,,2023,6th Decile,8095.61,False
Mandaluyong,Province,,2023,7th Decile,9119.63,False
Mandaluyong,Province,,2023,8th Decile,11302.84,False
Mandaluyong,Province,,2023,9th Decile,12524.95,False
Mandaluyong,Province,,2023,All Income Groups,93875.35,False
San Juan,Province,,2018,10th Decile,5366.1,False
San Juan,Province,,2018,1st Decile,667.05,False
San Juan,Province,,2018,2nd Decile,902.46,False
San Juan,Province,,2018,3rd Decile,968.66,False
San Juan,Province,,2018,4th Decile,1100.89,False
San Juan,Province,,2018,5th Decile,1314.67,False
San Juan,Province,,2018,6th Decile,1406.52,False
San Juan,Province,,2018,7th Decile,1623.23,False
San Juan,Province,,2018,8th Decile,1623.09,False
San Juan,Province,,2018,9th Decile,2051.87,False
San Juan,Province,,2018,All Income Groups,17024.55,False
San Juan,Province,,2021,10th Decile,3518.9,False
