Area,Area_Level,Region,IncomeGroup,Value_2018,Value_2021,Value_2023,pct_change_2018_2021,pct_change_2021_2023
NATIONAL CAPITAL REGION,Region,NCR,10th Decile,355545.54,315898.85,427620.84,-11.150945670700862,35.3663807259824
NATIONAL CAPITAL REGION,Region,NCR,1st Decile,70127.21,77163.78,94452.9,10.034008197388705,22.40574528619515
NATIONAL CAPITAL REGION,Region,NCR,2nd Decile,87785.99,91809.85,117464.79,4.583715465303746,27.94355943289308
NATIONAL CAPITAL REGION,Region,NCR,3rd Decile,101204.78,103516.9,127934.6,2.2845956485454497,23.588129088100604
NATIONAL CAPITAL REGION,Region,NCR,4th Decile,111696.33,113145.22,141971.78,1.297168850579065,25.47748813427558
NATIONAL CAPITAL REGION,Region,NCR,5th Decile,124357.3,125436.46,154774.39,0.867789828180576,23.38867822003268
NATIONAL CAPITAL REGION,Region,NCR,6th Decile,136331.78,134488.1,170358.4,-1.3523479265069325,26.671727833168873
NATIONAL CAPITAL REGION,Region,NCR,7th Decile,156437.84,148349.74,188200.04,-5.170168547456297,26.86239962402362
NATIONAL CAPITAL REGION,Region,NCR,8th Decile,173262.16,169983.54,208683.05,-1.8922885412487038,22.766621991752835
NATIONAL CAPITAL REGION,Region,NCR,9th Decile,211020.73,187836.03,234340.51,-10.986930051848466,24.75801900199872
NATIONAL CAPITAL REGION,Region,NCR,All Income Groups,1527769.65,1467628.46,1865801.3,-3.9365351969126987,27.13035695696444
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),10th Decile,220170.62,222486.26,222290.8,1.0517479580154765,-0.08785261615707009
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),1st Decile,40704.13,45272.97,62324.78,11.224512107248096,37.66443862640334
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),2nd Decile,53981.85,58542.73,78402.18,8.44891384789518,33.9229994911409
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),3rd Decile,61209.2,67233.02,88461.46,9.841363716565496,31.574425780665514
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),4th Decile,68448.76,71139.71,95915.16,3.9313349138830445,34.82647033562548
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),5th Decile,74945.19,80694.12,102489.34,7.670845854150203,27.00967555008965
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),6th Decile,85259.16,90308.7,112017.76,5.922577703087848,24.038724951195174
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),7th Decile,92157.39,98768.22,122421.89,7.173412788708536,23.948664864062547
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),8th Decile,105258.82,113102.82,134118.59,7.452107101333645,18.58111937438871
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),9th Decile,127463.19,134972.99,153606.87,5.891740195738071,13.80563622395859
REGION III - CENTRAL LUZON,Region,Region III (Central Luzon),All Income Groups,929598.3,982521.54,1172048.83,5.693130032617313,19.289886509765477
