Region,City/Province,Year,"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"
NATIONAL CAPITAL REGION (NCR),City of Manila,2020,,447791,483508,1829294,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Mandaluyong,2020,,108859,116513,417467,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Marikina,2020,,97768,104406,452940,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Pasig,2020,,196744,212866,801376,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),Quezon City,2020,,697332,738367,2949533,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of San Juan,2020,,29503,31415,124339,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Caloocan,2020,,379922,404137,1658765,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Malabon,2020,,88079,94232,379434,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Navotas,2020,,55476,63061,246351,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Valenzuela,2020,,177749,192983,713139,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Las Piñas,2020,,142990,156756,603685,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Makati,2020,,180256,186238,623662,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Muntinlupa,2020,,126655,138176,518584,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Parañaque,2020,,170674,182109,685951,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),Pasay City,2020,,114778,127290,436178,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Taguig,2020,,228341,246790,882379,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),Pateros,2020,,14103,15838,65064,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,2020,,56928,58954,250304,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,2020,,28385,28861,123929,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,2020,,115716,116690,459466,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,2020,,48379,48756,207130,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,2020,,47778,48077,229326,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,2020,,37534,37601,157798,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),City of Baguio,2020,,97948,100210,363138,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,2020,,141731,152970,608506,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Sur,2020,,164711,172042,704206,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,2020,,192998,205028,820335,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,2020,,732008,776180,3159191,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Batanes,2020,,5174,5546,18591,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,2020,,291652,301509,1265508,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Isabela,2020,,405425,422569,1695178,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Nueva Vizcaya,2020,,124274,128175,496527,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Quirino,2020,,49067,49545,203529,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Aurora,2020,,56540,57036,234990,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,2020,,199002,208879,849326,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bulacan,2020,,865286,920457,3696426,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Nueva Ecija,2020,,546068,572551,2306669,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,2020,,540236,573763,2432614,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Tarlac,2020,,350479,359534,1498969,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,2020,,161255,164922,647100,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),City of Angeles,2020,,109497,116318,461081,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),City of Olongapo,2020,,63821,66422,258600,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Batangas,2020,,674774,715915,2901695,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Cavite,2020,,1036970,1095917,4317998,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Laguna,2020,,834930,915250,3372585,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Quezon,2020,,463376,483655,1945356,,,,,,,,,,,,,
REGION IV-A (CALABARZON),Rizal,2020,,746907,784360,3321226,,,,,,,,,,,,,
REGION IV-A (CALABARZON),City of Lucena,2020,,63782,66899,278340,,,,,,,,,,,,,
MIMAROPA REGION,Marinduque,2020,,59263,60547,238815,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,2020,,125023,126627,521436,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,2020,,212416,215071,906654,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,2020,,228788,230809,934601,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,2020,,75895,77635,308068,,,,,,,,,,,,,
MIMAROPA REGION,City of Puerto Princesa,2020,,80050,82100,302493,,,,,,,,,,,,,
REGION V (BICOL REGION),Albay,2020,,305362,311416,1372454,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Norte,2020,,142094,144139,628788,,,,,,,,,,,,,
REGION V (BICOL REGION),Camarines Sur,2020,,445150,455217,2062175,,,,,,,,,,,,,
REGION V (BICOL REGION),Catanduanes,2020,,59815,60336,270759,,,,,,,,,,,,,
REGION V (BICOL REGION),Masbate,2020,,204668,206278,906429,,,,,,,,,,,,,
REGION V (BICOL REGION),Sorsogon,2020,,185489,187438,826119,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,2020,,147890,151373,612972,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Antique,2020,,146370,147681,611453,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,2020,,199268,202026,803856,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Guimaras,2020,,47137,47474,187574,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,2020,,499274,506167,2048000,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,2020,,619110,637910,2618581,,,,,,,,,,,,,
