Housing_Unit_Type,Region,City/Province,Year,Occupied Housing Units,Number of Households /a,Household Population /a,Total,One Floor,Two Floors,Three Floors,Four Floors,Five to 10 Floors,11 Floors or more,Not Reported,Not applicable
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,69327.0,66813.0,2336.0,24.0,6.0,0.0,0.0,145.0,3.0
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,36.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,180.0,100.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,80.0,34.0,43.0,0.0,0.0,0.0,0.0,3.0,0.0
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (,Basilan,2020,,,,69013.0,66643.0,2202.0,23.0,6.0,0.0,0.0,139.0,0.0
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,130552.0,102829.0,26520.0,718.0,100.0,0.0,0.0,367.0,18.0
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,234.0,85.0,116.0,27.0,6.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,69.0,45.0,19.0,4.0,0.0,0.0,0.0,1.0,0.0
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,1701.0,823.0,812.0,43.0,15.0,0.0,0.0,8.0,0.0
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,1158.0,420.0,661.0,58.0,9.0,0.0,0.0,10.0,0.0
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (,Lanao Del Sur,2020,,,,127356.0,101442.0,24910.0,586.0,70.0,0.0,0.0,348.0,0.0
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,266763.0,240762.0,25148.0,451.0,64.0,0.0,0.0,333.0,5.0
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,986.0,610.0,327.0,49.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,369.0,94.0,161.0,91.0,22.0,0.0,0.0,1.0,0.0
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,1531.0,906.0,607.0,13.0,1.0,0.0,0.0,4.0,0.0
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,37.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,930.0,485.0,438.0,4.0,0.0,0.0,0.0,3.0,0.0
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (,Maguindanao,2020,,,,262899.0,238631.0,23614.0,294.0,41.0,0.0,0.0,319.0,0.0
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,146622.0,132933.0,3888.0,102.0,27.0,0.0,0.0,9672.0,0.0
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,29.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,44.0,26.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,1288.0,275.0,144.0,3.0,3.0,0.0,0.0,863.0,0.0
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,21.0,10.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,353.0,98.0,67.0,3.0,0.0,0.0,0.0,185.0,0.0
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (,Sulu,2020,,,,144885.0,132499.0,3654.0,96.0,20.0,0.0,0.0,8616.0,0.0
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,65741.0,61917.0,3702.0,74.0,9.0,0.0,0.0,39.0,0.0
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,33.0,23.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,28.0,17.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,76.0,44.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,48.0,21.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (,Tawi-Tawi,2020,,,,65547.0,61809.0,3630.0,63.0,9.0,0.0,0.0,36.0,0.0
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,69327.0,73419.0,425111.0,,,,,,,,,
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,36.0,38.0,211.0,,,,,,,,,
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,10.0,10.0,64.0,,,,,,,,,
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,3.0,3.0,21.0,,,,,,,,,
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,180.0,194.0,1029.0,,,,,,,,,
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,2.0,5.0,34.0,,,,,,,,,
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,0.0,0.0,0.0,,,,,,,,,
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,80.0,82.0,431.0,,,,,,,,,
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,3.0,3.0,16.0,,,,,,,,,
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Basilan,2020,69013.0,73084.0,423305.0,,,,,,,,,
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,130552.0,181511.0,1179268.0,,,,,,,,,
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,234.0,267.0,1625.0,,,,,,,,,
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,69.0,92.0,580.0,,,,,,,,,
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,0.0,0.0,0.0,,,,,,,,,
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,1701.0,2292.0,14964.0,,,,,,,,,
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,16.0,21.0,130.0,,,,,,,,,
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,0.0,0.0,0.0,,,,,,,,,
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,1158.0,1424.0,9147.0,,,,,,,,,
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,18.0,23.0,161.0,,,,,,,,,
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Lanao Del Sur,2020,127356.0,177392.0,1152661.0,,,,,,,,,
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,266763.0,287283.0,1666348.0,,,,,,,,,
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,986.0,1073.0,5177.0,,,,,,,,,
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,369.0,376.0,1707.0,,,,,,,,,
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,6.0,7.0,45.0,,,,,,,,,
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,1531.0,1734.0,9243.0,,,,,,,,,
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,37.0,37.0,202.0,,,,,,,,,
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,0.0,0.0,0.0,,,,,,,,,
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,930.0,1004.0,4494.0,,,,,,,,,
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,5.0,5.0,27.0,,,,,,,,,
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Maguindanao,2020,262899.0,283047.0,1645453.0,,,,,,,,,
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,146622.0,164729.0,991122.0,,,,,,,,,
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,29.0,29.0,180.0,,,,,,,,,
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,44.0,45.0,282.0,,,,,,,,,
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,0.0,0.0,0.0,,,,,,,,,
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,1288.0,1385.0,8463.0,,,,,,,,,
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,21.0,24.0,113.0,,,,,,,,,
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,2.0,2.0,12.0,,,,,,,,,
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,353.0,362.0,2192.0,,,,,,,,,
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,0.0,0.0,0.0,,,,,,,,,
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,144885.0,162882.0,979880.0,,,,,,,,,
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,65741.0,74757.0,438526.0,,,,,,,,,
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,33.0,33.0,170.0,,,,,,,,,
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,28.0,38.0,209.0,,,,,,,,,
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,3.0,3.0,13.0,,,,,,,,,
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,76.0,81.0,408.0,,,,,,,,,
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,6.0,6.0,35.0,,,,,,,,,
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,0.0,0.0,0.0,,,,,,,,,
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,48.0,49.0,335.0,,,,,,,,,
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,0.0,0.0,0.0,,,,,,,,,
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,65547.0,74547.0,437356.0,,,,,,,,,
All Types Of Building,Cordillera Administrative Region (Car),Abra,2020,56928.0,58954.0,250304.0,56928.0,45054.0,11390.0,423.0,41.0,1.0,0.0,19.0,0.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),Abra,2020,76.0,76.0,225.0,76.0,27.0,34.0,10.0,5.0,0.0,0.0,0.0,0.0
