region,in_scope,province,city,location,description,price,bedrooms,bathrooms,floor_area,land_area,price_per_sqm_floor,price_per_sqm_land,price_per_bedroom,bb_ratio,far,latitude,longitude
N/A,FALSE,N/A,Cainta,"Santo Domingo, Cainta","Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta",9500000,4,3,144,136,65972.22222,69852.94118,2375000,1.333333333,1.058823529,14.5823408,121.1180438
N/A,FALSE,N/A,Santa Maria,"San Vicente, Santa Maria","Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan",4400000,3,2,63.2,80,69620.25316,55000,1466666.667,1.5,0.79,14.8077154,121.0024016
Central Luzon,TRUE,Tarlac,Camella Tarlac Access Rd. Maliwalo,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,7810000,5,3,100,110,78100,71000,1562000,1.666666667,0.909090909,N/A,N/A
N/A,FALSE,N/A,Zamboanga,"Zambowood Rd. Boalan, Zamboanga",Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,3275000,2,1,40.32,78.4,81225.19841,41772.95918,1637500,2,0.514285714,6.9483885,122.1148889
N/A,FALSE,N/A,Tanza,"Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza","Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest",3167300,N/A,N/A,39.64,100,79901.61453,31673,N/A,N/A,0.3964,N/A,N/A
N/A,FALSE,N/A,Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria","2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)",1800000,2,2,52,40,34615.38462,45000,900000,1,1.3,N/A,N/A
N/A,FALSE,N/A,Subic,"Aningway Sacatihan, Subic","5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm",8428000,5,3,142,121,59352.11268,69652.89256,1685600,1.666666667,1.173553719,14.9131781,120.2282421
N/A,FALSE,N/A,Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",2-Bedroom House and Lot For Sale in Camella Pili,3565000,2,1,46,63,77500,56587.30159,1782500,2,0.73015873,N/A,N/A
NCR,TRUE,Ncr,Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa","3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",28650000,3,3,219.3,90,130642.9549,318333.3333,9550000,1,2.436666667,14.4270005,121.0452782
N/A,FALSE,N/A,Mexico,"Km.71, North Luzon Expressway Panipuan, Mexico","3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model",3500000,3,2,102.39,154,34183.02569,22727.27273,1166666.667,1.5,0.66487013,15.0941848,120.6701583
N/A,FALSE,N/A,Davao,"Tugbok, Davao","3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",5300000,3,2,70.27,67,75423.36701,79104.47761,1766666.667,1.5,1.04880597,7.1035383,125.4948467
N/A,FALSE,N/A,San Rafael,"Caingin, San Rafael","2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",1800000,2,1,46,41,39130.43478,43902.43902,900000,2,1.12195122,14.9717467,120.9434431
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm",7337000,4,3,85,99,86317.64706,74111.11111,1834250,1.333333333,0.858585859,15.4710779,120.9821312
