RDMD_ID,Region,Household Unique Sequential Number,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Household Size,C09-Work Indicator,"C11 - Location of Work (Province, Municipality)"
1,1,1,1673.3977,12,2023,478,4,1,2805
2,1,1,1802.6099,12,2023,478,4,1,2805
3,1,1,1648.4477,12,2023,478,4,2,N/A
4,1,1,1630.7063,12,2023,478,4,N/A,N/A
5,1,2,1648.4477,12,2023,478,2,1,2805
6,1,2,1188.5294,12,2023,478,2,1,2805
7,1,3,1633.1074,12,2023,478,8,1,2805
8,1,3,1744.0943,12,2023,478,8,1,2805
9,1,3,2146.1011,12,2023,478,8,1,2805
10,1,3,1677.2813,12,2023,478,8,1,2805
11,1,3,2146.1011,12,2023,478,8,1,2805
12,1,3,1630.7063,12,2023,478,8,1,2805
13,1,3,1550.9332,12,2023,478,8,N/A,N/A
14,1,3,1524.4192,12,2023,478,8,2,N/A
15,1,4,1633.1074,12,2023,478,3,1,2805
16,1,4,1943.2846,12,2023,478,3,1,2805
17,1,4,1677.2813,12,2023,478,3,1,2805
18,1,5,1206.42,12,2023,478,5,2,N/A
19,1,5,1633.1074,12,2023,478,5,1,2805
20,1,5,1648.4477,12,2023,478,5,1,2805
21,1,5,2024.9632,12,2023,478,5,2,N/A
22,1,5,1633.1074,12,2023,478,5,1,2805
23,1,6,1188.5294,12,2023,478,2,1,2805
24,1,6,1206.42,12,2023,478,2,1,2805
25,1,7,1633.1074,12,2023,478,3,1,2805
26,1,7,1943.2846,12,2023,478,3,N/A,N/A
27,1,7,1677.2813,12,2023,478,3,2,N/A
28,1,8,1673.3977,12,2023,478,1,1,2812
29,1,9,1188.5294,12,2023,478,4,1,2805
30,1,9,1206.42,12,2023,478,4,1,2805
31,1,9,1744.0943,12,2023,478,4,N/A,N/A
32,1,9,1630.7063,12,2023,478,4,1,2805
33,1,10,1673.3977,12,2023,478,1,1,2805
34,1,11,1206.42,12,2023,478,7,1,2805
35,1,11,1633.1074,12,2023,478,7,N/A,N/A
36,1,11,1943.2846,12,2023,478,7,1,2805
37,1,11,2146.1011,12,2023,478,7,1,2805
38,1,11,1677.2813,12,2023,478,7,1,2805
39,1,11,2146.1011,12,2023,478,7,1,2805
40,1,11,1524.4192,12,2023,478,7,1,2805
41,1,12,1188.5294,12,2023,478,8,1,2805
42,1,12,1206.42,12,2023,478,8,1,2805
43,1,12,1648.4477,12,2023,478,8,1,2805
44,1,12,1630.7063,12,2023,478,8,1,2805
45,1,12,1630.7063,12,2023,478,8,1,2805
46,1,12,1630.7063,12,2023,478,8,1,2805
47,1,12,1550.9332,12,2023,478,8,1,2805
48,1,12,1524.4192,12,2023,478,8,N/A,N/A
49,1,13,1802.6099,12,2023,478,6,1,2805
50,1,13,1677.2813,12,2023,478,6,1,2805
51,1,13,2146.1011,12,2023,478,6,1,2805
52,1,13,1630.7063,12,2023,478,6,1,2805
53,1,13,1550.9332,12,2023,478,6,2,N/A
54,1,13,1524.4192,12,2023,478,6,N/A,N/A
55,1,14,1802.6099,12,2023,478,1,1,2805
56,1,15,1943.2846,12,2023,478,4,1,2805
57,1,15,1648.4477,12,2023,478,4,1,2805
58,1,15,2024.9632,12,2023,478,4,2,N/A
59,1,15,1524.4192,12,2023,478,4,2,N/A
60,1,16,1163.3487,12,2023,228,2,2,N/A
61,1,16,1180.8603,12,2023,228,2,2,N/A
62,1,17,1180.8603,12,2023,228,2,2,N/A
63,1,17,1518.0744,12,2023,228,2,1,2812
64,1,18,1163.3487,12,2023,228,5,2,N/A
65,1,18,1180.8603,12,2023,228,5,2,N/A
66,1,18,1613.523,12,2023,228,5,N/A,N/A
67,1,18,1596.1575,12,2023,228,5,1,2805
68,1,18,1492.1222,12,2023,228,5,2,N/A
69,1,19,1598.5077,12,2023,228,4,1,2812
70,1,19,1764.4191,12,2023,228,4,2,N/A
71,1,19,2100.6329,12,2023,228,4,2,N/A
72,1,19,2100.6329,12,2023,228,4,2,N/A
73,1,20,1598.5077,12,2023,228,4,1,2812
74,1,20,1707.1432,12,2023,228,4,1,2812
75,1,20,1641.7457,12,2023,228,4,2,N/A
76,1,20,2100.6329,12,2023,228,4,2,N/A
77,1,21,1598.5077,12,2023,228,1,1,2812
78,1,22,1902.1133,12,2023,228,1,1,2820
79,1,23,1598.5077,12,2023,228,4,1,2812
80,1,23,1707.1432,12,2023,228,4,N/A,N/A
81,1,23,1641.7457,12,2023,228,4,2,N/A
82,1,23,1641.7457,12,2023,228,4,2,N/A
83,1,24,1637.9444,12,2023,228,8,1,2812
84,1,24,1764.4191,12,2023,228,8,1,2812
85,1,24,1596.1575,12,2023,228,8,1,2812
86,1,24,1596.1575,12,2023,228,8,1,2812
87,1,24,1518.0744,12,2023,228,8,2,N/A
88,1,24,1492.1222,12,2023,228,8,2,N/A
89,1,24,1492.1222,12,2023,228,8,N/A,N/A
90,1,24,1596.1575,12,2023,228,8,1,2812
91,1,25,1598.5077,12,2023,228,6,1,2812
92,1,25,1707.1432,12,2023,228,6,1,2812
93,1,25,1596.1575,12,2023,228,6,1,2812
94,1,25,1518.0744,12,2023,228,6,2,N/A
95,1,25,1982.0615,12,2023,228,6,2,N/A
96,1,25,2100.6329,12,2023,228,6,2,N/A
97,1,26,1637.9444,12,2023,228,3,1,2812
98,1,26,1764.4191,12,2023,228,3,2,N/A
99,1,26,1641.7457,12,2023,228,3,2,N/A
100,1,27,1613.523,12,2023,228,3,1,2812
101,1,27,1902.1133,12,2023,228,3,1,2812
102,1,27,1641.7457,12,2023,228,3,1,2812
103,1,28,1596.1575,12,2023,228,4,1,2812
104,1,28,1518.0744,12,2023,228,4,2,N/A
105,1,28,1492.1222,12,2023,228,4,2,N/A
106,1,28,1982.0615,12,2023,228,4,N/A,N/A
107,1,29,1180.8603,12,2023,228,1,2,N/A
108,1,30,1764.4191,12,2023,228,5,2,N/A
109,1,30,1613.523,12,2023,228,5,1,2812
110,1,30,1902.1133,12,2023,228,5,1,2812
111,1,30,1982.0615,12,2023,228,5,2,N/A
112,1,30,1982.0615,12,2023,228,5,N/A,N/A
113,1,31,1596.1575,12,2023,228,5,1,2812
114,1,31,1518.0744,12,2023,228,5,N/A,N/A
115,1,31,1492.1222,12,2023,228,5,2,N/A
116,1,31,1982.0615,12,2023,228,5,N/A,N/A
117,1,31,1518.0744,12,2023,228,5,1,2812
118,1,32,1180.9752,12,2023,603,5,2,N/A
119,1,32,1791.1527,12,2023,603,5,2,N/A
120,1,32,1620.3417,12,2023,603,5,1,2813
121,1,32,1541.0756,12,2023,603,5,2,N/A
122,1,32,1666.6206,12,2023,603,5,2,N/A
123,1,33,1637.9704,12,2023,603,4,1,2813
124,1,33,1541.0756,12,2023,603,4,1,2813
125,1,33,2132.4606,12,2023,603,4,2,N/A
126,1,33,2012.0928,12,2023,603,4,2,N/A
127,1,34,1622.7275,12,2023,603,3,1,2813
128,1,34,1791.1527,12,2023,603,3,1,2813
129,1,34,1666.6206,12,2023,603,3,2,N/A
130,1,35,1180.9752,12,2023,603,2,2,N/A
131,1,35,1198.7522,12,2023,603,2,2,N/A
132,1,36,1662.7618,12,2023,603,6,1,2813
133,1,36,1733.009,12,2023,603,6,1,2813
134,1,36,1637.9704,12,2023,603,6,1,2813
135,1,36,1930.9332,12,2023,603,6,1,2813
136,1,36,1198.7522,12,2023,603,6,2,N/A
137,1,36,1791.1527,12,2023,603,6,2,N/A
138,1,37,1622.7275,12,2023,603,4,1,2813
139,1,37,1198.7522,12,2023,603,4,1,2813
140,1,37,2132.4606,12,2023,603,4,1,2813
141,1,37,1666.6206,12,2023,603,4,1,2813
142,1,38,1662.7618,12,2023,603,5,1,2813
143,1,38,1733.009,12,2023,603,5,1,2813
144,1,38,2012.0928,12,2023,603,5,2,N/A
145,1,38,1514.7301,12,2023,603,5,2,N/A
146,1,38,1666.6206,12,2023,603,5,1,2813
147,1,39,1637.9704,12,2023,603,4,1,2813
148,1,39,1930.9332,12,2023,603,4,1,2813
149,1,39,1541.0756,12,2023,603,4,N/A,N/A
150,1,39,1666.6206,12,2023,603,4,1,2813
151,1,40,1180.9752,12,2023,603,1,1,2813
152,1,41,1622.7275,12,2023,603,7,1,2812
153,1,41,1733.009,12,2023,603,7,2,N/A
154,1,41,1666.6206,12,2023,603,7,2,N/A
155,1,41,1620.3417,12,2023,603,7,1,2812
156,1,41,1541.0756,12,2023,603,7,N/A,N/A
157,1,41,2012.0928,12,2023,603,7,2,N/A
158,1,41,2012.0928,12,2023,603,7,N/A,N/A
159,1,42,1180.9752,12,2023,603,4,1,2813
160,1,42,1198.7522,12,2023,603,4,1,2813
161,1,42,1622.7275,12,2023,603,4,1,2813
162,1,42,1733.009,12,2023,603,4,1,2813
163,1,43,1733.009,12,2023,603,3,1,2813
164,1,43,2132.4606,12,2023,603,3,1,2813
165,1,43,1198.7522,12,2023,603,3,2,N/A
166,1,44,1662.7618,12,2023,603,4,1,2813
167,1,44,1733.009,12,2023,603,4,1,2813
168,1,44,2132.4606,12,2023,603,4,1,2813
169,1,44,1666.6206,12,2023,603,4,1,2820
170,1,45,1180.9752,12,2023,603,2,1,2813
171,1,45,1791.1527,12,2023,603,2,1,2813
172,1,46,1622.7275,12,2023,603,4,1,2822
173,1,46,1930.9332,12,2023,603,4,2,N/A
174,1,46,1666.6206,12,2023,603,4,2,N/A
175,1,46,1514.7301,12,2023,603,4,2,N/A
176,1,47,1637.9704,12,2023,603,6,1,2813
177,1,47,1541.0756,12,2023,603,6,1,2813
178,1,47,2132.4606,12,2023,603,6,1,2813
179,1,47,2012.0928,12,2023,603,6,2,N/A
180,1,47,1514.7301,12,2023,603,6,2,N/A
181,1,47,2012.0928,12,2023,603,6,2,N/A
182,1,48,1637.9704,12,2023,603,4,1,2813
183,1,48,1541.0756,12,2023,603,4,2,N/A
184,1,48,2012.0928,12,2023,603,4,2,N/A
185,1,48,2012.0928,12,2023,603,4,2,N/A
186,1,49,1633.6502,12,2023,353,3,1,2815
187,1,49,1744.674,12,2023,353,3,1,2815
188,1,49,1524.9259,12,2023,353,3,1,2815
189,1,50,1673.954,12,2023,353,2,1,2815
190,1,50,1744.674,12,2023,353,2,2,N/A
191,1,51,1673.954,12,2023,353,8,1,2815
192,1,51,1803.2091,12,2023,353,8,1,2815
193,1,51,1206.8211,12,2023,353,8,2,N/A
194,1,51,1551.4487,12,2023,353,8,1,2805
195,1,51,1631.2483,12,2023,353,8,1,2812
196,1,51,1551.4487,12,2023,353,8,1,2812
197,1,51,1524.9259,12,2023,353,8,2,N/A
198,1,51,2025.6363,12,2023,353,8,2,N/A
199,1,52,1633.6502,12,2023,353,5,1,2815
200,1,52,1744.674,12,2023,353,5,1,2815
201,1,52,1677.8388,12,2023,353,5,1,2815
202,1,52,1677.8388,12,2023,353,5,1,2815
203,1,52,1524.9259,12,2023,353,5,1,2815
204,1,53,1206.8211,12,2023,353,1,1,2815
205,1,54,1631.2483,12,2023,353,5,1,2815
206,1,54,1551.4487,12,2023,353,5,1,2815
207,1,54,1524.9259,12,2023,353,5,1,2815
208,1,54,1524.9259,12,2023,353,5,2,N/A
209,1,54,2025.6363,12,2023,353,5,N/A,N/A
210,1,55,1188.9245,12,2023,353,5,1,2815
211,1,55,1206.8211,12,2023,353,5,2,N/A
212,1,55,1943.9305,12,2023,353,5,1,2815
213,1,55,1524.9259,12,2023,353,5,2,N/A
214,1,55,1524.9259,12,2023,353,5,2,N/A
215,1,56,1188.9245,12,2023,353,3,1,2815
216,1,56,1206.8211,12,2023,353,3,1,2815
217,1,56,2146.8144,12,2023,353,3,2,N/A
218,1,57,1648.9957,12,2023,353,4,1,2815
219,1,57,1943.9305,12,2023,353,4,N/A,N/A
220,1,57,1677.8388,12,2023,353,4,1,2815
221,1,57,1677.8388,12,2023,353,4,1,2815
222,1,58,1648.9957,12,2023,353,2,1,2815
223,1,58,1524.9259,12,2023,353,2,2,N/A
224,1,59,1188.9245,12,2023,353,2,1,2815
225,1,59,1803.2091,12,2023,353,2,1,2815
226,1,60,1188.9245,12,2023,353,2,2,N/A
227,1,60,1524.9259,12,2023,353,2,2,N/A
228,1,61,1206.8211,12,2023,353,1,2,N/A
229,1,62,1631.2483,12,2023,353,3,1,2815
230,1,62,1551.4487,12,2023,353,3,2,N/A
231,1,62,1524.9259,12,2023,353,3,2,N/A
232,1,63,1633.6502,12,2023,353,5,1,2815
233,1,63,1943.9305,12,2023,353,5,1,2815
234,1,63,1524.9259,12,2023,353,5,2,N/A
235,1,63,1524.9259,12,2023,353,5,2,N/A
236,1,63,2025.6363,12,2023,353,5,N/A,N/A
237,1,64,1631.2483,12,2023,353,5,1,2815
238,1,64,1551.4487,12,2023,353,5,1,2815
239,1,64,2025.6363,12,2023,353,5,2,N/A
240,1,64,2025.6363,12,2023,353,5,2,N/A
241,1,64,2025.6363,12,2023,353,5,N/A,N/A
242,1,65,1631.2483,12,2023,353,4,1,2815
243,1,65,1551.4487,12,2023,353,4,2,N/A
244,1,65,1524.9259,12,2023,353,4,2,N/A
245,1,65,1524.9259,12,2023,353,4,2,N/A
246,1,66,1648.9957,12,2023,353,4,1,2820
247,1,66,1943.9305,12,2023,353,4,2,N/A
248,1,66,1524.9259,12,2023,353,4,2,N/A
249,1,66,2025.6363,12,2023,353,4,2,N/A
250,1,67,1595.276,12,2023,103,6,1,2815
251,1,67,1718.4559,12,2023,103,6,N/A,N/A
252,1,67,1453.2524,12,2023,103,6,2,N/A
253,1,67,1554.5776,12,2023,103,6,1,2815
254,1,67,1478.5286,12,2023,103,6,1,2815
255,1,67,1930.4288,12,2023,103,6,N/A,N/A
256,1,68,1133.0435,12,2023,103,2,2,N/A
257,1,68,1150.0989,12,2023,103,2,2,N/A
258,1,69,1150.0989,12,2023,103,2,2,N/A
259,1,69,1595.276,12,2023,103,2,2,N/A
260,1,70,1133.0435,12,2023,103,2,1,2815
261,1,70,1150.0989,12,2023,103,2,1,2815
262,1,71,1571.4908,12,2023,103,5,1,2815
263,1,71,1852.5633,12,2023,103,5,2,N/A
264,1,71,1453.2524,12,2023,103,5,2,N/A
265,1,71,1930.4288,12,2023,103,5,2,N/A
266,1,71,1930.4288,12,2023,103,5,N/A,N/A
267,1,72,1556.8666,12,2023,103,7,1,2815
268,1,72,1662.6721,12,2023,103,7,N/A,N/A
269,1,72,1598.9782,12,2023,103,7,1,2815
270,1,72,1598.9782,12,2023,103,7,1,2815
271,1,72,1598.9782,12,2023,103,7,1,2815
272,1,72,1453.2524,12,2023,103,7,1,2815
273,1,72,1930.4288,12,2023,103,7,2,N/A
274,1,73,1598.9782,12,2023,103,3,1,2815
275,1,73,2045.9114,12,2023,103,3,2,N/A
276,1,73,1662.6721,12,2023,103,3,N/A,N/A
277,1,74,1595.276,12,2023,103,4,1,2815
278,1,74,1662.6721,12,2023,103,4,2,N/A
279,1,74,1598.9782,12,2023,103,4,1,2815
280,1,74,2045.9114,12,2023,103,4,1,2815
281,1,75,1554.5776,12,2023,103,3,1,2815
282,1,75,2045.9114,12,2023,103,3,2,N/A
283,1,75,1930.4288,12,2023,103,3,N/A,N/A
284,1,76,1571.4908,12,2023,103,4,1,2815
285,1,76,1478.5286,12,2023,103,4,2,N/A
286,1,76,1930.4288,12,2023,103,4,2,N/A
287,1,76,1453.2524,12,2023,103,4,N/A,N/A
288,1,77,1595.276,12,2023,103,3,1,2815
289,1,77,1662.6721,12,2023,103,3,1,2815
290,1,77,1554.5776,12,2023,103,3,1,2815
291,1,78,1595.276,12,2023,103,8,1,2815
292,1,78,1554.5776,12,2023,103,8,1,2815
293,1,78,1478.5286,12,2023,103,8,1,2815
294,1,78,1930.4288,12,2023,103,8,N/A,N/A
295,1,78,1571.4908,12,2023,103,8,1,2815
296,1,78,1478.5286,12,2023,103,8,N/A,N/A
297,1,78,1453.2524,12,2023,103,8,2,N/A
298,1,78,1930.4288,12,2023,103,8,N/A,N/A
299,1,79,1571.4908,12,2023,103,5,1,2815
300,1,79,1852.5633,12,2023,103,5,1,2815
301,1,79,1598.9782,12,2023,103,5,1,2815
302,1,79,1453.2524,12,2023,103,5,2,N/A
303,1,79,1453.2524,12,2023,103,5,N/A,N/A
304,1,80,1133.0435,12,2023,103,1,1,2815
305,1,81,1150.0989,12,2023,103,2,2,N/A
306,1,81,1571.4908,12,2023,103,2,1,2815
307,1,82,1556.8666,12,2023,103,3,1,2815
308,1,82,1662.6721,12,2023,103,3,1,2815
309,1,82,1598.9782,12,2023,103,3,1,2815
310,1,83,1150.0989,12,2023,103,4,2,N/A
311,1,83,1478.5286,12,2023,103,4,1,2815
312,1,83,1453.2524,12,2023,103,4,2,N/A
313,1,83,1453.2524,12,2023,103,4,2,N/A
314,1,84,1571.4908,12,2023,103,1,1,2815
315,1,85,1554.5776,12,2023,103,7,1,2815
316,1,85,1478.5286,12,2023,103,7,1,2815
317,1,85,1930.4288,12,2023,103,7,1,2815
318,1,85,1930.4288,12,2023,103,7,2,N/A
319,1,85,1453.2524,12,2023,103,7,2,N/A
320,1,85,1453.2524,12,2023,103,7,2,N/A
321,1,85,1453.2524,12,2023,103,7,N/A,N/A
322,1,86,1592.5682,12,2023,728,6,1,2819
323,1,86,1877.4105,12,2023,728,6,1,2819
324,1,86,1620.4243,12,2023,728,6,1,2819
325,1,86,1620.4243,12,2023,728,6,1,2819
326,1,86,2073.3519,12,2023,728,6,2,N/A
327,1,86,1472.744,12,2023,728,6,N/A,N/A
328,1,87,1684.9725,12,2023,728,7,1,2819
329,1,87,1616.6724,12,2023,728,7,N/A,N/A
330,1,87,2073.3519,12,2023,728,7,2,N/A
331,1,87,1592.5682,12,2023,728,7,1,2819
332,1,87,1498.3592,12,2023,728,7,1,2819
333,1,87,1956.3204,12,2023,728,7,2,N/A
334,1,87,1472.744,12,2023,728,7,2,N/A
335,1,88,1148.2403,12,2023,728,1,2,N/A
336,1,89,1575.4281,12,2023,728,4,1,2819
337,1,89,1498.3592,12,2023,728,4,2,N/A
338,1,89,1472.744,12,2023,728,4,N/A,N/A
339,1,89,1472.744,12,2023,728,4,2,N/A
340,1,90,1577.7478,12,2023,728,4,1,2819
341,1,90,1741.5045,12,2023,728,4,1,2819
342,1,90,2073.3519,12,2023,728,4,1,2819
343,1,90,1956.3204,12,2023,728,4,1,2819
344,1,91,1165.5245,12,2023,728,7,1,2819
345,1,91,1592.5682,12,2023,728,7,1,2819
346,1,91,1877.4105,12,2023,728,7,1,2819
347,1,91,1956.3204,12,2023,728,7,2,N/A
348,1,91,1877.4105,12,2023,728,7,N/A,N/A
349,1,91,2073.3519,12,2023,728,7,1,2819
350,1,91,1620.4243,12,2023,728,7,1,2819
351,1,92,1616.6724,12,2023,728,4,1,2819
352,1,92,1741.5045,12,2023,728,4,1,2819
353,1,92,2073.3519,12,2023,728,4,1,2819
354,1,92,1472.744,12,2023,728,4,1,2819
355,1,93,1165.5245,12,2023,728,7,1,2819
356,1,93,1577.7478,12,2023,728,7,1,2819
