YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2023,12,31,0.0,26.3,20.5,87,3,70,Region IV-A (Calabarzon),"Tanay, Rizal"
2023,12,14,0.0,34.0,24.3,66,3,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,4,0.0,34.5,23.5,67,3,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,5,0.0,35.5,23.5,70,2,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,6,2.9,34.8,24.0,76,2,90,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,7,0.0,34.5,24.9,73,2,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,8,0.0,33.2,23.9,72,2,110,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,9,0.0,35.2,24.4,72,2,110,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,10,0.0,35.0,24.0,64,3,110,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,11,0.0,35.0,23.5,68,2,90,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,12,0.0,35.0,24.6,66,2,40,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,13,0.0,34.2,22.1,67,3,90,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,15,0.1,34.3,23.8,66,2,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,27,0.0,32.8,25.0,68,4,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,16,0.0,33.3,24.6,70,4,20,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,17,0.0,33.1,23.8,62,4,20,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,18,0.2,32.5,24.5,70,4,40,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,19,0.0,32.5,24.5,80,4,40,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,20,0.0,33.5,22.5,68,4,20,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,21,0.0,32.0,25.0,69,5,90,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,22,0.0,31.5,24.1,58,5,20,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,23,0.0,31.2,22.7,63,3,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,24,0.0,33.4,25.3,60,3,20,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,25,0.0,33.1,23.8,65,3,20,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,3,0.6,32.6,24.6,68,4,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,2,0.0,33.1,23.6,71,3,90,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,12,1,0.0,34.2,23.1,69,4,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
2023,11,30,0.0,33.3,25.2,74,2,70,Region III (Central Luzon),"Muñoz, Nueva Ecija"
