uuid,adm4_pcode,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high,Region,Year,Month,Day,Province,City
PNHZD000256,PH137603001,S,18.6514,18.8178,7.4917,16.9981,15.4508,6.0716,15.0387,9.8844,4.1054,0.4261,0.0431,0.0279,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD000257,PH137603006,S,11.7199,10.5575,3.9198,10.6537,8.7045,3.1849,9.1765,6.0837,2.0872,0.007,0.0,0.0,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD000258,PH137603004,S,13.9049,21.4851,4.2877,14.0251,18.3542,3.495,13.7138,12.4161,2.4508,0.0041,0.0,0.0,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD000259,PH137603002,S,17.855,21.4371,6.0784,17.2808,15.3607,4.7108,13.9585,8.0603,2.7702,0.0,0.0,0.0,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD00025A,PH137603009,S,11.478,8.1023,3.5893,10.1277,6.5843,3.0024,8.0774,4.6324,2.2222,0.0207,0.0,0.0,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD00025B,PH137603007,S,22.3811,15.2407,1.355,20.2304,12.0385,1.0336,16.3396,7.781,0.6702,0.0113,0.0,0.0,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD00025C,PH137603003,S,26.0777,23.5531,6.3099,22.8795,18.2105,5.7632,14.0783,12.5754,4.456,0.0,0.0,0.0,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD00025D,PH137603005,S,4.824,3.6394,4.0364,4.396,3.2232,3.768,3.3175,2.6511,2.7971,1.4208,0.4667,0.1799,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD00025E,PH137603008,S,5.8668,4.1053,0.4503,5.891,3.2115,0.5148,5.2211,1.6558,0.3772,1.7923,0.9887,0.1687,NCR,2015,1,1,Metro Manila,Muntinlupa
PNHZD00025F,PH137401027,S,11.7906,10.8024,5.1364,10.4482,9.4286,3.5648,8.6066,6.7053,2.3419,0.0104,0.0,0.0383,NCR,2015,1,1,Metro Manila,Mandaluyong
