Region,Province,City,EMP_w_2024,months_observed_2024,quality_flag,projection_note,DEM_Region_std,DEM_geo_source_for_demand,DEM_households_single_duplex_2020,DEM_units_single_duplex_2020,DEM_single_house_households_2020,DEM_single_house_occupied_units_2020,DEM_duplex_households_2020,DEM_duplex_occupied_units_2020,DEM_CAGR_occ_2015_2020,DEM_households_single_duplex_2024,DEM_units_single_duplex_2024,DEM_single_house_households_2024,DEM_single_house_occupied_units_2024,DEM_duplex_households_2024,DEM_duplex_occupied_units_2024,DEM_CAGR_occ_2015_2020.1,DEM_growth_rate_used_value,DEM_growth_rate_used_basis,DEM_growth_rate_geo_source,DEM_years_used_from,DEM_years_used_to,GRDP_city_raw,GRDP_grdp_pc_2024_const,GRDP_geo_source_for_grdp,INC_income_per_hh_2018,INC_income_per_hh_2021,INC_income_per_hh_2023p,INC_income_total_2023p_millions,INC_geo_source_for_income,INC_cagr_21_23p,INC_cagr_18_23p,INC_growth_rate_used_income,INC_years_used_income,INC_growth_rate_geo_source_income,INC_switched_to_longer_cagr,INC_switch_reason,INC_income_per_hh_2024,INC_qa_flag_missing_any_cagr,INC_qa_flag_nonpositive_2024,RISK_Risk_Gate,RISK_Risk_Gate_Reasons,RISK_Fault_Distance_km,RISK_Nearest_Fault_Name,RISK_Flood_Level_Num,RISK_StormSurge_Level_Num,RISK_Landslide_Level_Num,RISK_events_50km,RISK_events_50km_per_year,RISK_m5plus_50km,RISK_avg_mag_50km,RISK_avg_depth_km_50km,RISK_EarthquakeRisk,RISK_HydroMean,RISK_HazardSafetyIndex,RISK_Flood_Level_Tip,RISK_StormSurge_Level_Tip,RISK_Landslide_Level_Tip,RISK_Risk_Gate_Tip,RISK_Risk_Gate_Reasons_ASCII
NCR,NCR,Caloocan City,468326,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,333696,312768,314759,294947,18937,17821,0.018713957,359385,336846,338990,317653,20395,19193,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Caloocan City,503483,region,371460,334580,393240,154161.91,city,0.084123742,0.011460964,0.084123742,2021–2023p,city,FALSE,,426320.8202,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,9.4,Valley Fault System,1,1,1,104,13,0,2.03,25.39,0.607464555,0.333333333,0.557014178,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
NCR,NCR,City of Manila,854936,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,292166,265704,277663,252720,14503,12984,0.018713957,314658,286159,299038,272175,15619,13984,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,City of Manila,503483,region,423150,413680,482790,246232.67,city,0.080306205,0.026721802,0.080306205,2021–2023p,city,FALSE,,521561.0328,FALSE,FALSE,REVIEW,High hydro hazard: StormSurge L3,5.4,Valley Fault System,1,3,1,128,16,0,2.06,24.52,0.658243136,0.666666667,0.403369412,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3
NCR,NCR,Las Pinas City,208612,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,131470,119039,123735,111899,7735,7140,0.018713957,141591,128203,133261,120513,8330,7690,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Las Piñas City,503483,region,519190,414530,594930,96816.95,city,0.197994851,0.027609026,0.027609026,2018–2023p,city,TRUE,abs>15%,611355.4376,FALSE,FALSE,REVIEW,High hydro hazard: StormSurge L3,3.7,Valley Fault System,1,3,1,406,52,0,2.29,19.5,0.772095937,0.666666667,0.357828292,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3
NCR,NCR,Makati City,652229,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,78644,75706,73564,70814,5080,4892,0.018713957,84698,81534,79227,76266,5471,5269,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Makati City,503483,region,651400,579570,799540,164347.09,city,0.174538209,0.041833909,0.041833909,2018–2023p,city,TRUE,abs>15%,832987.8833,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,2.3,Valley Fault System,1,1,1,202,26,0,2.15,20.94,0.72640335,0.333333333,0.50943866,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
NCR,NCR,Malabon City,130836,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,84990,79262,82935,77315,2055,1947,0.018713957,91533,85364,89320,83267,2213,2097,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Malabon City,503483,region,357800,350280,380600,34270.92,city,0.042381564,0.012431595,0.042381564,2021–2023p,city,FALSE,,396730.4231,FALSE,FALSE,REVIEW,High hydro hazard: StormSurge L3,11,Valley Fault System,2,3,1,75,10,0,1.93,30,0.553892017,0.833333333,0.378443193,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3
NCR,NCR,Mandaluyong City,304059,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,64000,58513,60997,55824,3003,2689,0.018713957,68927,63018,65693,60122,3234,2896,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Mandaluyong City,503483,region,666560,476560,666020,93875.35,city,0.182183359,-0.000162078,-0.000162078,2018–2023p,city,TRUE,abs>15% & sign_flip,665912.0525,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,1.9,Valley Fault System,1,1,1,179,23,0,2.06,21.34,0.701966298,0.333333333,0.519213481,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
NCR,NCR,Marikina City,210669,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,88070,81943,82978,77125,5092,4818,0.018713957,94850,88251,89366,83062,5484,5189,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Marikina City,503483,region,475240,482950,556550,60399.48,city,0.073497428,0.032091592,0.073497428,2021–2023p,city,FALSE,,597454.9937,FALSE,FALSE,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer); High hydro hazard: Flood L3,0,Valley Fault System,3,1,1,191,24,0,2.04,20.17,0.717256782,0.666666667,0.379763954,Flood Level 3 (High): above 1.5 m or high-velocity flow; avoid or elevate site significantly.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer); High hydro hazard: Flood L3
NCR,NCR,Muntinlupa City,320344,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,104684,94994,98562,89550,6122,5444,0.018713957,112743,102307,106150,96444,6593,5863,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Muntinlupa City,503483,region,461380,399400,506180,80328.59,city,0.125766862,0.01870689,0.125766862,2021–2023p,city,FALSE,,569840.67,FALSE,FALSE,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer),0,Valley Fault System,2,1,1,619,79,0,2.33,19.31,0.837346051,0.5,0.398394913,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer)
NCR,NCR,Navotas City,84523,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,55332,48368,53708,46919,1624,1449,0.018713957,59592,52092,57843,50531,1749,1561,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Navotas City,503483,region,354760,327420,336980,21291.41,city,0.014493949,-0.010230889,-0.010230889,2018–2023p,city,TRUE,sign_flip,333532.3949,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,12.2,Valley Fault System,1,1,1,80,11,0,1.97,30.4,0.553669705,0.333333333,0.578532118,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
NCR,NCR,Paranaque City,396355,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,146317,136863,140583,131629,5734,5234,0.018713957,157581,147399,151406,141762,6175,5637,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Parañaque City,503483,region,521160,477670,556450,114375.68,city,0.079317181,0.013190279,0.079317181,2021–2023p,city,FALSE,,600586.0451,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,1.2,Valley Fault System,1,2,1,356,45,0,2.24,19.69,0.777212172,0.5,0.422448465,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 2 (Medium): 0.5 to 1.5 m or depth x velocity 0.5 to 1.5 m2/s.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
