Region,Province,City,INC_income_per_hh_2024,PRICE_median_2024_final,GRDP_grdp_pc_2024_const,DEM_households_single_duplex_2024,DEM_units_single_duplex_2024,RISK_Flood_Level_Num,RISK_StormSurge_Level_Num,RISK_Landslide_Level_Num,Latitude,Longitude
Region I,Ilocos Norte,Banna,420000,2500000,180000,18000,12000,1,0,1,18.1900,120.6200
Region II,Cagayan,Peñablanca,360000,2200000,160000,15000,9000,0,0,1,17.6200,121.8100
Region III,Pampanga,Mabalacat,480000,2800000,210000,24000,16000,2,0,0,15.2200,120.5800
Region IV-A,Batangas,San Pascual,520000,3200000,230000,30000,20000,1,0,2,13.8000,121.0300
Region V,Camarines Sur,Tinambac,380000,2100000,170000,20000,13000,2,1,1,13.8200,123.3300
Region VI,Iloilo,Leganes,410000,2400000,185000,22000,14000,1,0,0,10.7800,122.5700
Region VII,Cebu,Compostela,540000,3500000,260000,42000,28000,0,0,1,10.4500,124.0100
Region VIII,Leyte,Palo,340000,2000000,150000,16000,10000,1,1,0,11.1600,124.9900
Region IX,Zamboanga del Sur,Tukuran,370000,2150000,165000,17000,11000,0,0,1,7.8700,123.1500
Region X,Bukidnon,Valencia City,390000,2300000,175000,19000,12000,1,0,2,7.9000,125.0900
Region XI,Davao del Norte,Santo Tomas,520000,3300000,255000,35000,23000,0,0,0,7.5300,125.6200
Region XII,South Cotabato,Surallah,360000,2050000,160000,15000,10000,1,0,1,6.3700,124.7300
CAR,Benguet,La Trinidad,500000,3000000,240000,18000,12000,1,0,2,16.4500,120.5900
BARMM,Maguindanao del Norte,Datu Odin Sinsuat,320000,1800000,140000,12000,8000,0,0,1,7.1600,124.2700

