Region,Province,City,EMP_w_2024,months_observed_2024,quality_flag,projection_note,DEM_Region_std,DEM_geo_source_for_demand,DEM_households_single_duplex_2020,DEM_units_single_duplex_2020,DEM_single_house_households_2020,DEM_single_house_occupied_units_2020,DEM_duplex_households_2020,DEM_duplex_occupied_units_2020,DEM_CAGR_occ_2015_2020,DEM_households_single_duplex_2024,DEM_units_single_duplex_2024,DEM_single_house_households_2024,DEM_single_house_occupied_units_2024,DEM_duplex_households_2024,DEM_duplex_occupied_units_2024,DEM_CAGR_occ_2015_2020.1,DEM_growth_rate_used_value,DEM_growth_rate_used_basis,DEM_growth_rate_geo_source,DEM_years_used_from,DEM_years_used_to,GRDP_city_raw,GRDP_grdp_pc_2024_const,GRDP_geo_source_for_grdp,INC_income_per_hh_2018,INC_income_per_hh_2021,INC_income_per_hh_2023p,INC_income_total_2023p_millions,INC_geo_source_for_income,INC_cagr_21_23p,INC_cagr_18_23p,INC_growth_rate_used_income,INC_years_used_income,INC_growth_rate_geo_source_income,INC_switched_to_longer_cagr,INC_switch_reason,INC_income_per_hh_2024,INC_qa_flag_missing_any_cagr,INC_qa_flag_nonpositive_2024,RISK_Risk_Gate,RISK_Risk_Gate_Reasons,RISK_Fault_Distance_km,RISK_Nearest_Fault_Name,RISK_Flood_Level_Num,RISK_StormSurge_Level_Num,RISK_Landslide_Level_Num,RISK_events_50km,RISK_events_50km_per_year,RISK_m5plus_50km,RISK_avg_mag_50km,RISK_avg_depth_km_50km,RISK_Flood_Level_Tip,RISK_StormSurge_Level_Tip,RISK_Landslide_Level_Tip,RISK_Risk_Gate_Tip,RISK_Risk_Gate_Reasons_ASCII,PRICE_median_2024_final,price_source_flag,Amort_1yr,Amort_3yr,Amort_5yr,Amort_10yr,Amort_15yr,Amort_20yr,Amort_25yr,Amort_30yr,rate_snapshot_date,rate_1yr,rate_3yr,rate_5yr,rate_10yr,rate_15yr,rate_20yr,rate_25yr,rate_30yr,MonthlyIncome,IPR_1yr,IPR_3yr,IPR_5yr,IPR_10yr,IPR_15yr,IPR_20yr,IPR_25yr,IPR_30yr,AffordabilityScore,EconomyScore,DemandScore,HazardSafety_NoFault,ProfitabilityScore,FinalCityScore,FloodRisk,StormSurgeRisk,LandslideRisk,RISK_HydroRisk,EarthquakeRisk,HazardRisk_NoFault
NCR,NCR,Caloocan City,468326,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,333696,312768,314759,294947,18937,17821,0.018713957,359385,336846,338990,317653,20395,19193,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Caloocan City,503483,region,371460,334580,393240,154161.91,city,0.084123742,0.011460964,0.084123742,2021–2023p,city,False,,426320.8202,False,False,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,9.4,Valley Fault System,1,1,1,104,13,0,2.03,25.39,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,4500000.0,city_median>=5,386782.0396215645,137409.0368249486,88047.66698427901,52539.181859487086,42357.40888681007,39052.04550144903,38149.77252746306,38661.94854264383,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,35526.735016666666,0.0918520804415498,0.2585472967249289,0.4034943370278055,0.6761950559428352,0.8387372115136522,0.909727891599134,0.9312436919798636,0.9189069965648772,0.4705101518151728,0.5531167150248488,0.4018102940658389,0.9306264967025267,0.48981280554917644,0.7102196511258516,0.0,0.0,0.0,0.0,0.17343375824368326,0.06937350329747331
NCR,NCR,City of Manila,854936,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,292166,265704,277663,252720,14503,12984,0.018713957,314658,286159,299038,272175,15619,13984,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,City of Manila,503483,region,423150,413680,482790,246232.67,city,0.080306205,0.026721802,0.080306205,2021–2023p,city,False,,521561.0328,False,False,REVIEW,High hydro hazard: StormSurge L3,5.4,Valley Fault System,1,3,1,128,16,0,2.06,24.52,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,28643000.0,inherit_province,2461910.6579734376,874623.787061556,560433.1834290453,334417.7302225086,269609.61394331127,248570.6087328899,242827.5410009165,246087.59824598825,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,43463.4194,0.0176543447095588,0.0496938455630421,0.0775532582386831,0.1299674493068328,0.1612087149427049,0.1748534133683725,0.1789888380076127,0.176617674802751,0.0700541071063304,0.6804430948797413,0.3380360548976582,0.7278406144932229,0.36780609177396034,0.5478233531335917,0.0,1.0,0.0,0.5,0.18039846376694274,0.2721593855067771
NCR,NCR,Las Pinas City,208612,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,131470,119039,123735,111899,7735,7140,0.018713957,141591,128203,133261,120513,8330,7690,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Las Piñas City,503483,region,519190,414530,594930,96816.95,city,0.197994851,0.027609026,0.027609026,2018–2023p,city,True,abs>15%,611355.4376,False,False,REVIEW,High hydro hazard: StormSurge L3,3.7,Valley Fault System,1,3,1,406,52,0,2.29,19.5,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,17000000.0,city_median>=5,1461176.5941259102,519100.805783139,332624.5197183874,198481.3536913957,160016.87801683805,147529.94967214076,144121.3628815271,146056.2500499878,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,50946.286466666665,0.0348666182249813,0.098143339210978,0.1531645547652342,0.2566804665484062,0.3183807051985213,0.3453284338528263,0.3534957305985673,0.3488127789754309,0.1629512677060841,0.4675823433902983,0.1392962651675666,0.7032427841437285,0.2800726974720663,0.4916577408078974,0.0,1.0,0.0,0.5,0.2418930396406786,0.29675721585627146
NCR,NCR,Makati City,652229,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,78644,75706,73564,70814,5080,4892,0.018713957,84698,81534,79227,76266,5471,5269,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Makati City,503483,region,651400,579570,799540,164347.09,city,0.174538209,0.041833909,0.041833909,2018–2023p,city,True,abs>15%,832987.8833,False,False,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,2.3,Valley Fault System,1,1,1,202,26,0,2.15,20.94,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,121500000.0,city_median>=5,10443115.06978224,3710043.9942736113,2377287.008575533,1418557.9102061512,1143650.039943872,1054405.228539124,1030043.8582415024,1043872.6106513832,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,69415.65694166666,0.0066470259570848,0.0187101977897859,0.0291995273146511,0.0489339606386452,0.0606965894436321,0.0658339460606069,0.0673909721282873,0.0664982069970691,0.0106459959695279,0.6136834443760149,0.0805774621660115,0.91744617179242,0.26584726857141944,0.5916467201819198,0.0,0.0,0.0,0.0,0.2063845705189498,0.08255382820757992
NCR,NCR,Malabon City,130836,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,84990,79262,82935,77315,2055,1947,0.018713957,91533,85364,89320,83267,2213,2097,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Malabon City,503483,region,357800,350280,380600,34270.92,city,0.042381564,0.012431595,0.042381564,2021–2023p,city,False,,396730.4231,False,False,REVIEW,High hydro hazard: StormSurge L3,11.0,Valley Fault System,2,3,1,75,10,0,1.93,30.0,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,28643000.0,inherit_province,2461910.6579734376,874623.787061556,560433.1834290453,334417.7302225086,269609.61394331127,248570.6087328899,242827.5410009165,246087.59824598825,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,33060.868591666665,0.0134289473440442,0.0378001022619567,0.0589916328461881,0.0988609921180591,0.1226249617293622,0.1330039330079983,0.1361495835908575,0.1343459354608319,0.0472490187889575,0.4419675467746026,0.0853963572675984,0.6395073065956765,0.21276589767894372,0.4261366021373101,0.5,1.0,0.0,0.75,0.15123173351080876,0.36049269340432355
NCR,NCR,Mandaluyong City,304059,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,64000,58513,60997,55824,3003,2689,0.018713957,68927,63018,65693,60122,3234,2896,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Mandaluyong City,503483,region,666560,476560,666020,93875.35,city,0.182183359,-0.000162078,-0.000162078,2018–2023p,city,True,abs>15% & sign_flip,665912.0525,False,False,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,1.9,Valley Fault System,1,1,1,179,23,0,2.06,21.34,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,28643000.0,inherit_province,2461910.6579734376,874623.787061556,560433.1834290453,334417.7302225086,269609.61394331127,248570.6087328899,242827.5410009165,246087.59824598825,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,55492.67104166667,0.0225404893804498,0.0634474752031425,0.0990174612825944,0.1659381845715656,0.2058260097999869,0.2232471140676902,0.2285270888669799,0.2254996653110345,0.0964253453857292,0.4990169182280157,0.0572806836540058,0.9194661138917218,0.2496330421762991,0.5845495780340104,0.0,0.0,0.0,0.0,0.2013347152706954,0.08053388610827816
NCR,NCR,Marikina City,210669,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,88070,81943,82978,77125,5092,4818,0.018713957,94850,88251,89366,83062,5484,5189,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Marikina City,503483,region,475240,482950,556550,60399.48,city,0.073497428,0.032091592,0.073497428,2021–2023p,city,False,,597454.9937,False,False,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer); High hydro hazard: Flood L3,0.0,Valley Fault System,3,1,1,191,24,0,2.04,20.17,Flood Level 3 (High): above 1.5 m or high-velocity flow; avoid or elevate site significantly.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer); High hydro hazard: Flood L3,8500000.0,city_median>=5,730588.2970629551,259550.4028915695,166312.2598591937,99240.67684569785,80008.43900841902,73764.97483607038,72060.68144076355,73028.1250249939,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,49787.91614166667,0.0681477055433539,0.191823690454706,0.299364076850492,0.50168859911222,0.6222833085948303,0.6749533400141667,0.6909165323754829,0.6817635825187451,0.3425741693976621,0.4682597970603055,0.0890287724525282,0.7171033858571274,0.34213934107369276,0.5296213634654101,1.0,0.0,0.0,0.5,0.20724153535718148,0.2828966141428726
NCR,NCR,Muntinlupa City,320344,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,104684,94994,98562,89550,6122,5444,0.018713957,112743,102307,106150,96444,6593,5863,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Muntinlupa City,503483,region,461380,399400,506180,80328.59,city,0.125766862,0.01870689,0.125766862,2021–2023p,city,False,,569840.67,False,False,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer),0.0,Valley Fault System,2,1,1,619,79,0,2.33,19.31,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer),33904000.0,city_median>=5,2914101.838073227,1035270.2187806792,663370.6892077768,395841.8715031223,319130.1313107575,294226.78904025065,287428.863949135,291287.7118643992,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,47486.7225,0.0162954917633893,0.045868915804348,0.0715839925889859,0.1199638692078724,0.1488004981070218,0.1613949656144456,0.1652120870797566,0.1630234320427018,0.062720178775558,0.5043802303408347,0.1067139916556364,0.7906204451970488,0.24818296197768436,0.5194017035873666,0.5,0.0,0.0,0.25,0.27344888700737796,0.2093795548029512
NCR,NCR,Navotas City,84523,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,55332,48368,53708,46919,1624,1449,0.018713957,59592,52092,57843,50531,1749,1561,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Navotas City,503483,region,354760,327420,336980,21291.41,city,0.014493949,-0.010230889,-0.010230889,2018–2023p,city,True,sign_flip,333532.3949,False,False,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,12.2,Valley Fault System,1,1,1,80,11,0,1.97,30.4,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,28643000.0,inherit_province,2461910.6579734376,874623.787061556,560433.1834290453,334417.7302225086,269609.61394331127,248570.6087328899,242827.5410009165,246087.59824598825,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,27794.366241666667,0.0112897542206288,0.0317786534654476,0.0495944334909027,0.0831127172090229,0.1030911540398955,0.111816784708984,0.1144613420994192,0.1129450099873928,0.0357034802543907,0.4267147943103113,0.0435336215443615,0.9397031444604506,0.1936740341347531,0.5666885892976018,0.0,0.0,0.0,0.0,0.1507421388488736,0.06029685553954944
NCR,NCR,Paranaque City,396355,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,146317,136863,140583,131629,5734,5234,0.018713957,157581,147399,151406,141762,6175,5637,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Parañaque City,503483,region,521160,477670,556450,114375.68,city,0.079317181,0.013190279,0.079317181,2021–2023p,city,False,,600586.0451,False,False,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,1.2,Valley Fault System,1,2,1,356,45,0,2.24,19.69,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 2 (Medium): 0.5 to 1.5 m or depth x velocity 0.5 to 1.5 m2/s.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,24950000.0,city_median>=5,2144491.530790674,761856.7708405483,488175.39805728034,291300.5749764896,234848.30038353585,216521.89672470075,211519.29434671183,214359.02580865857,2025-10-15,0.0575,0.0625,0.065,0.07125,0.0775,0.085,0.09125,0.0975,50048.83709166667,0.0233383235014286,0.0656932365862527,0.1025222436256285,0.1718116659938142,0.2131113446847638,0.2311490793714126,0.236615942040867,0.2334813610150539,0.1007313729655325,0.5294137407496451,0.1634486177446061,0.8067446019177699,0.2847477690349922,0.545746185476381,0.0,0.5,0.0,0.25,0.23313849520557534,0.19325539808223013
