Region,Province,City,Year,DEM_households_single_duplex,DEM_units_single_duplex,demand_growth_rate,demand_growth_basis,demand_geo_source,demand_projection_method
NCR,NCR,Caloocan City,2024,359385.0,336846.0,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Caloocan City,2025,366110.51543644496,343149.721559622,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Caloocan City,2026,372961.89187957044,349571.4106934507,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Caloocan City,2027,379941.4846868433,356113.27504159726,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Caloocan City,2028,387051.693293789,362777.5635578548,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Caloocan City,2029,394294.96203886607,369566.5672828412,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,City of Manila,2024,314658.0,286159.0,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,City of Manila,2025,320546.496281706,291514.167221163,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,City of Manila,2026,326545.18962962244,296969.5508114306,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,City of Manila,2027,332656.142266908,302527.026215625,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,City of Manila,2028,338881.45500907674,308188.50397556205,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,City of Manila,2029,345223.267986214,313955.930386855,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Las Pinas City,2024,141591.0,128203.0,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Las Pinas City,2025,144240.727885587,130602.18542927099,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
NCR,NCR,Las Pinas City,2026,146940.04266488657,133046.26911150038,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),city,psa_occ_units_cagr_2015_2020_continued
