Region,Province,City,Year,INC_income_per_hh,g_income_longrun,income_growth_source
NCR,NCR,Quezon City,2024,508675.5409,0.0008425665988980313,city_2018_2023p_CAGR
NCR,NCR,Quezon City,2025,509104.13392043876,0.0008425665988980313,city_2018_2023p_CAGR
NCR,NCR,Quezon City,2026,509533.088059041,0.0008425665988980313,city_2018_2023p_CAGR
NCR,NCR,Quezon City,2027,509962.403620073,0.0008425665988980313,city_2018_2023p_CAGR
NCR,NCR,Quezon City,2028,510392.08090805693,0.0008425665988980313,city_2018_2023p_CAGR
NCR,NCR,Quezon City,2029,510822.1202277721,0.0008425665988980313,city_2018_2023p_CAGR
NCR,NCR,Makati City,2024,832987.8833,0.04183390860089431,city_2018_2023p_CAGR
NCR,NCR,Makati City,2025,867835.0222756246,0.04183390860089431,city_2018_2023p_CAGR
NCR,NCR,Makati City,2026,904139.9532781582,0.04183390860089431,city_2018_2023p_CAGR
NCR,NCR,Makati City,2027,941963.6614460135,0.04183390860089431,city_2018_2023p_CAGR
NCR,NCR,Makati City,2028,981369.6831643098,0.04183390860089431,city_2018_2023p_CAGR
NCR,NCR,Makati City,2029,1022424.2127934942,0.04183390860089431,city_2018_2023p_CAGR
NCR,NCR,San Juan City,2024,905582.0351,0.07447946163728414,city_2018_2023p_CAGR
NCR,NCR,San Juan City,2025,973029.2975426441,0.07447946163728414,city_2018_2023p_CAGR
NCR,NCR,San Juan City,2026,1045499.9957809252,0.07447946163728414,city_2018_2023p_CAGR
NCR,NCR,San Juan City,2027,1123368.272608471,0.07447946163728414,city_2018_2023p_CAGR
NCR,NCR,San Juan City,2028,1207036.136772756,0.07447946163728414,city_2018_2023p_CAGR
NCR,NCR,San Juan City,2029,1296935.5384163382,0.07447946163728414,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,General Trias City,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,General Trias City,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,General Trias City,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,General Trias City,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,General Trias City,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,General Trias City,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Rizal,Antipolo City,2024,549471.4219,0.014713356027648894,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Rizal,Antipolo City,2025,557555.9905574331,0.014713356027648894,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Rizal,Antipolo City,2026,565759.5103518531,0.014713356027648894,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Rizal,Antipolo City,2027,574083.7314536882,0.014713356027648894,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Rizal,Antipolo City,2028,582530.4297842475,0.014713356027648894,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Rizal,Antipolo City,2029,591101.4073946024,0.014713356027648894,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Imus City,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Imus City,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Imus City,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Imus City,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Imus City,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Imus City,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Malolos City,2024,388806.6576,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Malolos City,2025,392020.9044312254,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Malolos City,2026,395261.7232937936,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Malolos City,2027,398529.33385747083,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Malolos City,2028,401823.95760802296,0.008266954200491616,city_2018_2023p_CAGR
Region III (Central Luzon),Bulacan,Malolos City,2029,405145.8178622288,0.008266954200491616,city_2018_2023p_CAGR
NCR,NCR,Pasig City,2024,622807.916,0.054945061557515995,city_2018_2023p_CAGR
NCR,NCR,Pasig City,2025,657028.1352831282,0.054945061557515995,city_2018_2023p_CAGR
NCR,NCR,Pasig City,2026,693128.5866212796,0.054945061557515995,city_2018_2023p_CAGR
NCR,NCR,Pasig City,2027,731212.5794804598,0.054945061557515995,city_2018_2023p_CAGR
NCR,NCR,Pasig City,2028,771389.0996716438,0.054945061557515995,city_2018_2023p_CAGR
NCR,NCR,Pasig City,2029,813773.1212378992,0.054945061557515995,city_2018_2023p_CAGR
NCR,NCR,Caloocan City,2024,426320.8202,0.011460964461992074,city_2018_2023p_CAGR
