Region,Province,City,EMP_w_2025,months_observed_2025,EMP_w_2026,months_observed_2026,EMP_w_2027,months_observed_2027,EMP_w_2028,months_observed_2028,EMP_w_2029,months_observed_2029
NCR,NCR,Caloocan City,571405.5579900775,0.0,,,,,,,,
NCR,NCR,Caloocan City,,,606086.1176017129,0.0,,,,,,
NCR,NCR,Caloocan City,,,,,642871.559110554,0.0,,,,
NCR,NCR,Caloocan City,,,,,,,681889.6350053387,0.0,,
NCR,NCR,Caloocan City,,,,,,,,,723275.8515107256,0.0
NCR,NCR,City of Manila,852693.6914634072,0.0,,,,,,,,
NCR,NCR,City of Manila,,,859069.7354987512,0.0,,,,,,
NCR,NCR,City of Manila,,,,,865493.4566049437,0.0,,,,
NCR,NCR,City of Manila,,,,,,,871965.2112887903,0.0,,
NCR,NCR,City of Manila,,,,,,,,,878485.3587228865,0.0
NCR,NCR,Las Pinas City,187884.8880993265,0.0,,,,,,,,
NCR,NCR,Las Pinas City,,,187422.90329720965,0.0,,,,,,
NCR,NCR,Las Pinas City,,,,,186962.05445636963,0.0,,,,
NCR,NCR,Las Pinas City,,,,,,,186502.33878362353,0.0,,
NCR,NCR,Las Pinas City,,,,,,,,,186043.75349265675,0.0
NCR,NCR,Makati City,548713.1222313468,0.0,,,,,,,,
NCR,NCR,Makati City,,,461862.6844214418,0.0,,,,,,
NCR,NCR,Makati City,,,,,388758.9536651215,0.0,,,,
NCR,NCR,Makati City,,,,,,,349587.78182919155,0.0,,
NCR,NCR,Makati City,,,,,,,,,346389.0,0.0
NCR,NCR,Malabon City,158228.04019117876,0.0,,,,,,,,
NCR,NCR,Malabon City,,,175067.90134812405,0.0,,,,,,
NCR,NCR,Malabon City,,,,,193699.99176761066,0.0,,,,
NCR,NCR,Malabon City,,,,,,,214315.05445515225,0.0,,
NCR,NCR,Malabon City,,,,,,,,,235630.85508066695,0.0
NCR,NCR,Mandaluyong City,332638.61557279347,0.0,,,,,,,,
NCR,NCR,Mandaluyong City,,,362060.7039744898,0.0,,,,,,
NCR,NCR,Mandaluyong City,,,,,394085.1940379014,0.0,,,,
NCR,NCR,Mandaluyong City,,,,,,,428942.2697770391,0.0,,
NCR,NCR,Mandaluyong City,,,,,,,,,465803.04190289165,0.0
NCR,NCR,Marikina City,235817.75887750066,0.0,,,,,,,,
NCR,NCR,Marikina City,,,255588.94443614417,0.0,,,,,,
NCR,NCR,Marikina City,,,,,277017.7650272594,0.0,,,,
NCR,NCR,Marikina City,,,,,,,300243.1983511327,0.0,,
NCR,NCR,Marikina City,,,,,,,,,321978.9360517761,0.0
NCR,NCR,Muntinlupa City,228370.71746474656,0.0,,,,,,,,
NCR,NCR,Muntinlupa City,,,166145.55480637914,0.0,,,,,,
NCR,NCR,Muntinlupa City,,,,,152069.39999999997,0.0,,,,
NCR,NCR,Muntinlupa City,,,,,,,152069.39999999997,0.0,,
NCR,NCR,Muntinlupa City,,,,,,,,,152069.39999999997,0.0
NCR,NCR,Navotas City,89322.07980198482,0.0,,,,,,,,
NCR,NCR,Navotas City,,,90853.16358860514,0.0,,,,,,
NCR,NCR,Navotas City,,,,,92410.49192267506,0.0,,,,
NCR,NCR,Navotas City,,,,,,,93994.51466610061,0.0,,
NCR,NCR,Navotas City,,,,,,,,,95605.6893919417,0.0
NCR,NCR,Paranaque City,423033.3359627325,0.0,,,,,,,,
NCR,NCR,Paranaque City,,,450199.8616077115,0.0,,,,,,
NCR,NCR,Paranaque City,,,,,479110.97816995176,0.0,,,,
NCR,NCR,Paranaque City,,,,,,,509878.7204936713,0.0,,
NCR,NCR,Paranaque City,,,,,,,,,542622.3181219694,0.0
NCR,NCR,Pasay City,282627.5988148859,0.0,,,,,,,,
NCR,NCR,Pasay City,,,242796.83109726923,0.0,,,,,,
NCR,NCR,Pasay City,,,,,208579.4219604395,0.0,,,,
NCR,NCR,Pasay City,,,,,,,179343.90838631502,0.0,,
NCR,NCR,Pasay City,,,,,,,,,166597.7522707001,0.0
NCR,NCR,Pasig City,517208.49319339026,0.0,,,,,,,,
NCR,NCR,Pasig City,,,501264.680481757,0.0,,,,,,
NCR,NCR,Pasig City,,,,,485812.3623359111,0.0,,,,
NCR,NCR,Pasig City,,,,,,,470836.387617755,0.0,,
NCR,NCR,Pasig City,,,,,,,,,456322.07224824204,0.0
NCR,NCR,Quezon City,1901727.2005590464,0.0,,,,,,,,
NCR,NCR,Quezon City,,,1985035.4589366773,0.0,,,,,,
NCR,NCR,Quezon City,,,,,2071993.1713011225,0.0,,,,
NCR,NCR,Quezon City,,,,,,,2162760.2079300866,0.0,,
NCR,NCR,Quezon City,,,,,,,,,2257503.442479255,0.0
NCR,NCR,San Juan City,81324.94544564345,0.0,,,,,,,,
NCR,NCR,San Juan City,,,86103.313754074,0.0,,,,,,
NCR,NCR,San Juan City,,,,,91162.44221015536,0.0,,,,
NCR,NCR,San Juan City,,,,,,,96518.8272945732,0.0,,
NCR,NCR,San Juan City,,,,,,,,,102189.9347633084,0.0
NCR,NCR,Taguig City,689972.5545945811,0.0,,,,,,,,
NCR,NCR,Taguig City,,,758171.3264465317,0.0,,,,,,
NCR,NCR,Taguig City,,,,,833111.0511829737,0.0,,,,
NCR,NCR,Taguig City,,,,,,,915409.2637849672,0.0,,
NCR,NCR,Taguig City,,,,,,,,,965151.3712250091,0.0
NCR,NCR,Valenzuela City,319153.6565067321,0.0,,,,,,,,
NCR,NCR,Valenzuela City,,,337575.02492413064,0.0,,,,,,
NCR,NCR,Valenzuela City,,,,,357059.664300364,0.0,,,,
NCR,NCR,Valenzuela City,,,,,,,377435.1294221012,0.0,,
NCR,NCR,Valenzuela City,,,,,,,,,397026.7308651092,0.0
Region III (Central Luzon),Bataan,Balanga City,50971.77987017582,0.0,,,,,,,,
Region III (Central Luzon),Bataan,Balanga City,,,52346.872468754795,0.0,,,,,,
Region III (Central Luzon),Bataan,Balanga City,,,,,53759.06166587285,0.0,,,,
Region III (Central Luzon),Bataan,Balanga City,,,,,,,55209.34823604121,0.0,,
Region III (Central Luzon),Bataan,Balanga City,,,,,,,,,56698.75995219299,0.0
Region III (Central Luzon),Bulacan,Malolos City,34579.061652926604,0.0,,,,,,,,
Region III (Central Luzon),Bulacan,Malolos City,,,28069.117563425145,0.0,,,,,,
Region III (Central Luzon),Bulacan,Malolos City,,,,,22784.752481063897,0.0,,,,
Region III (Central Luzon),Bulacan,Malolos City,,,,,,,18495.235714136183,0.0,,
Region III (Central Luzon),Bulacan,Malolos City,,,,,,,,,15013.274531103687,0.0
Region III (Central Luzon),Bulacan,Meycauayan City,4394.166829638105,0.0,,,,,,,,
Region III (Central Luzon),Bulacan,Meycauayan City,,,1751.4000000000003,0.0,,,,,,
Region III (Central Luzon),Bulacan,Meycauayan City,,,,,1751.4000000000003,0.0,,,,
Region III (Central Luzon),Bulacan,Meycauayan City,,,,,,,1751.4000000000003,0.0,,
