Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Caloocan City,2025,1,567425.9192494649,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,2,613744.0283206842,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,3,557450.8768545479,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,4,541566.3642764513,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,5,563711.5826021153,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,6,550582.5627748828,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,7,537718.4226135908,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,8,585976.7623695048,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,9,591580.7379083456,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,10,574276.7489315053,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,11,594328.4653285844,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2025,12,578504.2246512542,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,1,601864.9409610102,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,2,650994.2546491281,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,3,591284.4790920118,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,4,574435.8810624117,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,5,597925.1685059156,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,6,583999.3035160932,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,7,570354.3946459959,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,8,621541.6982617491,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Caloocan City,2026,9,627485.7982621368,False,time_series,"ETS(A,A,A)_log"
