Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Caloocan City,2024,1,474923,TRUE,,
NCR,NCR,Caloocan City,2024,2,551737,TRUE,,
NCR,NCR,Caloocan City,2024,3,465683,TRUE,,
NCR,NCR,Caloocan City,2024,4,416757,TRUE,,
NCR,NCR,Caloocan City,2024,5,472811,TRUE,,
NCR,NCR,Caloocan City,2024,6,410530,TRUE,,
NCR,NCR,Caloocan City,2024,7,455193,TRUE,,
NCR,NCR,Caloocan City,2024,8,569950,TRUE,,
NCR,NCR,Caloocan City,2024,9,457673,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Caloocan City,2024,10,439910,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Caloocan City,2024,11,460507,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Caloocan City,2024,12,444233,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,City of Manila,2024,1,1004911,TRUE,,
NCR,NCR,City of Manila,2024,2,738080,TRUE,,
NCR,NCR,City of Manila,2024,3,858662,TRUE,,
NCR,NCR,City of Manila,2024,4,872618,TRUE,,
NCR,NCR,City of Manila,2024,5,901643,TRUE,,
NCR,NCR,City of Manila,2024,6,742345,TRUE,,
NCR,NCR,City of Manila,2024,7,902916,TRUE,,
NCR,NCR,City of Manila,2024,8,828545,TRUE,,
NCR,NCR,City of Manila,2024,9,754998,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,City of Manila,2024,10,851668,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,City of Manila,2024,11,924090,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,City of Manila,2024,12,878757,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Las Pinas City,2024,1,220833,TRUE,,
NCR,NCR,Las Pinas City,2024,2,200044,TRUE,,
NCR,NCR,Las Pinas City,2024,3,198535,TRUE,,
NCR,NCR,Las Pinas City,2024,4,206852,TRUE,,
NCR,NCR,Las Pinas City,2024,5,218328,TRUE,,
NCR,NCR,Las Pinas City,2024,6,183354,TRUE,,
NCR,NCR,Las Pinas City,2024,7,213520,TRUE,,
NCR,NCR,Las Pinas City,2024,8,181256,TRUE,,
NCR,NCR,Las Pinas City,2024,9,227335,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Las Pinas City,2024,10,217626,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Las Pinas City,2024,11,215377,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Las Pinas City,2024,12,220285,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Makati City,2024,1,695503,TRUE,,
NCR,NCR,Makati City,2024,2,667753,TRUE,,
NCR,NCR,Makati City,2024,3,564693,TRUE,,
NCR,NCR,Makati City,2024,4,739868,TRUE,,
