Region,Province,City,income_per_hh_2018,income_per_hh_2021,income_per_hh_2023p,income_total_2023p_millions,geo_source_for_income,cagr_21_23p,cagr_18_23p,growth_rate_used_income,years_used_income,growth_rate_geo_source_income,switched_to_longer_cagr,switch_reason,income_per_hh_2024,qa_flag_missing_any_cagr,qa_flag_nonpositive_2024
NCR,NCR,Caloocan City,371460,334580,393240,154161.91,city,0.08412374163007752,0.011460964461992074,0.08412374163007752,2021–2023p,city,False,,426320.8201586117,False,False
NCR,NCR,City of Manila,423150,413680,482790,246232.67,city,0.08030620511460906,0.026721801953100144,0.08030620511460906,2021–2023p,city,False,,521561.0327672821,False,False
NCR,NCR,Las Pinas City,519190,414530,594930,96816.95,city,0.19799485092678082,0.027609025551985855,0.027609025551985855,2018–2023p,city,True,abs>15%,611355.4375716429,False,False
NCR,NCR,Makati City,651400,579570,799540,164347.09,city,0.17453820874244763,0.04183390860089431,0.04183390860089431,2018–2023p,city,True,abs>15%,832987.883282759,False,False
NCR,NCR,Malabon City,357800,350280,380600,34270.92,city,0.04238156352143707,0.012431594529289214,0.04238156352143707,2021–2023p,city,False,,396730.423076259,False,False
NCR,NCR,Mandaluyong City,666560,476560,666020,93875.35,city,0.1821833594597677,-0.0001620784544839049,-0.0001620784544839049,2018–2023p,city,True,abs>15% & sign_flip,665912.0525077446,False,False
NCR,NCR,Marikina City,475240,482950,556550,60399.48,city,0.07349742824088645,0.03209159180461918,0.07349742824088645,2021–2023p,city,False,,597454.9936874653,False,False
NCR,NCR,Muntinlupa City,461380,399400,506180,80328.59,city,0.12576686153919536,0.01870688963871281,0.12576686153919536,2021–2023p,city,False,,569840.6699739099,False,False
NCR,NCR,Navotas City,354760,327420,336980,21291.41,city,0.014493948736856943,-0.01023088935006522,-0.01023088935006522,2018–2023p,city,True,sign_flip,333532.394906815,False,False
NCR,NCR,Paranaque City,521160,477670,556450,114375.68,city,0.07931718055196302,0.013190278870417016,0.07931718055196302,2021–2023p,city,False,,600586.0451181398,False,False
NCR,NCR,Pasay City,429850,393060,477310,58005.62,city,0.1019727156678727,0.021166879432554797,0.1019727156678727,2021–2023p,city,False,,525982.5969154324,False,False
