Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001209.5451,12,2022,33,2805,1
01,00001,001686.0013,12,2022,31,2805,1
01,00001,001648.0936,12,2022,09,"    "," "
01,00001,001648.0936,12,2022,03,"    "," "
01,00001,001648.0936,12,2022,01,"    "," "
01,00002,001444.3908,12,2022,39,2805,1
01,00002,001209.5451,12,2022,30,2812,1
01,00003,001438.5047,12,2022,40,2805,1
01,00003,001444.3908,12,2022,41,2805,1
01,00003,001533.3755,12,2022,23,2820,1
01,00003,001550.3556,12,2022,20,2805,1
01,00003,001550.3556,12,2022,17,2805,1
01,00003,001550.3556,12,2022,22,2805,1
01,00003,001274.5746,12,2022,57,"    "," "
01,00004,001601.2784,12,2022,56,2805,1
01,00004,001274.5746,12,2022,62,"    ",3
01,00004,001686.0013,12,2022,28,2805,1
01,00004,001686.0013,12,2022,25,2805,1
01,00005,001347.7905,12,2022,70,"    ",3
01,00005,001207.7343,12,2022,70,2805,1
01,00005,001438.5047,12,2022,37,2805,1
01,00005,001444.3908,12,2022,41,2805,1
01,00005,001550.3556,12,2022,18,2805,1
01,00005,001648.0936,12,2022,14,2805," "
01,00006,001347.7905,12,2022,67,2805,1
01,00006,001207.7343,12,2022,65,2805,1
01,00006,001438.5047,12,2022,42,2805,1
01,00006,001648.0936,12,2022,09,"    "," "
01,00006,001358.7914,12,2022,50,"    "," "
01,00007,001207.7343,12,2022,70,"    ",3
01,00008,001358.7914,12,2022,48,2805,1
01,00008,001438.5047,12,2022,35,"    ",3
01,00008,001805.9929,12,2022,08,"    "," "
01,00009,001486.5169,12,2022,54,2805,1
01,00009,001209.5451,12,2022,27,2805,1
01,00009,001686.0013,12,2022,30,2820,1
01,00009,001648.0936,12,2022,00,"    "," "
01,00009,001686.0013,12,2022,25,2809,1
01,00010,001601.2784,12,2022,56,2805,1
01,00010,001686.0013,12,2022,28,2813,1
01,00010,001444.3908,12,2022,41,2805,1
01,00011,001444.3908,12,2022,42,2805,1
01,00011,001438.5047,12,2022,41,2805,1
01,00011,001533.3755,12,2022,18,"    ",3
01,00011,001648.0936,12,2022,14,"    "," "
01,00011,001805.9929,12,2022,05,"    "," "
01,00011,001207.7343,12,2022,70,"    ",3
01,00012,001347.7905,12,2022,90,"    ",3
01,00012,001207.7343,12,2022,88,"    ",3
01,00013,001274.5746,12,2022,59,2805,1
01,00014,001347.7905,12,2022,73,2805,1
01,00014,001207.7343,12,2022,75,2805,1
01,00014,001444.3908,12,2022,38,2805,1
01,00015,001601.2784,12,2022,56,2805,1
01,00015,001486.5169,12,2022,54,2805,1
01,00015,001686.0013,12,2022,30,2805,1
01,00015,001207.7343,12,2022,78,2805,1
01,00015,001550.3556,12,2022,21,2805,1
01,00015,001533.3755,12,2022,16,2805,1
01,00016,001358.7914,12,2022,51,2805,1
01,00016,001486.5169,12,2022,50,2805,1
01,00016,001550.3556,12,2022,23,2805,1
01,00016,001533.3755,12,2022,20,2805,1
01,00017,001207.7343,12,2022,70,2805,1
01,00017,001358.7914,12,2022,45,2805,1
01,00017,001805.9929,12,2022,12,"    "," "
01,00017,001444.3908,12,2022,43,2805,1
01,00017,001648.0936,12,2022,07,"    "," "
01,00017,001550.3556,12,2022,16,"    ",3
01,00017,001438.5047,12,2022,41,"    "," "
01,00018,001444.3908,12,2022,43,2805,1
01,00018,001438.5047,12,2022,40,2805,1
01,00018,001805.9929,12,2022,13,"    "," "
01,00018,001805.9929,12,2022,10,"    "," "
01,00019,001207.7343,12,2022,69,2805,1
01,00019,001209.5451,12,2022,32,2805,1
01,00019,001438.5047,12,2022,36,2805,1
01,00019,001648.0936,12,2022,02,"    "," "
01,00019,001805.9929,12,2022,00,"    "," "
01,00020,001344.5376,12,2022,71,2805,1
01,00020,001204.8194,12,2022,71,2805,1
01,00020,001206.6258,12,2022,27,2806,1
01,00020,001681.9321,12,2022,25,2805,1
