Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001711.9664,06,2022,53,2807,1
01,00001,001741.6018,06,2022,48,2807,1
01,00001,001764.6855,06,2022,10,2807," "
01,00001,001910.4073,06,2022,30,"    "," "
01,00001,002701.0520,06,2022,26,"    "," "
01,00002,001408.8801,06,2022,82,"    ",3
01,00002,001399.3315,06,2022,42,"    "," "
01,00003,001741.6018,06,2022,50,2807,1
01,00003,001643.7461,06,2022,22,2807,1
01,00003,001258.9008,06,2022,20,2807,1
01,00003,001711.9664,06,2022,52,"    "," "
01,00004,002159.2221,06,2022,71,2807,1
01,00004,001408.8801,06,2022,66,2807,1
01,00005,001711.9664,06,2022,46,2807,1
01,00005,001741.6018,06,2022,50,2807,1
01,00005,001258.9008,06,2022,17,2807,1
01,00005,001258.9008,06,2022,15,2807,1
01,00005,001764.6855,06,2022,11,2807," "
01,00006,001711.9664,06,2022,49,2807,1
01,00006,001741.6018,06,2022,50,"    ",3
01,00006,001910.4073,06,2022,28,2807,1
01,00006,001490.7689,06,2022,36,"    ",3
01,00006,001910.4073,06,2022,30,2807,1
01,00006,001983.3724,06,2022,09,"    "," "
01,00006,001764.6855,06,2022,06,"    "," "
01,00007,001399.3315,06,2022,35,2807,1
01,00007,002701.0520,06,2022,27,2818,1
01,00007,001983.3724,06,2022,08,"    "," "
01,00007,001983.3724,06,2022,04,"    "," "
01,00008,001656.4680,06,2022,55,2807,1
01,00008,001741.6018,06,2022,53,2807,1
01,00009,002114.8705,06,2022,75,"    ",3
01,00009,001379.9409,06,2022,69,"    ",3
01,00010,001676.8016,06,2022,51,2812,1
01,00010,001281.7717,06,2022,58,2812,1
01,00010,001609.9827,06,2022,23,2805,1
01,00010,001233.0423,06,2022,21,2812,1
01,00010,001609.9827,06,2022,20,2812,1
01,00011,001705.8283,06,2022,51,2812,1
01,00011,001233.0423,06,2022,18,2812,1
01,00011,001609.9827,06,2022,16,2812,1
01,00011,001942.6328,06,2022,14,"    "," "
01,00011,001728.4379,06,2022,11,"    "," "
01,00012,001370.5884,06,2022,36,2812,1
01,00012,002645.5709,06,2022,33,2812,1
01,00012,001942.6328,06,2022,13,2812," "
01,00012,001942.6328,06,2022,11,2812," "
01,00012,001728.4379,06,2022,09,2812," "
01,00012,001942.6328,06,2022,06,2812," "
01,00013,001281.7717,06,2022,63,2812,1
01,00013,001370.5884,06,2022,40,2812,1
01,00013,001942.6328,06,2022,13,2812," "
01,00013,001233.0423,06,2022,15,2812,1
01,00013,001942.6328,06,2022,11,2812," "
01,00014,001370.5884,06,2022,40,2812,1
01,00014,001460.1477,06,2022,43,2812,1
01,00014,001233.0423,06,2022,17,2812,1
01,00014,001942.6328,06,2022,13,2812," "
01,00015,001460.1477,06,2022,36,2812,1
01,00015,002645.5709,06,2022,33,2812,1
01,00016,001379.9409,06,2022,80,2812,1
01,00017,002114.8705,06,2022,86,"    ",3
01,00017,001379.9409,06,2022,85,"    ",3
01,00018,001370.5884,06,2022,43,2812,1
01,00018,001460.1477,06,2022,40,2812,1
01,00018,001609.9827,06,2022,20,2812,1
01,00018,001728.4379,06,2022,13,2812," "
01,00018,001942.6328,06,2022,10,2812," "
01,00018,001370.5884,06,2022,40,2812,1
01,00018,002114.8705,06,2022,72,"    ",3
01,00018,001281.7717,06,2022,64,2812,1
01,00019,001676.8016,06,2022,52,2812,1
