Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001585.7960,09,2022,63,2803,1
01,00001,001378.4411,09,2022,63,2803,1
01,00002,001199.8758,09,2022,50,2803,1
01,00002,001355.5746,09,2022,52,2803,1
01,00002,000982.0621,09,2022,16,"    ",3
01,00002,001956.0362,09,2022,09,"    "," "
01,00003,001585.7960,09,2022,55,2803,1
01,00003,001378.4411,09,2022,58,2803,1
01,00003,001261.8376,09,2022,33,2803,1
01,00003,001537.6450,09,2022,23,2803,1
01,00003,001261.8376,09,2022,29,2803,1
01,00003,001135.9153,09,2022,26,"    ",3
01,00003,001636.2964,09,2022,05,"    "," "
01,00003,001956.0362,09,2022,00,"    "," "
01,00004,001585.7960,09,2022,60,2803,1
01,00005,001397.6096,09,2022,78,"    ",3
01,00005,001199.8758,09,2022,52,2808,1
01,00005,001537.6450,09,2022,24,2812,1
01,00006,001199.8758,09,2022,53,2803,1
01,00006,001702.6517,09,2022,39,2803,1
01,00006,000982.0621,09,2022,17,"    ",3
01,00006,001537.6450,09,2022,15,"    ",3
01,00006,001636.2964,09,2022,12,"    "," "
01,00006,001956.0362,09,2022,10,"    "," "
01,00006,001956.0362,09,2022,07,"    "," "
01,00007,001633.3140,09,2022,38,2803,1
01,00007,001702.6517,09,2022,41,2803,1
01,00007,001636.2964,09,2022,12,"    "," "
01,00007,001636.2964,09,2022,11,"    "," "
01,00008,001355.5746,09,2022,53,"    ",3
01,00008,001537.6450,09,2022,20,2803,1
01,00008,001135.9153,09,2022,25,"    ",3
01,00008,001956.0362,09,2022,01,"    "," "
01,00008,001956.0362,09,2022,11,"    "," "
01,00009,001378.4411,09,2022,63,2803,1
01,00009,001633.3140,09,2022,35,2812,1
01,00009,001636.2964,09,2022,13,"    "," "
01,00009,001956.0362,09,2022,07,"    "," "
01,00009,001135.9153,09,2022,33,2803,1
01,00009,001956.0362,09,2022,13,2803," "
01,00009,001956.0362,09,2022,09,"    "," "
01,00009,001636.2964,09,2022,13,"    "," "
01,00010,001199.8758,09,2022,45,2803,1
01,00010,001355.5746,09,2022,45,2803,1
01,00010,001636.2964,09,2022,14,"    "," "
01,00010,001636.2964,09,2022,12,"    "," "
01,00011,001261.8376,09,2022,34,2812,1
01,00011,001135.9153,09,2022,34,2812,1
01,00011,001636.2964,09,2022,05,"    "," "
01,00011,001956.0362,09,2022,03,"    "," "
01,00011,001636.2964,09,2022,13,"    "," "
01,00012,001585.7960,09,2022,61,2803,1
01,00012,001135.9153,09,2022,33,"    ",3
01,00013,001261.8376,09,2022,34,2803,1
01,00013,000982.0621,09,2022,16,"    ",3
01,00013,001636.2964,09,2022,12,"    "," "
01,00013,001636.2964,09,2022,10,"    "," "
01,00013,001135.9153,09,2022,33,"    "," "
01,00014,001633.3140,09,2022,43,2803,1
01,00014,001702.6517,09,2022,42,2803,1
01,00014,001537.6450,09,2022,18,"    ",3
01,00014,001636.2964,09,2022,14,"    "," "
01,00015,001199.8758,09,2022,49,2803,1
01,00015,001537.6450,09,2022,23,2803,1
01,00015,000982.0621,09,2022,18,"    ",3
01,00015,001702.6517,09,2022,44,"    "," "
01,00016,001595.5413,09,2022,68,"    ",3
01,00016,001397.6096,09,2022,66,2803,1
01,00016,001261.8376,09,2022,27,2803,1
01,00016,001135.9153,09,2022,27,"    ",3
01,00016,001636.2964,09,2022,07,"    "," "
01,00016,001636.2964,09,2022,14,"    "," "
01,00016,001636.2964,09,2022,08,"    "," "
01,00016,001633.3140,09,2022,41,1501,1
01,00016,001702.6517,09,2022,41,1501,1
01,00017,001585.7960,09,2022,58,2803,1
01,00017,001397.6096,09,2022,73,2812,1
01,00017,001261.8376,09,2022,32,2803,1
01,00017,001135.9153,09,2022,27,2803,1
01,00017,001636.2964,09,2022,07,"    "," "
01,00017,001956.0362,09,2022,03,"    "," "
01,00017,000982.0621,09,2022,17,"    ",3
01,00018,001397.6096,09,2022,73,2803,1
01,00019,001397.6096,09,2022,72,"    ",3
01,00019,001633.3140,09,2022,38,2803,1
01,00019,001135.9153,09,2022,27,"    ",3
01,00019,001956.0362,09,2022,05,"    "," "
01,00020,001397.6096,09,2022,69,2803,1
01,00020,001261.8376,09,2022,33,2803,1
01,00020,001261.8376,09,2022,30,2803,1
01,00020,001956.0362,09,2022,02,"    "," "
01,00021,001261.8376,09,2022,33,2805,1
01,00021,001135.9153,09,2022,31,2803,1
01,00021,001135.9153,09,2022,26,2803,1
01,00021,001633.3140,09,2022,44,2803,1
01,00022,001397.6096,09,2022,74,"    ",3
01,00023,001397.6096,09,2022,83,2803,1
01,00023,001355.5746,09,2022,51,2803,1
01,00024,001585.7960,09,2022,63,2819,1
