Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001528.3820,02,2023,53,2808,1
01,00001,002104.7830,02,2023,24,2808,1
01,00001,002104.7830,02,2023,20,2808,1
01,00001,001577.3826,02,2023,10,"    "," "
01,00002,001126.0538,02,2023,67,2808,1
01,00002,001975.9204,02,2023,44,2808,1
01,00002,001886.9684,02,2023,20,2808,1
01,00002,002104.7830,02,2023,16,2808,1
01,00003,001280.8926,02,2023,62,2808,1
01,00003,001428.3874,02,2023,66,2808,1
01,00003,001138.7118,02,2023,64,2808,1
01,00003,001185.4019,02,2023,50,2808,1
01,00004,001428.3874,02,2023,65,"    ",3
01,00004,001280.8926,02,2023,62,"    ",3
01,00005,001400.6621,02,2023,38,2820,1
01,00005,001425.2507,02,2023,31,"    ",3
01,00005,001577.3826,02,2023,06,"    "," "
01,00005,001643.0381,02,2023,02,"    "," "
01,00006,001138.7118,02,2023,61,2808,1
01,00006,001280.8926,02,2023,58,2808,1
01,00006,002104.7830,02,2023,15,2808,1
01,00007,001528.3820,02,2023,47,2808,1
01,00007,001400.6621,02,2023,41,2812,1
01,00007,001975.9204,02,2023,39,2808,1
01,00008,001449.0032,02,2023,30,2808,1
01,00008,001449.0032,02,2023,30,2808,1
01,00008,001886.9684,02,2023,24,2808,1
01,00008,001449.0032,02,2023,31,2808,1
01,00009,001449.0032,02,2023,29,2808,1
01,00009,002104.7830,02,2023,23,"    ",3
01,00009,001577.3826,02,2023,06,"    "," "
01,00010,001400.6621,02,2023,37,2808,1
01,00010,001975.9204,02,2023,36,2808,1
01,00010,001886.9684,02,2023,17,2808,1
01,00010,001643.0381,02,2023,14,"    "," "
01,00010,001577.3826,02,2023,13,"    "," "
01,00010,001449.0032,02,2023,34,2808,1
01,00010,001428.3874,02,2023,83,"    ",3
01,00011,001138.7118,02,2023,59,2808,1
01,00012,001400.6621,02,2023,43,2808,1
01,00012,001185.4019,02,2023,48,2808,1
01,00012,001577.3826,02,2023,13,"    "," "
01,00012,001577.3826,02,2023,12,"    "," "
01,00012,001577.3826,02,2023,08,"    "," "
01,00012,001643.0381,02,2023,06,"    "," "
01,00013,001185.4019,02,2023,52,2808,1
01,00014,001117.3217,02,2023,64,"    ",3
01,00014,001421.7844,02,2023,32,2809,1
01,00014,001398.4781,02,2023,34,2809,1
01,00014,001612.1744,02,2023,07,"    "," "
01,00014,001612.1744,02,2023,04,"    "," "
01,00014,001612.1744,02,2023,00,"    "," "
01,00015,001938.8036,02,2023,43,"    ",3
01,00015,001851.5226,02,2023,22,"    ",3
01,00015,002065.2457,02,2023,19,2809,1
01,00015,001374.3514,02,2023,43,"    "," "
01,00016,001938.8036,02,2023,39,2809,1
01,00016,001499.6720,02,2023,51,"    ",3
01,00016,001547.7522,02,2023,11,"    "," "
01,00016,001374.3514,02,2023,41,"    ",3
01,00017,001104.9014,02,2023,73,"    ",3
01,00017,001104.9014,02,2023,68,"    ",3
01,00018,001117.3217,02,2023,63,2809,1
01,00018,001256.8316,02,2023,61,2809,1
01,00018,001398.4781,02,2023,27,2809,1
01,00018,001398.4781,02,2023,26,2809,1
01,00018,001851.5226,02,2023,19,2809,1
01,00018,001421.7844,02,2023,25,"    ",3
01,00018,001398.4781,02,2023,25,"    ",3
01,00018,001612.1744,02,2023,01,"    "," "
01,00018,001256.8316,02,2023,62,"    "," "
01,00019,001117.3217,02,2023,61,2809,1
01,00019,001256.8316,02,2023,60,2809,1
01,00019,001851.5226,02,2023,22,2820,1
01,00020,001499.6720,02,2023,49,2809,1
01,00020,001256.8316,02,2023,56,2809,1
01,00020,001421.7844,02,2023,25,2809,1
01,00020,001851.5226,02,2023,22,2809,1
01,00020,001851.5226,02,2023,21,2809,1
01,00020,002065.2457,02,2023,15,2809,1
01,00021,001374.3514,02,2023,37,2809,1
01,00021,001398.4781,02,2023,26,"    ",3
01,00021,001612.1744,02,2023,08,"    "," "
01,00021,001547.7522,02,2023,06,"    "," "
01,00021,001612.1744,02,2023,04,"    "," "
01,00022,001401.5558,02,2023,68,2809,1
01,00022,001256.8316,02,2023,57,2809,1
01,00023,001374.3514,02,2023,36,5503,1
01,00023,001938.8036,02,2023,35,2809,1
01,00023,001547.7522,02,2023,14,"    "," "
01,00023,001612.1744,02,2023,12,"    "," "
01,00023,001612.1744,02,2023,07,"    "," "
01,00024,001117.3217,02,2023,60,2809,1
01,00025,001499.6720,02,2023,53,2809,1
01,00025,001163.1347,02,2023,47,2809,1
01,00025,001851.5226,02,2023,22,2809,1
