Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001207.1025,03,2023,51,2808,1
01,00001,001471.3277,03,2023,24,2808,1
01,00001,001471.3277,03,2023,22,2808,1
01,00001,001701.1616,03,2023,27,2808,1
01,00001,001999.7710,03,2023,06,"    "," "
01,00001,001999.7710,03,2023,04,"    "," "
01,00002,001358.9642,03,2023,64,2808,1
01,00002,001012.3100,03,2023,65,2808,1
01,00002,001847.4827,03,2023,30,2820,1
01,00002,001701.1616,03,2023,30,"    ",3
01,00002,001999.7710,03,2023,04,"    "," "
01,00003,001474.1157,03,2023,49,2805,1
01,00003,001207.1025,03,2023,52,2805,1
01,00003,001701.1616,03,2023,28,2808,1
01,00003,001999.7710,03,2023,10,"    "," "
01,00003,002004.1964,03,2023,05,"    "," "
01,00004,001358.9642,03,2023,56,2808,1
01,00004,001207.1025,03,2023,52,2808,1
01,00004,001471.3277,03,2023,23,2805,1
01,00004,002112.2001,03,2023,20,"    ",3
01,00004,001999.7710,03,2023,14,"    "," "
01,00005,001266.1169,03,2023,79,"    ",3
01,00005,001012.3100,03,2023,76,"    ",3
01,00005,001474.1157,03,2023,51,"    "," "
01,00005,001207.1025,03,2023,49,"    "," "
01,00005,002004.1964,03,2023,11,"    "," "
01,00005,002004.1964,03,2023,08,"    "," "
01,00005,001012.3100,03,2023,82,"    ",3
01,00006,001012.3100,03,2023,75,"    ",3
01,00007,001847.4827,03,2023,29,2820,1
01,00007,001701.1616,03,2023,29,2803,1
01,00007,002004.1964,03,2023,04,"    "," "
01,00008,001266.1169,03,2023,66,2808,1
01,00008,001549.6312,03,2023,59,2808,1
01,00008,001847.4827,03,2023,32,2805,1
01,00008,002112.2001,03,2023,24,2808,1
01,00008,002004.1964,03,2023,01,"    "," "
01,00009,001474.1157,03,2023,45,2808,1
01,00010,001266.1169,03,2023,68,"    ",3
01,00010,001012.3100,03,2023,70,"    ",3
01,00010,001976.6639,03,2023,43,2805,1
01,00010,001986.8082,03,2023,35,2803,1
01,00010,002004.1964,03,2023,10,"    "," "
01,00011,001474.1157,03,2023,54,2808,1
01,00011,001207.1025,03,2023,51,2808,1
01,00011,001847.4827,03,2023,30,2802,1
01,00012,001358.9642,03,2023,60,2808,1
01,00012,001207.1025,03,2023,53,"    "," "
01,00012,001701.1616,03,2023,28,2808,1
01,00013,001245.1121,03,2023,66,2812,1
01,00013,001523.9229,03,2023,56,"    ",3
01,00013,001816.8331,03,2023,29,2812,1
01,00013,001943.8712,03,2023,37,2812,1
01,00013,001953.8473,03,2023,35,2812,1
01,00013,001245.1121,03,2023,75,"    ",3
01,00013,001449.6603,03,2023,50,2812,1
01,00014,001943.8712,03,2023,44,2812,1
01,00014,001446.9186,03,2023,18,"    ",3
01,00014,001953.8473,03,2023,39,"    "," "
01,00015,001187.0768,03,2023,51,2817,1
01,00015,001816.8331,03,2023,33,"    ",3
01,00015,002077.1589,03,2023,21,"    ",3
01,00015,001970.9470,03,2023,12,"    "," "
01,00016,001816.8331,03,2023,30,2812,1
01,00016,001672.9395,03,2023,25,"    ",3
01,00016,001970.9470,03,2023,08,"    "," "
01,00016,001970.9470,03,2023,03,"    "," "
01,00017,001816.8331,03,2023,31,2812,1
01,00017,001966.5950,03,2023,08,"    "," "
01,00017,001970.9470,03,2023,06,"    "," "
01,00018,001449.6603,03,2023,50,2812,1
01,00018,001187.0768,03,2023,48,2812,1
01,00018,001446.9186,03,2023,24,"    ",3
01,00018,001446.9186,03,2023,17,"    ",3
01,00019,001336.4191,03,2023,62,2812,1
01,00019,001523.9229,03,2023,58,"    ",3
01,00019,002077.1589,03,2023,22,"    ",3
01,00019,002077.1589,03,2023,23,"    ",2
01,00019,001816.8331,03,2023,28,2812,1
01,00019,001672.9395,03,2023,29,2812,1
01,00019,001970.9470,03,2023,01,"    "," "
01,00019,001970.9470,03,2023,13,"    "," "
01,00020,001523.9229,03,2023,55,2812,1
01,00020,001816.8331,03,2023,34,2812,1
01,00020,001672.9395,03,2023,32,2812,1
01,00020,002077.1589,03,2023,15,"    ",3
01,00020,001970.9470,03,2023,13,"    "," "
01,00021,001336.4191,03,2023,58,2812,1
01,00021,001816.8331,03,2023,25,2812,1
01,00021,001816.8331,03,2023,33,2812,1
01,00021,002077.1589,03,2023,24,2812,1
01,00021,001970.9470,03,2023,03,"    "," "
01,00021,001966.5950,03,2023,01,"    "," "
01,00022,001336.4191,03,2023,55,2812,1
01,00022,001523.9229,03,2023,57,2812,1
01,00023,001953.8473,03,2023,42,"    ",3
01,00024,001449.6603,03,2023,54,2812,1
01,00024,001187.0768,03,2023,53,2812,1
01,00024,002077.1589,03,2023,21,"    ",3
01,00024,001446.9186,03,2023,18,2812,1
01,00025,001449.6603,03,2023,53,2812,1
01,00025,001187.0768,03,2023,53,2812,1
01,00025,001446.9186,03,2023,16,2812,1
01,00026,001816.8331,03,2023,30,2812,1
01,00026,001672.9395,03,2023,29,2812,1
01,00026,001966.5950,03,2023,05,"    "," "
01,00027,001449.6603,03,2023,45,2812,1
