Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001098.1465,05,2023,50,2802,1
01,00001,001404.0674,05,2023,49,2802,1
01,00002,000840.6815,05,2023,77,2802,1
01,00002,001113.0938,05,2023,73,2802,1
01,00003,001915.1420,05,2023,37,2802,1
01,00003,001636.9092,05,2023,37,2802,1
01,00003,001963.5524,05,2023,12,2802," "
01,00003,001752.4118,05,2023,10,2802," "
01,00004,000840.6815,05,2023,82,2802,1
01,00004,001404.0674,05,2023,48,2802,1
01,00005,001404.0674,05,2023,53,2802,1
01,00005,001975.5955,05,2023,15,2802,1
01,00006,002433.8476,05,2023,33,2802,1
01,00006,002205.7786,05,2023,27,2802,1
01,00006,001963.5524,05,2023,06,"    "," "
01,00006,001752.4118,05,2023,05,"    "," "
01,00006,001113.0938,05,2023,65,2802,1
01,00007,002433.8476,05,2023,30,2802,1
01,00007,002205.7786,05,2023,31,2802,1
01,00007,001963.5524,05,2023,01,"    "," "
01,00007,001113.0938,05,2023,65,2802,1
01,00008,002076.2610,05,2023,64,2802,1
01,00008,001621.2192,05,2023,56,2802,1
01,00008,002433.8476,05,2023,34,2802,1
01,00008,001975.5955,05,2023,16,"    ",3
01,00008,001963.5524,05,2023,09,"    "," "
01,00008,001963.5524,05,2023,10,"    "," "
01,00009,000840.6815,05,2023,68,2802,1
01,00009,001113.0938,05,2023,68,2802,1
01,00009,001098.1465,05,2023,49,2802,1
01,00009,001098.1465,05,2023,45,2802,1
01,00009,001915.1420,05,2023,44,2802,1
01,00009,001915.1420,05,2023,37,2802,1
01,00009,001598.5623,05,2023,24,2802,1
01,00010,000840.6815,05,2023,79,"    ",3
01,00010,001113.0938,05,2023,74,"    ",3
01,00010,001098.1465,05,2023,52,2802,1
01,00011,000840.6815,05,2023,86,"    ",3
01,00011,001098.1465,05,2023,54,2802,1
01,00011,001098.1465,05,2023,46,2802,1
01,00012,001113.0938,05,2023,82,"    ",3
01,00013,002076.2610,05,2023,62,2802,1
01,00014,001404.0674,05,2023,48,2820,1
01,00014,001098.1465,05,2023,49,2802,1
01,00014,001975.5955,05,2023,23,2802,1
01,00015,002433.8476,05,2023,29,2812,1
01,00015,002205.7786,05,2023,25,"    ",3
01,00016,001113.0938,05,2023,83,"    ",3
01,00017,001098.1465,05,2023,53,2802,1
01,00017,001963.5524,05,2023,12,"    "," "
01,00018,002076.2610,05,2023,59,2802,1
01,00019,002076.2610,05,2023,64,"    ",3
01,00020,000840.6815,05,2023,73,"    ",3
01,00020,001113.0938,05,2023,72,"    ",3
01,00020,001915.1420,05,2023,43,2802,1
01,00020,001404.0674,05,2023,54,2802,1
01,00021,001636.9092,05,2023,42,2815,1
01,00021,001963.5524,05,2023,02,"    "," "
01,00022,001404.0674,05,2023,51,2802,1
01,00022,002205.7786,05,2023,25,2802,1
01,00022,001113.0938,05,2023,87,"    ",3
01,00023,001098.1465,05,2023,54,2812,1
01,00023,001636.9092,05,2023,43,2802,1
01,00023,001598.5623,05,2023,20,"    ",3
01,00024,001113.0938,05,2023,83,"    ",3
01,00024,001098.1465,05,2023,52,2802,1
01,00024,001598.5623,05,2023,22,"    ",3
01,00024,001598.5623,05,2023,18,"    ",3
01,00025,001098.1465,05,2023,50,2802,1
01,00026,001098.1465,05,2023,49,2802,1
01,00026,002205.7786,05,2023,33,"    ",3
01,00026,001963.5524,05,2023,07,"    "," "
01,00026,001752.4118,05,2023,04,"    "," "
01,00027,001621.2192,05,2023,63,"    ",3
01,00028,002148.8575,05,2023,63,2802,1
01,00028,001152.0132,05,2023,68,2802,1
01,00028,001694.1437,05,2023,37,2802,1
01,00028,001982.1050,05,2023,37,2812,1
01,00028,001694.1437,05,2023,35,2802,1
01,00028,002032.2081,05,2023,07,"    "," "
01,00028,001813.6850,05,2023,04,"    "," "
01,00029,001136.5433,05,2023,45,2802,1
01,00029,001694.1437,05,2023,37,2802,1
01,00029,002044.6722,05,2023,17,2802,1
01,00029,002032.2081,05,2023,12,2802," "
01,00029,001152.0132,05,2023,71,2802,1
01,00030,001152.0132,05,2023,76,"    ",3
01,00030,002148.8575,05,2023,56,2812,1
01,00031,002148.8575,05,2023,63,2802,1
01,00031,001677.9052,05,2023,63,2802,1
01,00031,002282.9038,05,2023,32,2802,1
01,00031,001654.4561,05,2023,21,2802,1
01,00032,001453.1607,05,2023,49,2802,1
01,00033,001694.1437,05,2023,40,2812,1
01,00033,002518.9472,05,2023,31,2802,1
01,00033,002282.9038,05,2023,28,2802,1
01,00034,001982.1050,05,2023,42,2802,1
01,00034,001694.1437,05,2023,40,2802,1
01,00034,002044.6722,05,2023,15,"    ",3
