"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
000001,001085.0010,06,2024,80,"    ",3
000001,001161.3493,06,2024,68,2804,1
000002,001161.3493,06,2024,69,"    ",3
000003,001161.3493,06,2024,85,"    ",3
000003,001441.8738,06,2024,59,"    ",3
000004,001085.0010,06,2024,67,2804,1
000004,001441.8738,06,2024,62,"    ",3
000004,001662.0595,06,2024,31,2804,1
000005,001441.8738,06,2024,61,"    ",3
000006,001161.3493,06,2024,80,"    ",3
000007,001638.4119,06,2024,38,2804,1
000007,002030.1335,06,2024,35,"    ",3
000007,001697.9488,06,2024,05,"    "," "
000008,002030.1335,06,2024,44,2804,1
000008,001161.3493,06,2024,68,"    ",3
000008,001697.9488,06,2024,13,"    "," "
000009,001161.3493,06,2024,67,"    ",3
000009,001604.6132,06,2024,24,2804,1
000009,001604.6132,06,2024,18,"    ",3
000010,001786.0327,06,2024,45,2804,1
000010,001392.4068,06,2024,52,"    ",3
000011,001085.0010,06,2024,88,"    ",3
000011,001161.3493,06,2024,87,"    ",3
000012,001638.4119,06,2024,43,2804,1
000012,001638.4119,06,2024,35,2804,1
000012,001662.0595,06,2024,26,2804,1
000013,001085.0010,06,2024,73,2804,1
000013,001161.3493,06,2024,70,2804,1
000013,001638.4119,06,2024,36,2804,1
000013,001762.9559,06,2024,26,2804,1
000013,002030.7214,06,2024,22,2804,1
000014,001638.4119,06,2024,43,2804,1
000014,001392.4068,06,2024,47,2804,1
000014,002304.3502,06,2024,05,"    "," "
000015,001662.0595,06,2024,33,2804,1
000015,002030.1335,06,2024,39,2804,1
000015,001697.9488,06,2024,10,"    "," "
000015,001697.9488,06,2024,07,"    "," "
000016,001662.0595,06,2024,28,2804,1
000017,001493.8469,06,2024,55,2804,1
000017,001392.4068,06,2024,49,2804,1
000017,001662.0595,06,2024,31,"    ",2
000018,001786.0327,06,2024,45,2804,1
000018,001392.4068,06,2024,46,2804,1
000018,001697.9488,06,2024,14,"    "," "
000018,002304.3502,06,2024,13,"    "," "
000019,001638.4119,06,2024,42,2804,1
000019,002030.1335,06,2024,39,"    ",3
000019,002030.7214,06,2024,15,"    ",3
000019,001697.9488,06,2024,12,"    "," "
000020,002030.1335,06,2024,43,2804,1
000020,001662.0595,06,2024,28,2804,1
000021,001770.7675,06,2024,54,2812,1
000021,001380.5059,06,2024,54,2812,1
000021,001683.4364,06,2024,12,"    "," "
000022,001624.4084,06,2024,41,2812,1
000022,002012.7819,06,2024,43,2812,1
000022,002013.3648,06,2024,20,"    ",3
000022,002284.6549,06,2024,10,"    "," "
000022,002284.6549,06,2024,06,"    "," "
000023,001770.7675,06,2024,52,2812,1
000023,001380.5059,06,2024,49,2812,1
000023,002013.3648,06,2024,20,"    ",3
000023,001590.8986,06,2024,17,"    ",3
000024,001770.7675,06,2024,45,2812,1
000024,002284.6549,06,2024,14,"    "," "
000024,001683.4364,06,2024,12,"    "," "
000024,002284.6549,06,2024,11,"    "," "
000024,002284.6549,06,2024,10,"    "," "
000025,001770.7675,06,2024,50,2812,1
000025,001380.5059,06,2024,50,2812,1
000025,001590.8986,06,2024,20,2812,1
000025,002013.3648,06,2024,18,"    ",3
000025,001151.4232,06,2024,82,"    ",3
000026,001075.7275,06,2024,69,"    ",3
000026,001380.5059,06,2024,52,2812,1
000026,001683.4364,06,2024,14,"    "," "
000027,001151.4232,06,2024,86,"    ",3
000027,001481.0790,06,2024,61,"    ",3
000028,001075.7275,06,2024,65,2812,1
000028,001429.5501,06,2024,55,2812,1
000028,001647.8539,06,2024,32,2812,1
000028,001747.8879,06,2024,32,2812,1
