"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
000001,001210.3306,05,2024,64,2805,1
000001,001655.6761,05,2024,66,2805,1
000002,001425.6741,05,2024,50,2805,1
000002,001196.5603,05,2024,52,2805,1
000002,001768.0292,05,2024,25,"    ",2
000002,001047.0124,05,2024,21,"    ",3
000003,001210.3306,05,2024,62,2805,1
000003,001578.9000,05,2024,63,2805,1
000003,001768.0292,05,2024,31,2805,1
000003,001619.8182,05,2024,30,2805,1
000003,002526.2279,05,2024,06,"    "," "
000003,002087.5659,05,2024,36,2820,1
000003,001047.0124,05,2024,17,"    ",3
000004,001425.6741,05,2024,50,2805,1
000004,002087.5659,05,2024,40,2805,1
000004,001047.0124,05,2024,18,"    ",3
000004,001596.4802,05,2024,16,"    ",3
000004,001176.4294,05,2024,78,"    ",3
000004,001596.4802,05,2024,24,2805,1
000004,001047.0124,05,2024,20,2805,1
000004,001047.0124,05,2024,22,"    ",3
000004,001597.6890,05,2024,02,"    "," "
000005,001176.4294,05,2024,82,2805,1
000005,001578.9000,05,2024,59,2805,1
000005,001619.8182,05,2024,33,2805,1
000005,002087.5659,05,2024,35,"    ",3
000005,002526.2279,05,2024,11,"    "," "
000005,001736.4315,05,2024,38,"    "," "
000006,001425.6741,05,2024,54,2805,1
000006,001196.5603,05,2024,52,2805,1
000006,001768.0292,05,2024,32,2812,1
000006,001619.8182,05,2024,29,2805,1
000006,001597.6890,05,2024,05,"    "," "
000006,002526.2279,05,2024,00,"    "," "
000007,001210.3306,05,2024,61,"    ",3
000007,001768.0292,05,2024,29,2805,1
000007,001768.0292,05,2024,27,2805,1
000008,001176.4294,05,2024,65,2805,1
000008,001578.9000,05,2024,61,2805,1
000009,001655.6761,05,2024,78,2805,1
000009,001768.0292,05,2024,27,2805,1
000009,002526.2279,05,2024,14,"    "," "
000009,002526.2279,05,2024,05,"    "," "
000010,001736.4315,05,2024,44,2805,1
000010,002087.5659,05,2024,36,2805,1
000010,001047.0124,05,2024,18,"    ",3
000010,001047.0124,05,2024,16,"    ",3
000010,001597.6890,05,2024,14,"    "," "
000010,001597.6890,05,2024,05,"    "," "
000011,001210.3306,05,2024,64,2805,1
000011,001655.6761,05,2024,65,2805,1
000011,001736.4315,05,2024,35,2805,1
000011,001196.5603,05,2024,46,2805,1
000011,001736.4315,05,2024,38,"    "," "
000011,002087.5659,05,2024,39,2805,1
000011,001597.6890,05,2024,08,"    "," "
000011,002526.2279,05,2024,05,"    "," "
000011,001597.6890,05,2024,06,"    "," "
000012,001425.6741,05,2024,51,2805,1
000012,001196.5603,05,2024,46,2805,1
000012,001768.0292,05,2024,25,2812,1
000013,001425.6741,05,2024,46,2805,1
000013,001196.5603,05,2024,48,2805,1
000013,001047.0124,05,2024,20,"    ",3
000013,001597.6890,05,2024,11,"    "," "
000014,001176.4294,05,2024,72,2805,1
000014,001578.9000,05,2024,64,2805,1
000014,002087.5659,05,2024,42,"    ",3
000014,002526.2279,05,2024,05,"    "," "
000014,001736.4315,05,2024,39,2812,1
000014,001619.8182,05,2024,33,"    ",3
000014,002526.2279,05,2024,01,"    "," "
000014,001768.0292,05,2024,29,2805,1
000014,001619.8182,05,2024,27,2805,1
000014,001597.6890,05,2024,01,"    "," "
000015,001425.6741,05,2024,54,2805,1
000015,001578.9000,05,2024,57,2805,1
000015,001768.0292,05,2024,26,2805,1
000015,002526.2279,05,2024,04,"    "," "
000015,001619.8182,05,2024,25,"    "," "
000016,001176.4294,05,2024,66,2805,1
000016,001578.9000,05,2024,63,2805,1
000016,001619.8182,05,2024,32,"    "," "
000017,001655.6761,05,2024,75,"    ",3
000017,001196.5603,05,2024,50,"    "," "
000018,002087.5659,05,2024,36,2805,1
000018,001597.6890,05,2024,04,"    "," "
000018,001736.4315,05,2024,36,"    "," "
000019,001736.4315,05,2024,38,2805,1
000019,002087.5659,05,2024,35,2805,1
000019,001597.6890,05,2024,08,"    "," "
000019,002526.2279,05,2024,05,"    "," "
000020,001239.8508,05,2024,63,2811,1
