YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2019,1,1,22.4,26.1,22.2,89,3,90
2019,1,2,0,30.1,22.4,77,4,90
2019,1,3,12.4,31.5,22.5,82,2,90
2019,1,4,0,29.5,22.8,72,4,90
2019,1,5,0,31.1,22.9,74,4,70
2019,1,6,0,30.8,21.1,73,4,90
2019,1,7,0,30,21.5,73,2,90
2019,1,8,0,30.3,22.5,72,3,40
2019,1,9,0,30.6,22.2,76,2,90
2019,1,10,0,30.3,22.6,75,3,90
2019,1,11,0,30.5,22.2,72,3,90
2019,1,12,0,31,22,73,3,90
2019,1,13,0,31,22.8,70,4,70
2019,1,14,0,29.5,21.1,71,4,70
2019,1,15,0,30.2,19.4,67,5,90
2019,1,16,0,30,18.2,71,4,70
2019,1,17,0,31,21,75,3,90
2019,1,18,0,29.2,21.3,80,3,90
2019,1,19,0,29.8,21,74,4,70
2019,1,20,0,31.5,21,74,4,70
2019,1,21,0,32,21.9,63,3,70
2019,1,22,0,32.1,22.8,69,4,70
2019,1,23,0,31,21.5,70,3,90
2019,1,24,0,31.5,22,72,3,70
2019,1,25,0,30.2,21.8,68,3,90
2019,1,26,0,29.5,20.1,75,3,90
2019,1,27,0,27.2,20,75,3,90
2019,1,28,0,29,18.8,73,4,70
2019,1,29,0,29,19.4,63,4,90
2019,1,30,0,29.9,21.2,58,4,70
2019,1,31,0,29.5,20,75,2,70
2019,2,1,0,30,20.5,72,4,70
2019,2,2,0,29.7,21.2,77,3,90
2019,2,3,0,30.2,22.2,77,3,110
2019,2,4,0,30.5,21.2,75,3,110
2019,2,5,0,31.2,20.6,76,3,140
2019,2,6,0,30.4,20.3,78,4,140
2019,2,7,0,30.8,19.7,72,3,70
2019,2,8,0,31.5,19,74,3,90
2019,2,9,0,31.5,21.5,79,3,40
2019,2,10,0,30.3,22,75,3,90
2019,2,11,0,30.2,21.7,79,2,90
2019,2,12,0,30.4,22,73,3,90
2019,2,13,-1,27.7,17.8,78,3,70
2019,2,14,0,30,19.5,68,5,70
2019,2,15,0,30,20.9,65,3,90
2019,2,16,0,31.5,20,71,3,90
2019,2,17,0,30.5,20.5,76,3,90
2019,2,18,0,31,20.2,78,2,90
2019,2,19,0,30.7,20.3,74,2,90
2019,2,20,0,30,19.4,71,3,90
2019,2,21,0,31.2,19,71,3,90
2019,2,22,0,31.8,21.5,73,3,90
2019,2,23,0,30,20.6,68,4,90
2019,2,24,0,32.8,19.5,72,2,90
2019,2,25,0,32,21,76,2,90
2019,2,26,0,30.5,21,79,2,90
2019,2,27,0,30.3,21.4,77,1,90
2019,2,28,0,32,21,75,2,90
2019,3,1,0,31.5,21,75,3,90
2019,3,2,0,31.1,18.5,65,4,160
2019,3,3,0,32,21.5,73,3,20
2019,3,4,0,32,22,77,3,90
2019,3,5,0,31,20.5,77,3,90
2019,3,6,0,32.2,22.4,76,2,160
2019,3,7,0,32.2,20.5,79,2,90
2019,3,8,0,31.6,21.5,77,3,110
2019,3,9,0,32,20.4,67,3,140
2019,3,10,0,31.4,21,76,2,160
2019,3,11,0,32.7,21.4,78,2,180
2019,3,12,0,32.5,23,81,2,180
2019,3,13,0,30,22.5,80,3,140
2019,3,14,0.6,31.8,23.4,77,2,180
2019,3,15,0,32.4,22.8,79,1,170
2019,3,16,0,30.8,22.4,75,3,70
2019,3,17,0,31.6,22.9,72,4,70
2019,3,18,0,32.1,22,75,3,70
2019,3,19,0,32.2,22.5,71,3,110
2019,3,20,0,32.5,22,70,2,90
2019,3,21,0,33,21,75,2,140
2019,3,22,0,32.7,22.4,75,2,90
2019,3,23,0,32.8,22.8,71,2,90
2019,3,24,0,30.7,21.8,69,4,110
2019,3,25,0,32,21.4,70,3,70
2019,3,26,0,31.7,20.5,66,4,90
2019,3,27,0,31.5,23.5,69,3,110
2019,3,28,0,33.5,23.5,74,2,140
2019,3,29,0,33.5,23.5,78,2,90
2019,3,30,0,33.4,23.4,79,2,90
2019,3,31,0,33,20.5,77,2,90
2019,4,1,0,33,22.5,73,3,70
2019,4,2,0,33,23.5,72,4,70
2019,4,3,11.6,33,22.9,75,3,70
2019,4,4,0,33,23.1,73,3,70
2019,4,5,0,33.5,23.8,74,2,180
2019,4,6,0,34.3,23.6,76,2,90
2019,4,7,0,34.3,24,75,1,90
2019,4,8,0,34.3,23.1,74,2,90
2019,4,9,0,34.3,24.7,71,3,70
2019,4,10,0,35,23.6,73,3,90
2019,4,11,7.8,34.5,24.7,75,3,140
2019,4,12,0,33,24.6,87,2,90
2019,4,13,5.3,34.5,25,77,3,90
2019,4,14,3.2,34.5,25,72,2,90
2019,4,15,0,31.6,24.5,89,1,80
2019,4,16,0,34.9,24.3,79,1,170
2019,4,17,0,35.7,24.8,76,1,180
2019,4,18,0,35.2,25.7,78,1,90
2019,4,19,0,35.1,24.5,75,2,140
2019,4,20,0,35.4,22.9,72,3,110
2019,4,21,0,36.2,22.9,64,2,90
2019,4,22,0,34.3,24.7,70,3,90
2019,4,23,0,34.3,23.5,75,2,110
2019,4,24,0,35.2,25.4,73,2,170
2019,4,25,0,36.5,23.5,65,3,90
2019,4,26,0,35.5,24.3,64,3,90
2019,4,27,0,36,23.2,64,5,70
2019,4,28,0,36.1,23.6,63,4,90
2019,4,29,0,36.5,23.5,64,2,140
2019,4,30,0,36.5,25,66,1,180
2019,5,1,0,36.2,25.2,69,1,270
2019,5,2,1,35.9,23.8,75,2,90
2019,5,3,0,36.4,23.5,72,2,40
2019,5,4,0,35.4,24,76,1,200
2019,5,5,2.8,35.6,24.1,77,2,180
2019,5,6,7.4,33,24,86,2,180
2019,5,7,1.1,33.5,24,83,1,220
2019,5,8,2.7,34.5,23.5,86,1,180
