YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2018,1,1,0,30.8,24.2,62,7,50
2018,1,2,0,30,23.5,63,7,60
2018,1,3,0,31.1,24.9,61,6,60
2018,1,4,0,30.7,24.2,66,5,60
2018,1,5,0,32.5,25,68,3,70
2018,1,6,0,32.8,24.2,64,3,70
2018,1,7,0,32.8,24.7,67,4,60
2018,1,8,0,32.7,24.2,72,4,70
2018,1,9,0,33.2,23.1,70,3,80
2018,1,10,0,33.3,24.5,64,3,60
2018,1,11,0,31.8,24.3,56,7,60
2018,1,12,0,29.7,23.4,54,8,50
2018,1,13,0,30,22.6,55,8,50
2018,1,14,0,31,23.3,58,7,50
2018,1,15,0,31.7,22.6,56,5,60
2018,1,16,0,31.4,24,66,5,70
2018,1,17,0,30.7,22.8,72,3,50
2018,1,18,0,31.9,24.8,71,5,60
2018,1,19,0,30.5,23.7,60,5,60
2018,1,20,0,32.3,23.4,58,6,60
2018,1,21,0,30.7,23.8,74,2,60
2018,1,22,0,31.8,22.7,68,2,70
2018,1,23,0,33,22.8,67,3,60
2018,1,24,0,32.2,24,72,2,90
2018,1,25,0,33.7,23.5,61,3,60
2018,1,26,0.4,33.8,23.5,67,4,50
2018,1,27,0.2,29.2,24.2,68,6,60
2018,1,28,0,29.9,22.8,73,3,70
2018,1,29,0,31.5,24.5,71,3,60
2018,1,30,0,31.9,23.6,66,4,60
2018,1,31,0,32.6,23.5,67,3,60
2018,2,1,0,32.8,22.8,68,2,50
2018,2,2,0,32.7,22.4,67,4,60
2018,2,3,0,32.1,21.5,61,2,70
2018,2,4,0,30.1,23,69,4,60
2018,2,5,0,30.4,20.8,69,3,60
2018,2,6,0,31.3,20.4,65,3,50
2018,2,7,0,29.8,21.8,71,4,350
2018,2,8,0,29.6,21.2,70,2,50
2018,2,9,0,31,21.5,70,3,210
2018,2,10,0,30.5,23.5,74,3,220
2018,2,11,0,31.5,24.6,70,2,60
2018,2,12,0,33.4,23.9,61,6,60
2018,2,13,0,31.6,23.8,62,9,60
2018,2,14,-1,32.3,23.4,60,5,60
2018,2,15,0,33.6,24.6,66,4,50
2018,2,16,0,33.5,24.7,71,4,60
2018,2,17,0,34.8,23.8,69,4,50
