YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2018,1,1,0,30.2,24.2,70,3,70
2018,1,2,0,29.4,24.2,68,4,70
2018,1,3,0,30.4,24.4,75,2,70
2018,1,4,0,30.9,25,81,3,60
2018,1,5,0,32.1,26.7,78,4,60
2018,1,6,0,32.2,24.9,67,3,60
2018,1,7,0,32,24.5,84,2,50
2018,1,8,0,32.5,25.1,85,2,40
2018,1,9,0,33,24.9,77,3,60
2018,1,10,0,31.8,25.6,79,2,70
2018,1,11,0,29.4,24.7,66,2,70
2018,1,12,0,29.8,23.3,61,3,70
2018,1,13,0,30.4,23.1,61,4,70
2018,1,14,0,30.4,23.2,72,2,70
2018,1,15,0,31.9,24.3,64,2,70
2018,1,16,10.5,30.5,23.8,81,2,70
2018,1,17,-1,29.2,24.3,92,2,60
2018,1,18,2,33,24.4,82,2,60
2018,1,19,0,30.8,24.6,75,3,70
2018,1,20,0,32.9,24.2,72,2,70
2018,1,21,-1,31.5,24.5,80,2,50
2018,1,22,-1,32.1,24.2,85,2,60
2018,1,23,-1,31.8,23.6,77,2,50
2018,1,24,1.5,28.7,24,92,2,70
2018,1,25,0,32.5,24,77,3,60
2018,1,26,8,32,23.9,82,2,280
2018,1,27,2.5,27.5,24.7,99,2,70
2018,1,28,-1,28.4,23.6,86,3,70
2018,1,29,0,31.4,24.7,76,2,60
2018,1,30,0.5,31.2,24.1,77,2,70
2018,1,31,0,28.7,23.3,86,2,60
2018,2,1,0,31.2,24.7,82,3,60
2018,2,2,0,30.6,23.8,75,2,280
2018,2,3,-1,30.8,23.1,75,2,70
2018,2,4,0,29.9,24,73,3,10
2018,2,5,0,29.2,22.9,79,4,10
2018,2,6,0,29.6,22.4,72,2,70
2018,2,7,0,29.2,23.2,81,2,300
2018,2,8,0,28.4,21.5,77,2,290
2018,2,9,-1,30.1,24.8,76,2,310
2018,2,10,-1,30,24.8,82,1,290
2018,2,11,-1,30.4,25.7,89,2,60
2018,2,12,0,30.9,25.1,78,2,60
2018,2,13,0,31.4,23.9,68,3,70
2018,2,14,0,29.2,25.2,81,1,280
2018,2,15,0,32.9,24.8,79,3,60
2018,2,16,0,33.2,26,79,2,60
2018,2,17,0,33.5,24.3,73,3,60
2018,2,18,0,33.1,23.1,72,3,70
2018,2,19,0,33.3,24.1,61,3,60
2018,2,20,0,33.3,25.8,67,3,60
2018,2,21,0,33.1,26.2,69,3,60
2018,2,22,0,33.5,23.1,66,3,60
2018,2,23,0,32.7,23.1,64,4,60
2018,2,24,0,33.7,24.8,59,3,70
2018,2,25,0,32.8,24.4,65,2,60
2018,2,26,0,33.9,25.8,71,3,60
2018,2,27,-1,31.8,24.5,80,3,70
2018,2,28,0,33.9,25.8,76,2,50
2018,3,1,0,33.9,26.8,72,4,70
2018,3,2,0,33.7,25.7,69,4,110
2018,3,3,0,33.7,25.6,72,3,110
2018,3,4,0,34.2,26.1,68,5,110
2018,3,5,0,33.6,26.5,65,4,110
2018,3,6,0,34.3,25.3,68,4,110
2018,3,7,0,33.8,26,70,3,110
2018,3,8,10.5,31.9,22.7,79,2,110
2018,3,9,-1,30.2,23.8,88,3,130
2018,3,10,0,31,23.3,69,4,80
2018,3,11,0,31.5,22.7,63,4,100
2018,3,12,0,31.8,23.4,68,3,110
2018,3,13,0,32.7,25,67,4,110
2018,3,14,0,32.9,23.7,61,3,130
2018,3,15,0,33.2,25.4,63,3,130
2018,3,16,0,33.7,25.8,70,3,110
2018,3,17,0,33.5,26.1,68,4,110
2018,3,18,0,33.8,24.1,69,4,120
2018,3,19,0,33.5,24.1,69,3,120
2018,3,20,0,34.8,25.9,64,3,120
2018,3,21,17,33.3,23.2,75,3,280
2018,3,22,0,30.6,24.9,74,3,100
2018,3,23,0,30.7,24.7,63,5,80
2018,3,24,0,31.1,22.4,59,4,100
2018,3,25,0,31.4,23.2,60,4,110
2018,3,26,0,31.7,24.7,64,3,100
2018,3,27,0,31.1,23,71,2,130
2018,3,28,0,33.3,25.3,70,3,130
2018,3,29,1,32.9,24.1,68,2,130
2018,3,30,-1,32.5,23.6,75,2,10
2018,3,31,0,31.1,24.6,74,3,110
2018,4,1,0,32.3,24.4,64,3,120
2018,4,2,0,33.5,25.5,69,3,110
2018,4,3,0,32.8,25.4,71,3,110
2018,4,4,-1,31.4,26.2,72,4,110
2018,4,5,-1,31.5,23.8,70,3,100
2018,4,6,0,33.8,25.6,61,4,130
2018,4,7,-1,34,24.7,62,4,100
2018,4,8,-1,33.4,25.4,63,4,70
2018,4,9,0,33,25.1,71,3,110
2018,4,10,0,34.9,26.1,70,4,110
2018,4,11,0,34.5,27.2,67,4,110
2018,4,12,0,34.7,26.3,68,4,100
2018,4,13,0,34.9,26.9,69,4,110
