YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2018,1,1,0,30.1,24.9,69,2,360
2018,1,2,0,28.8,25.9,71,3,20
2018,1,3,0,29,24.8,76,2,140
2018,1,4,0,29.8,25.5,77,3,90
2018,1,5,0,32.8,27,77,4,90
2018,1,6,0,32,25.6,76,3,90
2018,1,7,0,31.5,25.6,80,2,90
2018,1,8,0,32,26,81,2,110
2018,1,9,0,33.9,26.5,74,3,90
2018,1,10,0,31.1,26.9,75,3,90
2018,1,11,0,30.3,26,72,3,340
2018,1,12,0,30.5,25,65,3,340
2018,1,13,0,28.9,24.3,73,3,340
2018,1,14,0,28.7,24.8,79,3,320
2018,1,15,0,31,25.4,70,3,320
2018,1,16,11.6,30,24.4,81,2,60
2018,1,17,0,28.6,25,84,2,90
2018,1,18,0.4,30.8,25.3,83,3,340
2018,1,19,0,30.5,25.1,73,5,90
2018,1,20,0,31.8,25.2,78,3,90
2018,1,21,0,29,25.6,83,2,320
2018,1,22,0,31,25.8,78,2,320
2018,1,23,0,32,25,73,3,90
2018,1,24,0.1,28.9,25.9,80,3,90
2018,1,25,0,30.5,26,77,4,90
2018,1,26,3.2,31.3,25,78,2,320
2018,1,27,1,26.1,25.2,88,2,90
2018,1,28,0,28,25.3,82,4,340
2018,1,29,0,31.2,25.8,78,3,90
2018,1,30,0,30.9,25.1,80,2,90
2018,1,31,0.1,29,25,86,3,90
2018,2,1,0,30.5,25.8,79,3,270
2018,2,2,0,31,25.3,74,3,340
2018,2,3,0,31.1,24.7,78,3,90
2018,2,4,0,29.3,25,80,3,340
2018,2,5,0,29.9,23.8,79,4,340
2018,2,6,0,29,24,77,3,340
2018,2,7,0.2,30,24.1,79,3,320
2018,2,8,0,29.4,23,78,3,320
2018,2,9,0,30.5,24.2,75,2,180
2018,2,10,0,30.6,25.9,82,2,220
2018,2,11,0.6,30.3,26.1,82,2,90
2018,2,12,0,32,26.5,76,3,90
2018,2,13,0,31,25.6,73,4,60
2018,2,14,0,28.1,25.7,83,2,340
2018,2,15,0,31.5,25.8,80,3,90
2018,2,16,0,33.5,27,77,3,110
2018,2,17,0,33.9,26,78,3,110
2018,2,18,0,33.8,25.9,77,3,90
2018,2,19,0,33,24.9,72,4,90
2018,2,20,0,33.8,26.7,75,4,90
2018,2,21,0,33.9,24.8,78,4,90
2018,2,22,0,34,24.8,74,4,90
2018,2,23,0,32,25,70,5,90
2018,2,24,0,32.5,26,74,3,90
2018,2,25,0,31.6,26,79,3,110
2018,2,26,0,33,26.5,76,3,90
2018,2,27,0,31.4,26.2,78,4,90
2018,2,28,0,33.3,27,76,3,90
2018,3,1,0,33.5,26.8,79,4,90
2018,3,2,0,33.5,27.5,78,5,90
2018,3,3,0,33.6,27,76,3,90
2018,3,4,0,33.4,26.6,77,4,90
2018,3,5,0,33.8,27,73,3,90
2018,3,6,0,34.1,27.1,73,3,90
2018,3,7,0,34.4,27.1,77,3,90
2018,3,8,0,32.3,25,76,3,90
2018,3,9,0,30.9,25.1,74,4,90
2018,3,10,0,29.1,24.9,79,2,60
2018,3,11,0,31.6,24,78,3,90
2018,3,12,0,32,24.4,74,3,90
2018,3,13,0,31.8,25.5,75,4,90
2018,3,14,0,33.1,25.9,68,4,90
2018,3,15,0,33,26.6,70,3,340
2018,3,16,0,32.8,26.1,74,2,90
2018,3,17,0,33.6,26.8,72,4,90
2018,3,18,0,33.6,26,75,5,110
2018,3,19,0,33.1,25.8,76,3,110
2018,3,20,0,33.2,26.7,74,3,300
2018,3,21,102.2,32.9,24.9,75,4,110
2018,3,22,0,28.9,25.1,81,3,90
2018,3,23,0,31,25,70,4,110
2018,3,24,0,30.1,24.6,70,3,90
2018,3,25,0,31.3,24.9,76,3,110
2018,3,26,0,30.6,24.8,72,3,90
2018,3,27,0,31.8,24.8,72,3,90
2018,3,28,0,31.2,25.8,72,4,90
2018,3,29,2.4,31.8,25,75,2,360
2018,3,30,0.4,31.3,24.1,75,2,320
2018,3,31,0.8,29.2,25.8,80,3,90
2018,4,1,0,32.2,25.5,77,3,320
