YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2018,1,1,0.6,28,23.3,81,4,40
2018,1,2,2.2,28.5,22.6,83,5,40
2018,1,3,6,27.1,22.5,85,4,40
2018,1,4,0,29.5,24,89,2,40
2018,1,5,0,31.5,24,83,2,40
2018,1,6,0,30.6,23.8,80,2,40
2018,1,7,0,33.3,21.7,86,1,40
2018,1,8,0,32.2,22.1,84,1,40
2018,1,9,0,31.9,22.7,77,2,40
2018,1,10,0,32.5,22.5,78,3,40
2018,1,11,0.6,28.8,21.6,76,4,40
2018,1,12,0,26.9,21,84,4,40
2018,1,13,0,28.3,21.3,71,4,40
2018,1,14,0,29,20.2,75,4,40
2018,1,15,0,29.5,25.2,75,4,40
2018,1,16,7.9,29.6,23.7,88,3,40
2018,1,17,-1,27.9,23.4,83,3,40
2018,1,18,1.8,32.7,24.3,82,3,40
2018,1,19,0,30.1,24.6,81,4,40
2018,1,20,0,31.2,24.5,77,3,40
2018,1,21,0,31.5,22.2,80,2,40
2018,1,22,0,31.7,21.9,83,2,40
2018,1,23,0,30.1,22.3,84,1,40
2018,1,24,4.6,30.1,23.7,89,2,40
2018,1,25,0,30.4,24.4,80,3,40
2018,1,26,5.8,33,23.1,80,2,40
2018,1,27,8.6,27,23.4,88,3,40
2018,1,28,1.4,26.9,21.4,90,1,40
2018,1,29,0,31.8,23,86,1,40
2018,1,30,0,29.4,22.3,80,2,70
2018,1,31,0.6,28.8,21.3,86,1,40
2018,2,1,0,32,23.1,79,2,40
2018,2,2,0,32.1,22.2,76,2,40
2018,2,3,0,30,23,76,4,40
2018,2,4,0,31.8,22.3,85,3,40
2018,2,5,0,29.7,22.2,77,1,40
2018,2,6,0,30.5,22.2,75,2,40
2018,2,7,1.4,31,20.5,85,1,20
2018,2,8,0,30.7,19.5,84,1,70
2018,2,9,0,31.6,21.9,82,1,200
2018,2,10,0,30.1,22.1,87,1,70
2018,2,11,1,31.1,25,79,4,40
2018,2,12,-1,31.6,23.3,84,5,70
2018,2,13,-1,28.5,22.8,86,3,40
2018,2,14,-1,29.2,22.7,82,3,20
2018,2,15,0,32,22.7,84,1,40
2018,2,16,0,34,24.2,81,1,40
2018,2,17,0,33.2,21.7,75,2,40
2018,2,18,0,32.3,24.2,77,2,40
2018,2,19,0,32.5,24,73,5,40
2018,2,20,0,32.4,24,79,2,40
2018,2,21,-1,33.5,23.2,78,1,40
2018,2,22,0,34,21.8,76,2,40
2018,2,23,0,31.7,22.6,78,1,40
2018,2,24,0,31.5,23.8,79,2,40
2018,2,25,-1,30.2,23.4,81,2,40
2018,2,26,0,32,24.7,78,2,40
2018,2,27,0,30.6,23.7,88,4,20
2018,2,28,0,33.7,24.8,78,3,20
2018,3,1,0,34.5,23.7,79,2,40
2018,3,2,0,34.5,23.5,77,1,20
2018,3,3,0,34.5,23.4,77,2,40
2018,3,4,0,32.7,21.4,80,1,70
2018,3,5,0,33.1,25,75,2,40
2018,3,6,-1,33.3,25.1,73,2,40
2018,3,7,0,33.8,22.5,75,3,360
2018,3,8,0.4,33.5,23.1,76,3,20
2018,3,9,2.4,27.8,23.2,86,1,70
2018,3,10,1,28.2,23,84,3,40
2018,3,11,0,29.3,22.8,83,3,40
2018,3,12,0,30.2,23,78,3,40
2018,3,13,0,31.4,21,73,2,40
2018,3,14,0,32.4,23,71,2,40
2018,3,15,0,33.4,25.3,74,3,40
2018,3,16,0,34,24.5,75,2,40
2018,3,17,0,31.5,23.7,80,2,40
2018,3,18,0,32.5,21,76,2,40
2018,3,19,0,33.5,21.2,80,1,40
2018,3,20,0,34.5,21.3,79,1,40
2018,3,21,-1,35,22.3,76,1,70
2018,3,22,0.2,30,23.6,82,3,70
2018,3,23,0,30.4,24.1,73,5,40
2018,3,24,0,30.6,23,68,4,70
2018,3,25,0,30.7,22.7,70,3,40
2018,3,26,0,32.5,20.6,72,1,40
2018,3,27,0,31.3,20.5,75,2,70
2018,3,28,0,34,20,79,1,20
2018,3,29,0,34.5,23.4,83,1,70
2018,3,30,0,33.1,23.7,79,1,40
2018,3,31,0,31,22.1,75,3,70
2018,4,1,1.22,33.6,21.5,74,1,70
2018,4,2,0.6,31.8,21.3,85,1,40
2018,4,3,2.8,31,22.7,87,1,40
2018,4,4,0,33.5,22.7,85,1,40
2018,4,5,0,33.5,21.1,74,1,40
2018,4,6,0,34,23.5,73,2,70
2018,4,7,0,33.3,23.5,70,3,70
2018,4,8,-1,32,24.7,75,5,40
2018,4,9,-1,31.5,24.5,82,5,20
2018,4,10,0,33.4,24.7,80,2,20
2018,4,11,0,33.8,24.5,81,2,40
2018,4,12,0,35,24.5,73,2,40
2018,4,13,0,35,24.5,77,2,40
2018,4,14,0,35.6,25.6,70,2,70
2018,4,15,0,35,24.8,71,1,70
2018,4,16,0,36.9,21.7,68,3,70
2018,4,17,0,35.2,21.5,71,3,40
2018,4,18,0,34.3,22,80,2,40
2018,4,19,0,34.6,25,75,2,40
2018,4,20,0,34.7,25.5,68,2,40
2018,4,21,0,36.2,24.3,73,1,40
2018,4,22,1.4,35,23.3,74,2,70
2018,4,23,0,35.2,26.9,71,2,70
2018,4,24,0,36.1,24.3,74,3,70
2018,4,25,0,36.3,24.7,72,1,360
2018,4,26,0,36.3,24.7,80,1,40
