YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2018,1,1,0,31.5,21.9,72,3,40
2018,1,2,0,30.5,24,75,6,40
2018,1,3,0,30.2,23.4,81,2,20
2018,1,4,0,30.9,22,82,1,40
2018,1,5,0,32.5,23.7,85,1,360
2018,1,6,0,33,22.6,77,1,180
2018,1,7,0,33,23,80,2,360
2018,1,8,0,31.9,23.1,86,1,360
2018,1,9,5.2,33,23,85,1,360
2018,1,10,0,33.2,22.7,77,3,360
2018,1,11,0,32,22,70,3,40
2018,1,12,0,30,22.5,67,4,20
2018,1,13,0,29.3,21.6,68,4,40
2018,1,14,0,30.7,21.7,70,2,40
2018,1,15,0,31.7,21,74,2,360
2018,1,16,6.6,37.5,22.5,81,2,360
2018,1,17,0.2,27,22.7,94,1,360
2018,1,18,0.8,31.5,23.2,82,2,40
2018,1,19,0,31.8,22,76,2,360
2018,1,20,0,32.7,22,70,3,40
2018,1,21,0,31.2,21.5,83,1,360
2018,1,22,0,32.7,22,82,1,360
2018,1,23,0,33,22.8,81,1,360
2018,1,24,0,31.8,22.7,84,1,360
2018,1,25,0,33,22.3,76,1,360
2018,1,26,0,34,24.3,77,3,40
2018,1,27,0,29.2,23.5,82,1,40
2018,1,28,0,28.5,22.5,82,1,360
2018,1,29,0,32.2,23,79,1,360
2018,1,30,0,31.7,22,73,3,360
2018,1,31,0,32.8,22,76,2,360
2018,2,1,0,31.6,23,82,1,360
2018,2,2,0,32.8,22,75,2,360
2018,2,3,0,32,21,77,1,20
2018,2,4,-1,32,22,78,1,360
2018,2,5,0,30.3,20.6,81,2,360
2018,2,6,0,31,20.9,78,2,360
2018,2,7,0,30.3,21.3,75,1,360
2018,2,8,0,30.3,22,81,1,360
2018,2,9,0,31,22,81,1,360
2018,2,10,0,33.4,23.5,80,1,360
2018,2,11,0.4,32,24.2,81,1,360
2018,2,12,0,34,23.3,70,4,20
2018,2,13,0,30.4,22.5,72,4,70
2018,2,14,0,32.2,23.4,71,3,360
2018,2,15,0,33.8,23,80,1,360
2018,2,16,0,34.2,24,75,1,360
2018,2,17,0,34,23.5,77,1,360
2018,2,18,0,34.2,23,77,1,360
2018,2,19,0,34.2,20.7,75,1,360
2018,2,20,0,34.4,22.5,74,1,360
2018,2,21,0,34,22.5,72,1,360
2018,2,22,0,35,23.2,78,1,360
2018,2,23,0,34.2,23,75,1,110
2018,2,24,0,34.4,24,66,2,20
2018,2,25,0,31.9,22.3,75,1,360
2018,2,26,0,33.8,25,82,1,360
2018,2,27,0,34,23,76,1,360
2018,2,28,0,34.2,23.5,76,1,360
2018,3,1,0,35.2,24,73,2,360
2018,3,2,0,34,22.6,83,1,360
2018,3,3,0,35.2,24.2,73,2,360
2018,3,4,0,35.1,22,63,2,360
2018,3,5,0,35.8,22,71,1,360
2018,3,6,0,39,23.7,74,1,360
2018,3,7,0,33.8,23,69,1,360
2018,3,8,0,34.8,23.5,82,1,360
2018,3,9,0,33.3,23.8,80,2,70
2018,3,10,0,30.8,21,66,3,20
2018,3,11,0,31.9,21,65,3,30
2018,3,12,0,32.7,20.8,74,2,360
2018,3,13,0,33.4,22,71,1,360
2018,3,14,0,33.7,23.8,75,1,20
2018,3,15,0,33.8,22.5,75,1,360
2018,3,16,0,35.2,23.8,76,1,360
2018,3,17,0,34.6,22,72,1,360
2018,3,18,0,34.7,23,73,1,360
2018,3,19,0,35.8,22.6,74,1,360
2018,3,20,0,35.1,23.1,70,2,290
2018,3,21,0,35.1,23.1,72,2,320
2018,3,22,0,31,23.4,67,3,20
2018,3,23,0,32.3,22.7,74,2,40
2018,3,24,0,31,21.5,68,2,40
2018,3,25,0,33,21.5,64,1,140
2018,3,26,0,33,21.6,75,1,360
2018,3,27,0,34,22,63,1,360
2018,3,28,0,35,23,71,2,90
2018,3,29,0.2,34.6,23,75,1,360
2018,3,30,1.4,34.7,23.2,77,1,360
2018,3,31,0,31.7,23,81,5,360
2018,4,1,0,34,23.4,75,1,360
