Region,City,Flood_Hazard_Level,Landslide_Hazard_Level ,Storm_Surge_Hazard_Level
NCR,Caloocan ,1,1,1
NCR,Las Pinas,1,1,3
NCR,Makati,1,1,1
NCR,Malabon,2,1,3
NCR,Mandaluyong,1,1,1
NCR,Manila,1,1,3
NCR,Marikina ,3,1,1
NCR,Muntinlupa,2,1,1
NCR,Navotas,1,1,1
NCR,Paranaque ,1,1,2
NCR,Pasay,1,1,2
NCR,Pasig,1,1,1
NCR,Pateros,2,1,1
NCR,Quezon City,1,1,1
NCR,San Juan ,1,1,1
NCR,Taguig ,1,1,1
NCR,Valenzuela ,1,1,1
CALABARZON,Antipolo,1,1,1
CALABARZON,Bacoor,2,1,3
CALABARZON,Binan ,2,1,1
CALABARZON,Cabuyao,1,1,1
CALABARZON,Calamba ,3,1,1
CALABARZON,Carmona,2,1,1
CALABARZON,Cavite,1,1,3
CALABARZON,Dasmarinas,1,1,1
CALABARZON,General Trias,1,1,1
CALABARZON,Imus ,1,1,1
CALABARZON,Lipa,1,1,1
CALABARZON,Lucena,3,1,1
CALABARZON,Santa Rosa,2,1,1
CALABARZON,San Pablo,1,1,1
CALABARZON,San Pedro,2,1,1
CALABARZON,Santa Cruz ,1,1,1
CALABARZON,Santa Rosa,2,1,1
CALABARZON,Tagaytay,1,1,1
CALABARZON,Tanauan,2,1,1
CALABARZON,Tayabas,N/A,1,1
CALABARZON,Trece Martires,1,1,1
REGION III,Angeles,1,1,1
REGION III,Balanga ,2,1,2
REGION III,Cabanatuan,2,1,1
REGION III,Gapan,3,1,1
REGION III,Mabalacat,1,1,1
REGION III,Malolos,1,1,1
REGION III,Meycauayan,1,1,1
REGION III,Munoz,1,1,1
REGION III,Olongapo,2,1,3
REGION III,Palayan,1,1,1
REGION III,San Fernando,1,1,1
REGION III,San Jose,1,1,1
REGION III,San Jose Del Monte,1,1,1
REGION III,Tarlac City,1,1,1
