Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
14,00001,000464.7131,12,2021,47,0101,1
14,00002,000464.7131,12,2021,51,0101,1
14,00003,000579.1656,12,2021,41,0101,1
14,00004,000393.1768,12,2021,67,0101,1
14,00005,000464.7131,12,2021,45,"    ",2
14,00005,000605.4741,12,2021,06,"    "," "
14,00005,000605.4741,12,2021,04,"    "," "
14,00006,001116.6915,12,2021,30,0101,1
14,00006,000790.3916,12,2021,30,"    "," "
14,00006,001017.8254,12,2021,13,"    "," "
14,00007,000594.2216,12,2021,59,0101,1
14,00007,000400.2662,12,2021,55,0101,1
14,00007,000584.0577,12,2021,23,"    ",2
14,00008,000400.2662,12,2021,62,0101,1
14,00008,000790.3916,12,2021,33,0101,1
14,00008,001116.6915,12,2021,32,"    ",3
14,00009,000400.2662,12,2021,57,"    ",3
14,00010,000393.1768,12,2021,78,"    ",3
14,00011,000393.1768,12,2021,76,"    ",3
14,00011,000464.7131,12,2021,52,0101,1
14,00011,000707.1469,12,2021,47,0101,1
14,00011,000533.6105,12,2021,15,"    ",3
14,00011,000605.4741,12,2021,14,"    "," "
14,00011,000605.4741,12,2021,12,"    "," "
14,00011,000605.4741,12,2021,09,"    "," "
14,00012,000400.2662,12,2021,58,0122,1
14,00013,000464.7131,12,2021,45,2906,1
14,00013,000533.6105,12,2021,17,"    ",3
14,00013,000605.4741,12,2021,14,"    "," "
14,00013,000605.4741,12,2021,13,"    "," "
14,00013,000400.2662,12,2021,64,"    ",3
14,00014,000393.1768,12,2021,83,0101,1
14,00014,000627.1036,12,2021,43,0101,1
14,00015,000464.7131,12,2021,51,0101,1
14,00015,000707.1469,12,2021,49,"    ",3
14,00015,000584.0577,12,2021,15,"    ",3
14,00016,000393.1768,12,2021,66,0101,1
14,00016,000533.6105,12,2021,16,"    ",3
14,00017,000400.2662,12,2021,64,0101,1
14,00017,000594.2216,12,2021,60,0101,1
14,00018,000393.1768,12,2021,74,"    ",3
14,00018,000444.6320,12,2021,74,"    ",3
14,00018,000393.1768,12,2021,72,"    ",3
14,00018,000533.6105,12,2021,18,"    ",3
14,00018,000605.4741,12,2021,13,"    "," "
14,00019,000790.3916,12,2021,31,"    ",2
14,00019,000393.1768,12,2021,75,"    ",3
14,00019,000605.4741,12,2021,10,"    "," "
14,00020,000444.6320,12,2021,75,"    ",3
14,00020,000393.1768,12,2021,69,"    ",3
14,00020,000579.1656,12,2021,38,0101,1
14,00021,000400.2662,12,2021,59,0101,1
14,00021,000790.3916,12,2021,28,0101,1
14,00021,000584.0577,12,2021,24,"    ",3
14,00021,001017.8254,12,2021,05,"    "," "
14,00021,001017.8254,12,2021,02,"    "," "
14,00021,001017.8254,12,2021,00,"    "," "
14,00022,000393.1768,12,2021,66,"    ",3
14,00022,000579.1656,12,2021,37,"    "," "
14,00022,000627.1036,12,2021,41,0101,1
14,00022,000579.1656,12,2021,38,0101,1
14,00022,000584.0577,12,2021,15,"    ",3
14,00022,000605.4741,12,2021,09,"    "," "
14,00022,000605.4741,12,2021,03,"    "," "
14,00022,000579.1656,12,2021,38,0101,1
14,00022,000444.6320,12,2021,78,"    ",3
14,00022,001116.6915,12,2021,34,0101,1
14,00022,000790.3916,12,2021,34,0101,1
14,00022,000579.1656,12,2021,39,"    "," "
14,00022,000627.1036,12,2021,39,"    "," "
14,00023,000464.7131,12,2021,46,"    ",3
14,00024,000594.2216,12,2021,64,"    ",3
14,00024,000393.1768,12,2021,65,"    ",3
14,00024,001116.6915,12,2021,27,"    ",3
14,00024,000393.1768,12,2021,70,0101,1
14,00025,000790.3916,12,2021,31,0101,1
14,00025,001116.6915,12,2021,29,"    "," "
14,00025,000533.6105,12,2021,15,"    ",3
14,00025,001017.8254,12,2021,14,"    "," "
14,00025,001017.8254,12,2021,13,"    "," "
14,00026,000577.6062,12,2021,22,0108,1
14,00026,001208.7616,12,2021,34,"    ",3
14,00026,000577.6062,12,2021,18,0108,1
