Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001425.4421,02,2021,76,2802,1
01,00001,001306.5867,02,2021,37,2802,1
01,00001,001616.0422,02,2021,34,2802,1
01,00001,001616.0422,02,2021,25,2802,1
01,00002,001306.5867,02,2021,37,2802,1
01,00002,001363.5476,02,2021,31,2812,1
01,00002,001607.6975,02,2021,09,"    "," "
01,00002,001607.6975,02,2021,04,"    "," "
01,00002,001607.6975,02,2021,03,"    "," "
01,00003,001306.5867,02,2021,37,2802,1
01,00003,001377.7460,02,2021,36,"    "," "
01,00003,001288.4062,02,2021,18,"    ",3
01,00003,001804.2547,02,2021,13,"    "," "
01,00003,001525.1749,02,2021,67,2802,1
01,00003,001363.5476,02,2021,34,2802,1
01,00004,001377.7460,02,2021,35,2802,1
01,00004,001306.5867,02,2021,38,2802,1
01,00005,001425.4421,02,2021,58,"    ",3
01,00005,001525.1749,02,2021,60,"    "," "
01,00005,001377.7460,02,2021,36,2802,1
01,00005,001377.7460,02,2021,36,2802,1
01,00005,001616.0422,02,2021,33,5801,1
01,00006,001185.3703,02,2021,52,2812,1
01,00006,001616.0422,02,2021,26,"    ",3
01,00007,001616.0422,02,2021,33,2802,1
01,00007,001363.5476,02,2021,27,"    ",3
01,00007,001607.6975,02,2021,07,"    "," "
01,00007,001804.2547,02,2021,05,"    "," "
01,00007,001306.5867,02,2021,36,2802,1
01,00007,001377.7460,02,2021,36,2802,1
01,00007,001804.2547,02,2021,11,"    "," "
01,00007,001607.6975,02,2021,07,"    "," "
01,00007,001804.2547,02,2021,05,"    "," "
01,00007,001525.1749,02,2021,64,"    ",3
01,00007,001425.4421,02,2021,64,"    ",3
01,00008,001306.5867,02,2021,35,2802,1
01,00008,001363.5476,02,2021,29,"    ",3
01,00009,001306.5867,02,2021,35,2802,1
01,00009,001363.5476,02,2021,33,"    ",3
01,00009,001607.6975,02,2021,08,"    "," "
01,00009,001607.6975,02,2021,07,"    "," "
01,00010,001306.5867,02,2021,40,2802,1
01,00010,001363.5476,02,2021,33,"    "," "
01,00010,001607.6975,02,2021,13,"    "," "
01,00010,001804.2547,02,2021,11,"    "," "
01,00011,001306.2376,02,2021,51,2802,1
01,00011,001185.3703,02,2021,47,"    ",3
01,00011,001616.0422,02,2021,29,2802,1
01,00012,001377.7460,02,2021,36,2802,1
01,00012,001377.7460,02,2021,36,2802,1
01,00012,002071.2948,02,2021,18,2802,1
01,00013,001306.2376,02,2021,54,2802,1
01,00013,001185.3703,02,2021,51,2802,1
01,00013,002071.2948,02,2021,21,"    ",3
01,00014,001425.4421,02,2021,64,2802,1
01,00014,002071.2948,02,2021,23,"    ",3
01,00015,001616.0422,02,2021,32,2802,1
01,00015,001363.5476,02,2021,31,"    ",3
01,00015,001804.2547,02,2021,01,"    "," "
01,00015,001306.5867,02,2021,35,"    ",2
01,00015,001607.6975,02,2021,13,"    "," "
01,00015,001804.2547,02,2021,04,"    "," "
01,00016,001306.2376,02,2021,52,2802,1
01,00016,001185.3703,02,2021,54,"    ",3
01,00016,001363.5476,02,2021,26,2802,1
01,00016,001616.0422,02,2021,25,2802,1
01,00016,002071.2948,02,2021,22,2802,1
01,00016,001185.3703,02,2021,46,"    "," "
01,00016,001607.6975,02,2021,13,"    "," "
01,00016,001804.2547,02,2021,08,"    "," "
01,00017,001525.1749,02,2021,64,2802,1
