Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,000818.9376,06,2021,79,"    ",3
01,00001,001082.5520,06,2021,90,"    ",3
01,00001,001394.3166,06,2021,42,2802,1
01,00002,001522.8201,06,2021,58,2802,1
01,00002,001404.2404,06,2021,35,2802,1
01,00003,001082.5520,06,2021,66,2802,1
01,00003,001358.4436,06,2021,33,2802,1
01,00003,001366.1554,06,2021,48,2802,1
01,00004,001404.2404,06,2021,43,2802,1
01,00004,001358.4436,06,2021,33,2802,1
01,00005,001394.8896,06,2021,24,2802,1
01,00006,001366.1554,06,2021,49,2802,1
01,00006,001751.9128,06,2021,52,2802,1
01,00006,001305.0777,06,2021,21,2802,1
01,00006,001394.3166,06,2021,44,2802,1
01,00007,001404.2404,06,2021,40,2802,1
01,00007,001394.3166,06,2021,41,"    ",3
01,00007,002340.3479,06,2021,12,"    "," "
01,00008,001404.2404,06,2021,37,2802,1
01,00008,001394.3166,06,2021,36,2802,1
01,00008,001723.8898,06,2021,03,"    "," "
01,00008,001723.8898,06,2021,13,"    "," "
01,00008,001723.8898,06,2021,12,"    "," "
01,00009,000818.9376,06,2021,72,"    ",3
01,00009,001082.5520,06,2021,69,2802,1
01,00009,001404.2404,06,2021,35,2802,1
01,00009,001358.4436,06,2021,34,2802,1
01,00010,001404.2404,06,2021,40,2802,1
01,00010,001394.3166,06,2021,39,2802,1
01,00011,001522.8201,06,2021,55,2802,1
01,00011,001394.8896,06,2021,24,2802,1
01,00011,001305.0777,06,2021,20,"    ",3
01,00011,001358.4436,06,2021,27,"    ",3
01,00011,001723.8898,06,2021,05,"    "," "
01,00011,001723.8898,06,2021,00,"    "," "
01,00011,002340.3479,06,2021,10,"    "," "
01,00011,001723.8898,06,2021,09,"    "," "
01,00012,001622.3586,06,2021,29,2802,1
01,00012,001305.0777,06,2021,21,"    ",3
01,00012,001723.8898,06,2021,02,"    "," "
01,00013,001394.3166,06,2021,37,2802,1
01,00013,001404.2404,06,2021,40,"    "," "
01,00013,001305.0777,06,2021,17,2802,1
01,00013,001723.8898,06,2021,07,"    "," "
01,00014,000818.9376,06,2021,71,"    ",3
01,00014,001723.8898,06,2021,11,"    "," "
01,00015,001622.3586,06,2021,29,2802,1
01,00015,001358.4436,06,2021,29,2802,1
01,00015,002340.3479,06,2021,03,"    "," "
01,00015,001723.8898,06,2021,00,"    "," "
01,00016,000855.7681,06,2021,75,"    ",3
01,00017,001522.2932,06,2021,55,2805,1
01,00017,001830.7025,06,2021,50,2805,1
01,00017,001457.6227,06,2021,24,"    ",3
01,00017,001363.7716,06,2021,16,"    ",3
01,00017,001419.5376,06,2021,31,2805,1
01,00017,001830.7025,06,2021,53,2805,1
01,00017,001419.5376,06,2021,29,2820,1
01,00018,001522.2932,06,2021,63,2805,1
01,00018,001591.3067,06,2021,56,2805,1
01,00018,001695.3218,06,2021,25,2805,1
01,00018,001695.3218,06,2021,30,"    "," "
01,00018,001419.5376,06,2021,30,2817,1
01,00018,002445.6016,06,2021,02,"    "," "
01,00018,001695.3218,06,2021,28,2812,1
01,00018,001801.4192,06,2021,03,"    "," "
01,00019,001131.2382,06,2021,85,"    ",3
01,00020,001427.5962,06,2021,52,2805,1
01,00021,001419.5376,06,2021,25,2805,1
01,00021,001522.2932,06,2021,56,2805,1
01,00021,001830.7025,06,2021,45,"    "," "
01,00021,001457.6227,06,2021,17,2805,1
01,00021,001363.7716,06,2021,21,"    ",3
01,00021,001419.5376,06,2021,26,2805,1
01,00022,001830.7025,06,2021,52,2805,1
01,00023,001467.3941,06,2021,36,2805,1
01,00023,001457.0239,06,2021,39,2805,1
01,00023,001363.7716,06,2021,15,2805,1
01,00023,001801.4192,06,2021,14,2805," "
01,00023,001801.4192,06,2021,12,2805," "
01,00023,001695.3218,06,2021,30,2805,1
01,00024,001522.2932,06,2021,60,2805,1
01,00024,001591.3067,06,2021,61,2805,1
01,00024,001695.3218,06,2021,34,2805,1
01,00024,001695.3218,06,2021,30,2805,1
01,00024,001695.3218,06,2021,26,2805,1
01,00024,001457.6227,06,2021,21,2805,1
01,00024,001419.5376,06,2021,32,2805,1
01,00025,001467.3941,06,2021,42,2805,1
01,00025,001457.0239,06,2021,38,"    "," "
01,00025,001457.6227,06,2021,19,2805,1
01,00025,001457.6227,06,2021,17,2805,1
01,00025,001363.7716,06,2021,15,2805,1
01,00026,000855.7681,06,2021,84,"    ",3
01,00026,001427.5962,06,2021,48,2805,1
01,00026,001457.0239,06,2021,44,2805,1
01,00026,001457.6227,06,2021,24,2803,1
01,00026,001457.6227,06,2021,17,2805,1
01,00026,001801.4192,06,2021,12,2805," "
01,00027,000855.7681,06,2021,75,2805,1
01,00027,001131.2382,06,2021,76,2805,1
01,00027,001467.3941,06,2021,43,"    "," "
01,00027,001457.0239,06,2021,37,"    ",3
01,00027,001363.7716,06,2021,15,"    ",3
01,00027,002445.6016,06,2021,11,"    "," "
01,00028,001427.5962,06,2021,51,2805,1
01,00028,001830.7025,06,2021,51,2805,1
01,00028,001457.6227,06,2021,24,2816,1
01,00028,001363.7716,06,2021,23,2805,1
01,00028,001457.6227,06,2021,15,2805,1
01,00029,001467.3941,06,2021,36,2805,1
01,00029,001419.5376,06,2021,32,2805,1
01,00029,002445.6016,06,2021,12,2805," "
01,00029,001801.4192,06,2021,05,"    "," "
01,00030,001695.3218,06,2021,32,2816,1
01,00030,001419.5376,06,2021,30,2805,1
01,00031,001522.2932,06,2021,57,2816,1
01,00031,001591.3067,06,2021,58,"    ",3
01,00031,001695.3218,06,2021,28,2805,1
01,00031,001419.5376,06,2021,32,2805,1
01,00031,002445.6016,06,2021,00,"    "," "
01,00031,001131.2382,06,2021,77,"    ",3
01,00032,001522.2932,06,2021,56,2805,1
01,00032,001591.3067,06,2021,58,2805,1
01,00032,001457.6227,06,2021,19,2805,1
01,00033,001522.2932,06,2021,64,2805,1
01,00033,001591.3067,06,2021,59,2805,1
01,00033,001467.3941,06,2021,36,2805,1
01,00033,001419.5376,06,2021,34,"    "," "
01,00033,001801.4192,06,2021,07,"    "," "
01,00034,001467.3941,06,2021,39,2805,1
01,00034,001457.0239,06,2021,35,2805,1
01,00034,001457.6227,06,2021,15,2805,1
01,00034,001801.4192,06,2021,09,2805," "
01,00035,000855.7681,06,2021,66,2805,1
01,00035,001131.2382,06,2021,66,"    ",3
01,00036,001522.2932,06,2021,60,2805,1
01,00036,001591.3067,06,2021,57,2805,1
01,00036,001695.3218,06,2021,26,3314,1
01,00036,001467.3941,06,2021,37,2812,1
01,00036,001457.0239,06,2021,35,2805,1
01,00036,002445.6016,06,2021,02,"    "," "
