Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,002079.0096,03,2021,27,2812,1
01,00001,001441.6209,03,2021,25,"    ",3
01,00001,001348.7573,03,2021,09,"    "," "
01,00002,001647.6725,03,2021,64,2812,1
01,00002,001376.8927,03,2021,62,"    ",2
01,00002,002079.0096,03,2021,32,2812,1
01,00002,001276.7054,03,2021,23,2812,1
01,00002,001348.7573,03,2021,01,"    "," "
01,00003,002079.0096,03,2021,31,2812,1
01,00003,001441.6209,03,2021,27,"    ",2
01,00003,001348.7573,03,2021,06,"    "," "
01,00004,001653.3722,03,2021,41,2812,1
01,00004,001037.2493,03,2021,48,"    ",3
01,00004,001145.1036,03,2021,19,"    ",3
01,00004,001145.1036,03,2021,16,"    ",3
01,00005,001653.3722,03,2021,37,2812,1
01,00005,001441.6209,03,2021,31,2812,1
01,00005,001145.1036,03,2021,16,"    ",3
01,00005,001348.7573,03,2021,11,"    "," "
01,00006,001647.6725,03,2021,64,2812,1
01,00006,001037.2493,03,2021,53,"    ",3
01,00007,001376.8927,03,2021,62,"    ",3
01,00007,001132.6846,03,2021,50,"    "," "
01,00007,002079.0096,03,2021,30,2812,1
01,00007,001441.6209,03,2021,30,"    "," "
01,00007,001348.7573,03,2021,12,"    "," "
01,00007,001348.7573,03,2021,06,"    "," "
01,00008,001132.6846,03,2021,47,2812,1
01,00008,001276.7054,03,2021,21,2820,1
01,00008,002052.9160,03,2021,44,"    ",2
01,00008,001276.7054,03,2021,19,"    ",3
01,00008,001833.3399,03,2021,13,"    "," "
01,00008,001463.3740,03,2021,96,"    ",3
01,00009,001441.6209,03,2021,33,2812,1
01,00009,001276.7054,03,2021,15,2812,1
01,00009,001348.7573,03,2021,09,"    "," "
01,00009,001037.2493,03,2021,54,2812,1
01,00009,001441.6209,03,2021,31,2820,1
01,00009,002079.0096,03,2021,29,2812,1
01,00009,001441.6209,03,2021,25,2812,1
01,00010,001316.0996,03,2021,67,"    ",3
01,00010,001463.3740,03,2021,67,"    ",3
01,00010,001132.6846,03,2021,45,2812,1
01,00010,001145.1036,03,2021,17,"    ",3
01,00010,001833.3399,03,2021,13,"    "," "
01,00010,001653.3722,03,2021,43,2812,1
01,00010,001037.2493,03,2021,48,2812,1
01,00010,001145.1036,03,2021,19,"    ",3
01,00010,001276.7054,03,2021,16,"    ",3
01,00010,001833.3399,03,2021,10,"    "," "
01,00010,002052.9160,03,2021,36,"    ",3
01,00010,001348.7573,03,2021,13,"    "," "
01,00010,001833.3399,03,2021,01,"    "," "
01,00011,001463.3740,03,2021,95,"    ",3
01,00011,001037.2493,03,2021,54,2812,1
01,00011,001145.1036,03,2021,22,"    ",2
01,00011,001348.7573,03,2021,12,"    "," "
01,00011,001145.1036,03,2021,24,2812,1
01,00011,001276.7054,03,2021,24,2812,1
01,00011,001145.1036,03,2021,23,2812,1
01,00012,001132.6846,03,2021,49,2812,1
01,00012,001037.2493,03,2021,45,2812,1
01,00012,001145.1036,03,2021,18,2812,1
01,00012,001276.7054,03,2021,16,2812,1
01,00012,001833.3399,03,2021,12,"    "," "
01,00012,001463.3740,03,2021,69,"    ",3
01,00013,001647.6725,03,2021,62,2812,1
01,00013,001376.8927,03,2021,60,2812,1
01,00014,001463.3740,03,2021,65,2812,1
01,00014,001653.3722,03,2021,41,"    ",3
01,00014,001037.2493,03,2021,45,2812,1
01,00014,001145.1036,03,2021,18,"    ",3
01,00014,001348.7573,03,2021,14,"    "," "
01,00014,001276.7054,03,2021,16,"    ",3
01,00014,001276.7054,03,2021,23,"    ",3
01,00014,001145.1036,03,2021,21,"    ",3
01,00015,001463.3740,03,2021,67,2812,1
01,00015,001653.3722,03,2021,44,2812,1
01,00015,001653.3722,03,2021,39,2812,1
01,00015,001348.7573,03,2021,14,"    "," "
01,00015,001833.3399,03,2021,13,"    "," "
01,00016,001316.0996,03,2021,65,2812,1
01,00016,001376.8927,03,2021,60,2819,1
01,00016,001653.3722,03,2021,35,2812,1
01,00016,002052.9160,03,2021,35,2812,1
01,00016,001348.7573,03,2021,07,"    "," "
01,00016,001833.3399,03,2021,06,"    "," "
01,00017,001132.6846,03,2021,48,2812,1
01,00017,001037.2493,03,2021,47,2812,1
01,00017,001276.7054,03,2021,18,"    ",3
01,00017,001145.1036,03,2021,16,"    ",3
01,00017,001833.3399,03,2021,14,"    "," "
01,00017,001316.0996,03,2021,75,"    ",3
01,00017,001463.3740,03,2021,87,"    ",3
01,00017,001037.2493,03,2021,54,"    ",3
01,00017,001037.2493,03,2021,52,"    ",2
01,00017,001132.6846,03,2021,50,2812,1
01,00018,001653.3722,03,2021,39,2812,1
01,00018,001833.3399,03,2021,13,"    "," "
01,00018,001647.6725,03,2021,63,2812,1
01,00018,001376.8927,03,2021,59,"    ",2
01,00019,001316.0996,03,2021,65,2812,1
01,00019,001376.8927,03,2021,59,2812,1
01,00020,001122.5959,03,2021,50,2812,1
01,00020,001028.0106,03,2021,51,"    "," "
01,00020,001265.3340,03,2021,15,"    ",3
01,00021,001304.3773,03,2021,68,"    ",3
01,00022,001122.5959,03,2021,53,2812,1
01,00022,002060.4921,03,2021,26,2812,1
01,00023,001122.5959,03,2021,52,2812,1
01,00023,002034.6309,03,2021,40,"    "," "
01,00023,001265.3340,03,2021,19,"    ",3
01,00023,001265.3340,03,2021,17,"    ",3
01,00024,001304.3773,03,2021,65,2812,1
01,00024,002060.4921,03,2021,32,2812,1
01,00024,001428.7806,03,2021,32,"    ",3
01,00024,001817.0105,03,2021,06,"    "," "
01,00024,001336.7441,03,2021,03,"    "," "
01,00025,001450.3399,03,2021,72,2812,1
01,00025,001817.0105,03,2021,06,"    "," "
01,00026,001632.9968,03,2021,56,2812,1
01,00026,001028.0106,03,2021,46,2812,1
01,00026,001134.9043,03,2021,22,2812,1
01,00026,001265.3340,03,2021,16,2812,1
01,00026,001817.0105,03,2021,13,"    "," "
01,00027,001450.3399,03,2021,81,2812,1
01,00027,001364.6289,03,2021,62,2812,1
01,00027,001364.6289,03,2021,62,2812,1
01,00027,001632.9968,03,2021,55,2812,1
01,00027,001817.0105,03,2021,13,"    "," "
01,00028,001450.3399,03,2021,65,2812,1
01,00028,001304.3773,03,2021,73,"    ",3
01,00028,001134.9043,03,2021,17,"    ",3
01,00029,001122.5959,03,2021,49,2812,1
01,00029,001028.0106,03,2021,49,"    ",3
01,00029,002060.4921,03,2021,26,2812,1
01,00029,001134.9043,03,2021,20,2812,1
01,00029,001265.3340,03,2021,21,2812,1
01,00029,001336.7441,03,2021,02,"    "," "
01,00030,001122.5959,03,2021,54,2812,1
01,00030,001364.6289,03,2021,59,2812,1
01,00030,001134.9043,03,2021,20,"    ",3
01,00031,001122.5959,03,2021,53,2812,1
01,00031,001028.0106,03,2021,54,2812,1
01,00031,001428.7806,03,2021,29,2812,1
01,00031,002060.4921,03,2021,31,2812,1
01,00031,001428.7806,03,2021,33,2812,1
01,00031,001817.0105,03,2021,13,"    "," "
01,00031,001817.0105,03,2021,06,"    "," "
01,00032,001638.6458,03,2021,40,2812,1
01,00032,002034.6309,03,2021,37,"    ",3
01,00032,001134.9043,03,2021,16,"    ",3
01,00032,001265.3340,03,2021,15,"    ",3
01,00032,001336.7441,03,2021,05,"    "," "
01,00032,001638.6458,03,2021,37,2812,1
01,00033,001028.0106,03,2021,51,2812,1
01,00033,001134.9043,03,2021,20,2812,1
01,00033,001265.3340,03,2021,18,2812,1
01,00034,001122.5959,03,2021,51,2812,1
01,00034,001028.0106,03,2021,53,"    ",3
01,00034,001265.3340,03,2021,19,"    ",2
01,00034,001265.3340,03,2021,15,"    ",3
01,00035,001428.7806,03,2021,28,"    ",3
01,00035,002060.4921,03,2021,28,"    "," "
01,00035,001817.0105,03,2021,09,"    "," "
01,00035,001817.0105,03,2021,06,"    "," "
01,00035,001817.0105,03,2021,03,"    "," "
01,00036,001265.3340,03,2021,22,2812,1
01,00036,001134.9043,03,2021,22,2812,1
01,00036,001817.0105,03,2021,02,"    "," "
01,00037,001260.5327,03,2021,68,2812,1
01,00037,001318.7591,03,2021,59,2812,1
01,00037,001096.7563,03,2021,22,2812,1
01,00037,001222.8018,03,2021,20,"    ",3
01,00037,001222.8018,03,2021,22,2812,1
01,00037,001096.7563,03,2021,22,2812,1
01,00038,001583.5653,03,2021,37,2812,1
01,00038,001380.7544,03,2021,33,2812,1
01,00038,001291.8115,03,2021,04,"    "," "
01,00038,001291.8115,03,2021,11,"    "," "
01,00038,001755.9346,03,2021,10,"    "," "
01,00039,001583.5653,03,2021,44,2812,1
01,00039,001380.7544,03,2021,34,"    "," "
01,00040,001401.5890,03,2021,66,"    ",3
01,00040,001755.9346,03,2021,13,"    "," "
01,00041,001583.5653,03,2021,37,2812,1
01,00041,001966.2400,03,2021,40,"    ",3
01,00041,001291.8115,03,2021,13,"    "," "
01,00041,001291.8115,03,2021,02,"    "," "
01,00042,000993.4557,03,2021,45,2812,1
01,00042,001096.7563,03,2021,15,"    ",3
01,00042,001755.9346,03,2021,13,"    "," "
01,00043,001583.5653,03,2021,44,"    ",3
01,00043,000993.4557,03,2021,45,2812,1
01,00043,001222.8018,03,2021,23,2812,1
01,00043,001222.8018,03,2021,18,"    ",3
01,00044,001578.1062,03,2021,64,2812,1
01,00044,001401.5890,03,2021,65,2812,1
01,00045,001583.5653,03,2021,36,2802,1
01,00045,001966.2400,03,2021,37,2812,1
01,00046,001578.1062,03,2021,62,2812,1
01,00046,001318.7591,03,2021,59,"    ",3
01,00046,001380.7544,03,2021,31,2812,1
01,00046,001096.7563,03,2021,19,"    ",3
01,00046,001380.7544,03,2021,34,"    "," "
01,00046,001755.9346,03,2021,12,"    "," "
01,00046,001966.2400,03,2021,37,"    "," "
01,00046,001096.7563,03,2021,17,"    ",3
01,00047,001260.5327,03,2021,71,2812,1
01,00047,001318.7591,03,2021,63,2812,1
01,00047,001096.7563,03,2021,23,2820,1
01,00047,001096.7563,03,2021,20,"    ",3
01,00048,001084.8616,03,2021,45,2812,1
01,00048,000993.4557,03,2021,48,2812,1
01,00048,001222.8018,03,2021,23,2812,1
01,00048,001222.8018,03,2021,20,2816,1
01,00048,001222.8018,03,2021,18,2812,1
01,00049,001578.1062,03,2021,58,2812,1
01,00049,001318.7591,03,2021,55,2812,1
01,00049,001991.2319,03,2021,27,2812,1
01,00049,001222.8018,03,2021,23,2812,1
01,00049,001222.8018,03,2021,17,2812,1
01,00049,001260.5327,03,2021,94,"    ",3
01,00050,001583.5653,03,2021,39,2812,1
01,00050,001966.2400,03,2021,38,"    "," "
01,00050,001222.8018,03,2021,19,"    ",3
01,00050,001222.8018,03,2021,15,"    ",3
01,00051,001096.7563,03,2021,24,2812,1
01,00052,002064.2797,03,2021,28,2813,1
01,00052,001431.4070,03,2021,26,2813,1
01,00052,001820.3506,03,2021,00,"    "," "
01,00053,001635.9987,03,2021,60,2813,1
01,00053,001124.6595,03,2021,45,2813,1
01,00054,001124.6595,03,2021,52,2813,1
01,00054,001029.9003,03,2021,50,2813,1
01,00054,001339.2013,03,2021,10,"    "," "
01,00055,001367.1374,03,2021,63,2813,1
01,00055,001431.4070,03,2021,32,2813,1
01,00055,001431.4070,03,2021,30,2813,1
01,00056,002064.2797,03,2021,30,2813,1
01,00056,001431.4070,03,2021,33,2813,1
01,00056,001339.2013,03,2021,09,"    "," "
01,00056,001339.2013,03,2021,06,"    "," "
01,00056,001339.2013,03,2021,04,"    "," "
01,00057,001635.9987,03,2021,56,2813,1
01,00057,001267.6599,03,2021,24,2813,1
01,00057,002064.2797,03,2021,28,2813,1
01,00058,001306.7750,03,2021,74,2813,1
01,00058,001453.0059,03,2021,68,2813,1
01,00058,001820.3506,03,2021,10,"    "," "
01,00059,001641.6580,03,2021,39,2813,1
01,00059,002038.3710,03,2021,40,2813,1
01,00060,001124.6595,03,2021,48,2813,1
01,00060,001029.9003,03,2021,49,"    "," "
01,00060,002064.2797,03,2021,26,"    ",3
01,00060,001431.4070,03,2021,26,2813,1
01,00060,001267.6599,03,2021,21,2813,1
01,00061,001641.6580,03,2021,41,2813,1
01,00061,001029.9003,03,2021,48,2813,1
01,00061,001136.9906,03,2021,18,2813,1
01,00061,001267.6599,03,2021,16,2813,1
01,00061,001820.3506,03,2021,14,2813," "
01,00062,001367.1374,03,2021,57,2813,1
01,00063,001641.6580,03,2021,42,2813,1
01,00063,002038.3710,03,2021,37,2813,1
01,00063,001339.2013,03,2021,14,"    "," "
01,00063,001820.3506,03,2021,07,"    "," "
01,00064,001635.9987,03,2021,62,2813,1
01,00064,001367.1374,03,2021,57,2813,1
01,00064,001820.3506,03,2021,12,"    "," "
01,00064,001267.6599,03,2021,17,2813,1
01,00064,001339.2013,03,2021,14,"    "," "
01,00065,001124.6595,03,2021,45,2813,1
01,00065,001029.9003,03,2021,45,"    "," "
01,00065,001267.6599,03,2021,23,2805,1
01,00065,001136.9906,03,2021,21,2813,1
01,00065,001136.9906,03,2021,19,"    ",3
01,00066,001306.7750,03,2021,87,"    ",3
01,00066,001124.6595,03,2021,51,2813,1
01,00066,001029.9003,03,2021,51,2813,1
01,00066,001820.3506,03,2021,12,"    "," "
01,00067,001641.6580,03,2021,35,2813,1
01,00067,001431.4070,03,2021,29,"    ",2
01,00067,001339.2013,03,2021,11,"    "," "
01,00067,001339.2013,03,2021,09,"    "," "
01,00068,002064.2797,03,2021,32,2813,1
01,00068,001431.4070,03,2021,31,2813,1
01,00068,001339.2013,03,2021,05,"    "," "
01,00068,001339.2013,03,2021,01,"    "," "
01,00069,001124.6595,03,2021,54,2813,1
01,00069,001029.9003,03,2021,48,2813,1
01,00069,001136.9906,03,2021,20,2813,1
01,00069,001267.6599,03,2021,17,2813,1
01,00069,001820.3506,03,2021,12,"    "," "
01,00070,001015.7274,03,2021,54,2817,1
01,00070,001411.7087,03,2021,31,2817,1
01,00070,001795.2999,03,2021,10,"    "," "
01,00070,001320.7719,03,2021,09,"    "," "
01,00070,001320.7719,03,2021,07,"    "," "
01,00070,001320.7719,03,2021,08,"    "," "
01,00070,001795.2999,03,2021,06,"    "," "
01,00071,001411.7087,03,2021,29,"    ",2
01,00071,001288.7919,03,2021,72,2817,1
01,00071,001320.7719,03,2021,11,"    "," "
01,00072,001109.1825,03,2021,50,2817,1
01,00072,002010.3200,03,2021,39,"    ",2
01,00072,001121.3439,03,2021,19,"    ",3
01,00072,001250.2151,03,2021,15,"    ",3
