Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001317.8426,09,2021,50,2803,1
01,00001,001437.9431,09,2021,46,2803,1
01,00001,001571.6464,09,2021,18,"    ",3
01,00002,001486.4394,09,2021,44,2803,1
01,00002,001571.6464,09,2021,24,2803,1
01,00002,001571.6464,09,2021,20,"    ",3
01,00003,001317.8426,09,2021,47,2803,1
01,00003,001486.4394,09,2021,44,2803,1
01,00003,001571.6464,09,2021,22,2803,1
01,00004,001127.0896,09,2021,39,2803,1
01,00004,001486.4394,09,2021,38,2803,1
01,00004,001261.5139,09,2021,17,2803,1
01,00004,002018.9681,09,2021,13,2803," "
01,00004,001423.4455,09,2021,03,"    "," "
01,00005,002960.6086,09,2021,32,2803,1
01,00005,002402.7484,09,2021,28,2803,1
01,00005,002018.9681,09,2021,09,"    "," "
01,00006,001086.0736,09,2021,84,"    ",3
01,00006,001086.0736,09,2021,66,"    ",3
01,00007,001127.0896,09,2021,40,"    ",3
01,00008,001796.3616,09,2021,55,2803,1
01,00008,001437.9431,09,2021,45,2803,1
01,00008,001571.6464,09,2021,17,2803,1
01,00008,001423.4455,09,2021,08,2803," "
01,00008,001423.4455,09,2021,07,2803," "
01,00009,001796.3616,09,2021,64,2803,1
01,00010,002146.3126,09,2021,57,2803,1
01,00011,001796.3616,09,2021,63,2803,1
01,00011,002146.3126,09,2021,64,2803,1
01,00011,001127.0896,09,2021,41,2803,1
01,00011,001486.4394,09,2021,41,"    "," "
01,00011,002018.9681,09,2021,12,2803," "
01,00011,002018.9681,09,2021,09,2803," "
01,00011,002018.9681,09,2021,08,2803," "
01,00012,001317.8426,09,2021,46,2803,1
01,00012,001437.9431,09,2021,48,2803,1
01,00013,001796.3616,09,2021,58,2803,1
01,00013,001437.9431,09,2021,54,2803,1
01,00013,002960.6086,09,2021,32,2803,1
01,00013,002402.7484,09,2021,31,2812,1
01,00013,002018.9681,09,2021,00,"    "," "
01,00014,001086.0736,09,2021,83,"    ",3
01,00014,001317.8426,09,2021,47,2812,1
01,00014,001127.0896,09,2021,42,2803,1
01,00014,002402.7484,09,2021,32,2803,1
01,00014,001423.4455,09,2021,11,2803," "
01,00014,001423.4455,09,2021,08,2803," "
01,00014,001423.4455,09,2021,04,"    "," "
01,00014,001423.4455,09,2021,01,"    "," "
01,00015,001086.0736,09,2021,76,"    ",3
01,00015,001437.9431,09,2021,53,"    ",3
01,00015,001437.9431,09,2021,48,"    ",3
01,00016,002107.2235,09,2021,58,2805,1
01,00016,002906.6893,09,2021,25,2805,1
01,00016,001543.0232,09,2021,18,2805,1
01,00016,001397.5214,09,2021,00,"    "," "
01,00017,001106.5628,09,2021,43,2805,1
01,00017,001459.3680,09,2021,42,2805,1
01,00017,001982.1982,09,2021,12,2805," "
01,00017,001982.1982,09,2021,02,"    "," "
01,00018,001293.8417,09,2021,49,2805,1
01,00018,001459.3680,09,2021,43,2805,1
01,00019,001106.5628,09,2021,38,2805,1
01,00019,001459.3680,09,2021,38,2805,1
01,00019,001397.5214,09,2021,14,"    "," "
01,00019,001982.1982,09,2021,12,"    "," "
01,00019,001397.5214,09,2021,08,"    "," "
01,00020,001065.4571,09,2021,66,2805,1
01,00020,001066.2938,09,2021,66,2805,1
01,00021,001293.8417,09,2021,54,2805,1
01,00021,001411.7549,09,2021,49,2805,1
01,00021,001238.5389,09,2021,23,2812,1
01,00021,001238.5389,09,2021,20,2805,1
01,00021,001397.5214,09,2021,12,2805," "
01,00021,001238.5389,09,2021,22,2805,1
01,00021,001543.0232,09,2021,20,2805,1
01,00021,001982.1982,09,2021,03,"    "," "
01,00022,001066.2938,09,2021,75,"    ",3
01,00023,002107.2235,09,2021,63,2805,1
01,00023,001459.3680,09,2021,40,2805,1
01,00023,001106.5628,09,2021,35,"    "," "
01,00023,001459.3680,09,2021,35,"    ",3
01,00023,001982.1982,09,2021,12,"    "," "
01,00023,001397.5214,09,2021,10,"    "," "
01,00023,001397.5214,09,2021,08,"    "," "
01,00023,001238.5389,09,2021,18,"    ",3
01,00024,001065.4571,09,2021,72,2817,1
