Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001123.6437,08,2022,68,"    ",3
01,00001,001059.7259,08,2022,60,2806,1
01,00001,002956.7991,08,2022,07,"    "," "
01,00001,001624.6358,08,2022,21,2806,1
01,00002,001523.5876,08,2022,52,2806,1
01,00003,001123.6437,08,2022,72,2806,1
01,00003,001036.1555,08,2022,73,2806,1
01,00003,001856.2689,08,2022,15,2806,1
01,00003,002956.7991,08,2022,13,2707," "
01,00004,001637.6354,08,2022,54,2806,1
01,00004,001523.5876,08,2022,54,2806,1
01,00004,001752.8398,08,2022,27,2806,1
01,00004,001624.6358,08,2022,24,2806,1
01,00004,001624.6358,08,2022,19,2806,1
01,00005,001699.4329,08,2022,41,2806,1
01,00005,001941.5795,08,2022,34,2806,1
01,00005,003292.9968,08,2022,11,2806," "
01,00006,001036.1555,08,2022,84,"    ",3
01,00007,001637.6354,08,2022,51,2806,1
01,00007,001523.5876,08,2022,49,2806,1
01,00007,001856.2689,08,2022,19,2806,1
01,00008,001637.6354,08,2022,46,2806,1
01,00008,001941.5795,08,2022,28,2812,1
01,00008,003292.9968,08,2022,12,"    "," "
01,00008,003292.9968,08,2022,03,"    "," "
01,00009,001699.4329,08,2022,41,2806,1
01,00009,002512.5870,08,2022,38,2806,1
01,00009,003292.9968,08,2022,14,2806," "
01,00009,002956.7991,08,2022,06,2806," "
01,00010,001637.6354,08,2022,54,2806,1
01,00010,001523.5876,08,2022,50,2806,1
01,00010,001752.8398,08,2022,32,2806,1
01,00010,001856.2689,08,2022,23,"    ",3
01,00010,001624.6358,08,2022,24,2806,1
01,00010,003292.9968,08,2022,00,"    "," "
01,00011,001123.6437,08,2022,84,"    ",3
01,00012,001752.8398,08,2022,30,2806,1
01,00012,001941.5795,08,2022,26,2806,1
01,00012,003292.9968,08,2022,03,"    "," "
01,00012,001856.2689,08,2022,17,2806,1
01,00013,001036.1555,08,2022,77,2806,1
01,00013,001699.4329,08,2022,42,2806,1
01,00014,001699.4329,08,2022,37,2806,1
01,00015,001625.1977,08,2022,51,2808,1
01,00015,001512.0161,08,2022,46,2808,1
01,00015,001926.8334,08,2022,27,2808,1
01,00015,001612.2968,08,2022,24,2808,1
01,00015,001842.1706,08,2022,20,2808,1
01,00015,003267.9868,08,2022,08,2808," "
01,00015,001686.5259,08,2022,40,2808,1
01,00016,001686.5259,08,2022,43,2805,1
01,00016,002493.5041,08,2022,40,2808,1
01,00016,001842.1706,08,2022,15,2808,1
01,00016,003267.9868,08,2022,08,2808," "
01,00017,001115.1097,08,2022,68,"    ",3
01,00017,001051.6773,08,2022,62,"    ",3
01,00018,001686.5259,08,2022,35,2808,1
01,00018,001926.8334,08,2022,34,2808,1
01,00018,002934.3424,08,2022,11,"    "," "
01,00018,003267.9868,08,2022,10,"    "," "
01,00018,001766.8195,08,2022,62,2808,1
01,00018,001051.6773,08,2022,58,"    ",3
01,00019,001686.5259,08,2022,37,2808,1
01,00019,002493.5041,08,2022,36,2808,1
01,00019,003267.9868,08,2022,09,"    "," "
01,00019,002934.3424,08,2022,07,"    "," "
01,00020,001115.1097,08,2022,70,2808,1
01,00020,001686.5259,08,2022,44,2808,1
01,00021,001739.5271,08,2022,33,2805,1
01,00021,001926.8334,08,2022,32,2808,1
01,00021,001842.1706,08,2022,15,2808,1
