Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001041.8071,05,2022,58,2804,1
01,00001,001041.8071,05,2022,56,2804,1
01,00001,001601.8507,05,2022,54,2804,1
01,00002,001492.7849,05,2022,51,2804,1
01,00002,001080.4353,05,2022,22,2804,1
01,00002,001080.4353,05,2022,20,2804,1
01,00002,001080.4353,05,2022,17,2804,1
01,00002,001080.4353,05,2022,15,2804,1
01,00003,001041.8071,05,2022,57,2804,1
01,00003,001492.7849,05,2022,54,2804,1
01,00003,002133.2479,05,2022,24,2804,1
01,00003,001727.0990,05,2022,28,2804,1
01,00003,001508.6324,05,2022,26,"    ",3
01,00003,001919.5923,05,2022,02,"    "," "
01,00003,001919.5923,05,2022,00,"    "," "
01,00004,001080.4353,05,2022,24,2804,1
01,00004,001080.4353,05,2022,21,"    ",3
01,00004,001508.6324,05,2022,25,2804,1
01,00004,001041.8071,05,2022,58,"    "," "
01,00004,001492.7849,05,2022,51,"    "," "
01,00005,001041.8071,05,2022,57,2804,1
01,00005,001492.7849,05,2022,48,2804,1
01,00005,001080.4353,05,2022,19,2804,1
01,00005,002133.2479,05,2022,17,2804,1
01,00005,001992.5815,05,2022,09,2804," "
01,00006,001041.8071,05,2022,62,2804,1
01,00006,001276.0657,05,2022,60,2804,1
01,00006,001992.5815,05,2022,12,2804," "
01,00007,001601.8507,05,2022,53,2804,1
01,00007,001276.0657,05,2022,55,2804,1
01,00007,001727.0990,05,2022,25,2804,1
01,00007,001508.6324,05,2022,31,"    "," "
01,00007,001727.0990,05,2022,31,2804,1
01,00007,001919.5923,05,2022,02,"    "," "
01,00008,001180.5118,05,2022,69,2804,1
01,00008,001571.9320,05,2022,43,2804,1
01,00008,001626.4540,05,2022,42,2804,1
01,00008,001992.5815,05,2022,11,2804," "
01,00008,001992.5815,05,2022,09,2804," "
01,00009,002597.8402,05,2022,67,2804,1
01,00009,001276.0657,05,2022,56,"    ",3
01,00009,001727.0990,05,2022,30,2804,1
01,00009,001508.6324,05,2022,26,2804,1
01,00010,001727.0990,05,2022,33,2804,1
01,00010,001508.6324,05,2022,31,"    ",3
01,00010,001992.5815,05,2022,11,"    "," "
01,00010,001992.5815,05,2022,09,"    "," "
01,00010,001919.5923,05,2022,08,"    "," "
01,00010,001919.5923,05,2022,01,"    "," "
01,00011,001148.1803,05,2022,86,"    ",3
01,00011,001050.8448,05,2022,23,2804,1
01,00012,001148.1803,05,2022,76,2804,1
01,00012,001557.9798,05,2022,47,2804,1
01,00013,001241.1172,05,2022,55,2804,1
01,00013,001528.8805,05,2022,35,"    "," "
01,00013,001467.3145,05,2022,33,2804,1
01,00013,001679.7979,05,2022,32,2804,1
01,00013,001050.8448,05,2022,22,"    ",3
01,00013,001938.0093,05,2022,10,"    "," "
01,00014,001013.2745,05,2022,60,2804,1
01,00014,001241.1172,05,2022,55,2804,1
01,00014,001679.7979,05,2022,26,2804,1
01,00014,001050.8448,05,2022,19,2804,1
01,00014,002074.8233,05,2022,16,2804,1
01,00014,001938.0093,05,2022,13,"    "," "
01,00014,001528.8805,05,2022,36,"    "," "
01,00015,001013.2745,05,2022,60,2804,1
01,00016,001013.2745,05,2022,59,2804,1
01,00016,001451.9011,05,2022,52,2804,1
01,00016,001467.3145,05,2022,32,2804,1
01,00016,002074.8233,05,2022,23,2804,1
01,00016,002074.8233,05,2022,23,2804,1
01,00016,001938.0093,05,2022,03,"    "," "
01,00016,001867.0192,05,2022,06,"    "," "
01,00016,001938.0093,05,2022,07,"    "," "
01,00017,002526.6915,05,2022,79,"    ",3
01,00017,001148.1803,05,2022,80,"    ",3
01,00017,001148.1803,05,2022,65,2804,1
01,00018,001557.9798,05,2022,50,2804,1
01,00018,001451.9011,05,2022,50,"    ",3
01,00018,001467.3145,05,2022,28,"    "," "
01,00018,001528.8805,05,2022,42,"    ",2
01,00018,001467.3145,05,2022,30,"    ",2
01,00018,001867.0192,05,2022,09,"    "," "
01,00018,001938.0093,05,2022,00,"    "," "
01,00018,001557.9798,05,2022,49,"    "," "
01,00018,001451.9011,05,2022,47,2804,1
01,00018,001050.8448,05,2022,20,"    ",3
01,00018,001451.9011,05,2022,52,"    ",3
01,00018,002074.8233,05,2022,24,"    ",3
01,00019,001013.2745,05,2022,63,2810,1
01,00019,001241.1172,05,2022,60,"    ",3
01,00019,001528.8805,05,2022,37,"    "," "
01,00019,001581.9093,05,2022,35,"    ",3
01,00019,001867.0192,05,2022,07,"    "," "
01,00019,001867.0192,05,2022,05,"    "," "
01,00020,001528.8805,05,2022,35,2804,1
01,00021,001241.1172,05,2022,64,"    ",3
01,00021,001557.9798,05,2022,45,2804,1
01,00022,001050.8448,05,2022,22,"    ",3
01,00023,001557.9798,05,2022,48,2804,1
01,00023,001581.9093,05,2022,43,2804,1
01,00023,001679.7979,05,2022,27,2804,1
01,00023,002074.8233,05,2022,19,"    ",3
01,00023,002074.8233,05,2022,15,"    ",3
01,00024,001148.1803,05,2022,65,2804,1
01,00024,001557.9798,05,2022,45,2804,1
01,00024,001528.8805,05,2022,40,2804,1
01,00024,001581.9093,05,2022,42,2804,1
01,00025,001557.9798,05,2022,54,2804,1
01,00025,001451.9011,05,2022,52,"    ",3
01,00025,001679.7979,05,2022,34,2804,1
01,00025,001467.3145,05,2022,27,2804,1
01,00025,001867.0192,05,2022,04,"    "," "
01,00026,001528.8805,05,2022,39,2804,1
01,00026,001467.3145,05,2022,30,2804,1
01,00026,001867.0192,05,2022,12,"    "," "
01,00026,001938.0093,05,2022,06,"    "," "
01,00026,001938.0093,05,2022,03,"    "," "
01,00027,001183.3042,05,2022,92,"    ",3
01,00028,001279.0841,05,2022,58,2805,1
01,00028,001731.1844,05,2022,32,"    ",3
01,00028,001731.1844,05,2022,28,"    "," "
01,00029,001044.2715,05,2022,60,2805,1
01,00029,001044.2715,05,2022,62,2805,1
01,00029,001605.6398,05,2022,48,2805,1
01,00029,001630.3013,05,2022,44,2805,1
01,00029,001997.2948,05,2022,12,2805," "
01,00029,001496.3160,05,2022,52,"    "," "
01,00030,001044.2715,05,2022,63,2805,1
01,00030,001496.3160,05,2022,53,2805,1
01,00030,001731.1844,05,2022,32,2805,1
01,00030,001731.1844,05,2022,30,"    "," "
01,00030,001512.2010,05,2022,29,"    ",3
01,00030,001924.1330,05,2022,01,"    "," "
01,00031,001044.2715,05,2022,64,2805,1
01,00031,001183.3042,05,2022,66,2805,1
01,00031,001731.1844,05,2022,31,"    "," "
01,00031,001512.2010,05,2022,34,2805,1
01,00031,001731.1844,05,2022,28,"    "," "
01,00031,002138.2940,05,2022,23,2805,1
01,00031,001997.2948,05,2022,11,2805," "
01,00032,001279.0841,05,2022,56,2805,1
01,00032,001575.6504,05,2022,35,2818,1
01,00033,001183.3042,05,2022,69,"    ",3
01,00034,001605.6398,05,2022,46,2805,1
01,00034,001279.0841,05,2022,55,2805,1
01,00034,001082.9911,05,2022,23,2805,1
01,00034,001082.9911,05,2022,19,2805,1
01,00034,001082.9911,05,2022,16,2805,1
01,00035,001496.3160,05,2022,47,2805,1
01,00035,001082.9911,05,2022,18,2805,1
01,00035,002138.2940,05,2022,17,"    ",3
01,00035,001082.9911,05,2022,15,"    ",3
01,00036,001575.6504,05,2022,40,2805,1
01,00036,001630.3013,05,2022,41,"    "," "
01,00036,001997.2948,05,2022,12,"    "," "
01,00037,001575.6504,05,2022,44,2805,1
01,00037,001630.3013,05,2022,42,2805,1
01,00037,001997.2948,05,2022,14,"    "," "
01,00037,001924.1330,05,2022,06,"    "," "
01,00037,001997.2948,05,2022,05,"    "," "
01,00038,001044.2715,05,2022,58,2805,1
01,00038,001279.0841,05,2022,57,"    ",3
01,00038,001512.2010,05,2022,30,"    "," "
01,00039,001512.2010,05,2022,32,2805,1
01,00039,001997.2948,05,2022,04,"    "," "
01,00039,001924.1330,05,2022,10,"    "," "
01,00040,001605.6398,05,2022,50,2805,1
01,00040,001630.3013,05,2022,43,2805,1
01,00040,002138.2940,05,2022,19,2805,1
01,00040,002138.2940,05,2022,17,2805,1
01,00040,001082.9911,05,2022,16,"    ",3
01,00040,001924.1330,05,2022,13,"    "," "
01,00040,001924.1330,05,2022,12,"    "," "
01,00041,001630.3013,05,2022,37,2805,1
01,00041,001605.6398,05,2022,45,2805,1
01,00042,001512.2010,05,2022,27,2820,1
01,00043,001082.9911,05,2022,20,"    ",3
01,00043,001082.9911,05,2022,20,"    ",3
01,00043,001082.9911,05,2022,20,"    ",3
01,00043,001082.9911,05,2022,20,"    ",3
01,00043,001082.9911,05,2022,20,"    ",3
01,00043,002138.2940,05,2022,19,2805,1
