Region,"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
01,00001,001440.4403,11,2023,67,2802,1
01,00001,001000.8062,11,2023,56,2802,1
01,00001,001486.1529,11,2023,28,2816,1
01,00001,001486.1529,11,2023,28,"    ",2
01,00001,001486.1529,11,2023,25,2802,1
01,00002,001050.6928,11,2023,62,2802,1
01,00002,001000.8062,11,2023,59,2802,1
01,00003,002639.8935,11,2023,39,2802,1
01,00003,002055.3174,11,2023,35,2802,1
01,00003,001960.2277,11,2023,10,"    "," "
01,00003,001960.2277,11,2023,05,"    "," "
01,00004,001050.6928,11,2023,55,2802,1
01,00004,001000.8062,11,2023,57,"    ",3
01,00004,001735.5512,11,2023,27,"    ",2
01,00004,001486.1529,11,2023,25,"    ",3
01,00005,001470.4404,11,2023,66,"    ",3
01,00005,002639.8935,11,2023,44,2802,1
01,00005,001486.1529,11,2023,31,2802,1
01,00005,001735.5512,11,2023,31,2802,1
01,00005,001960.2277,11,2023,08,"    "," "
01,00005,001960.2277,11,2023,03,"    "," "
01,00005,001470.4404,11,2023,86,"    ",3
01,00005,002436.3002,11,2023,07,"    "," "
01,00006,001440.4403,11,2023,69,"    ",3
01,00006,001000.8062,11,2023,60,2802,1
01,00006,001660.9082,11,2023,21,"    ",3
01,00007,002421.8186,11,2023,51,2802,1
01,00007,001604.7835,11,2023,53,2802,1
01,00007,001960.2277,11,2023,14,"    "," "
01,00007,001960.2277,11,2023,11,"    "," "
01,00007,002421.8186,11,2023,49,2802,1
01,00007,001404.0984,11,2023,17,"    ",3
01,00008,001486.1529,11,2023,26,2812,1
01,00008,001660.9082,11,2023,17,"    ",3
01,00008,001960.2277,11,2023,07,"    "," "
01,00008,002055.3174,11,2023,40,"    "," "
01,00009,002639.8935,11,2023,35,2802,1
01,00009,002055.3174,11,2023,35,2802,1
01,00009,001960.2277,11,2023,11,"    "," "
01,00009,002436.3002,11,2023,07,"    "," "
01,00010,001000.8062,11,2023,57,2802,1
01,00010,001486.1529,11,2023,31,2802,1
01,00010,001735.5512,11,2023,31,2802,1
01,00010,001960.2277,11,2023,01,"    "," "
01,00011,001470.4404,11,2023,72,"    ",3
01,00011,002421.8186,11,2023,45,2812,1
01,00011,002055.3174,11,2023,42,3906,1
01,00011,001960.2277,11,2023,10,"    "," "
01,00012,001735.5512,11,2023,33,2820,1
01,00012,001960.2277,11,2023,09,"    "," "
01,00012,001960.2277,11,2023,10,"    "," "
01,00012,001050.6928,11,2023,61,"    ",3
01,00012,001486.1529,11,2023,29,"    ",2
01,00013,002659.7883,11,2023,38,2805,1
01,00013,002070.8067,11,2023,38,2805,1
01,00013,002454.6606,11,2023,01,"    "," "
01,00013,002454.6606,11,2023,14,"    "," "
01,00013,002454.6606,11,2023,10,"    "," "
01,00014,001058.6110,11,2023,57,2805,1
01,00014,001008.3485,11,2023,58,2805,1
01,00014,001748.6307,11,2023,34,2805,1
01,00014,001497.3528,11,2023,30,2805,1
01,00014,001748.6307,11,2023,27,2805,1
01,00014,002454.6606,11,2023,05,"    "," "
01,00015,001414.6800,11,2023,20,"    ",3
01,00016,002659.7883,11,2023,40,2805,1
01,00016,001616.8775,11,2023,52,2805,1
01,00016,001414.6800,11,2023,15,"    ",3
01,00017,001748.6307,11,2023,33,2805,1
01,00017,001414.6800,11,2023,22,"    ",3
01,00018,002659.7883,11,2023,36,2805,1
01,00019,001451.2957,11,2023,71,"    ",3
01,00019,002070.8067,11,2023,43,2805,1
01,00019,001414.6800,11,2023,21,"    ",3
01,00019,002454.6606,11,2023,12,"    "," "
01,00020,001673.4252,11,2023,20,"    ",3
01,00021,001748.6307,11,2023,30,2805,1
01,00022,001008.3485,11,2023,58,2805,1
01,00022,001673.4252,11,2023,16,"    ",3
01,00023,001481.5220,11,2023,71,"    ",3
01,00023,002440.0699,11,2023,45,2805,1
01,00023,001414.6800,11,2023,20,2805,1
01,00023,001975.0004,11,2023,14,"    "," "
