"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
000001,001368.0227,08,2024,43,2809,1
000001,001804.6674,08,2024,10,"    "," "
000001,001251.5455,08,2024,44,"    "," "
000002,001088.9678,08,2024,59,2809,1
000002,001368.0227,08,2024,35,2809,1
000003,001088.9678,08,2024,64,2809,1
000003,001152.6522,08,2024,61,"    ",3
000003,001497.1043,08,2024,16,"    ",3
000003,001355.5357,08,2024,12,"    "," "
000003,001368.0227,08,2024,37,"    "," "
000003,001251.5455,08,2024,37,"    "," "
000004,001251.5455,08,2024,41,2809,1
000005,001088.9678,08,2024,58,2809,1
000005,001239.2101,08,2024,49,2809,1
000005,001324.1569,08,2024,27,2809,1
000005,001794.4253,08,2024,22,2821,1
000005,001497.1043,08,2024,20,2809,1
000005,001497.1043,08,2024,19,2809,1
000005,001355.5357,08,2024,13,"    "," "
000005,001890.5188,08,2024,65,"    ",3
000005,001454.9817,08,2024,25,"    "," "
000006,001625.6347,08,2024,52,2809,1
000006,001251.5455,08,2024,35,"    ",3
000006,001454.9817,08,2024,31,2809,1
000006,001355.5357,08,2024,10,"    "," "
000006,001355.5357,08,2024,05,"    "," "
000007,001088.9678,08,2024,56,2809,1
000007,001152.6522,08,2024,56,2809,1
000007,001497.1043,08,2024,17,"    ",3
000008,001152.6522,08,2024,60,2809,1
000008,001291.5639,08,2024,80,2809,1
000008,001368.0227,08,2024,36,2809,1
000009,001239.2101,08,2024,48,2809,1
000009,001324.1569,08,2024,26,2809,1
000009,001497.1043,08,2024,22,2809,1
000009,001497.1043,08,2024,17,2809,1
000010,001088.9678,08,2024,56,"    ",3
000010,001152.6522,08,2024,56,2809,1
000010,001794.4253,08,2024,21,"    ",3
000010,001794.4253,08,2024,16,"    ",3
000011,001291.5639,08,2024,75,"    ",3
000011,001239.2101,08,2024,50,"    ",3
000012,001291.5639,08,2024,78,"    ",3
000013,001251.5455,08,2024,37,2809,1
000013,001355.5357,08,2024,13,"    "," "
000014,001291.5639,08,2024,76,"    ",3
000014,001324.1569,08,2024,29,2809,1
000014,001454.9817,08,2024,29,2809,1
000014,001355.5357,08,2024,11,"    "," "
000014,001804.6674,08,2024,12,"    "," "
000014,001804.6674,08,2024,09,"    "," "
