Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
ATTENTION,: Montville Place - Sauyo,,,,,
LOCATION,": Linum St.,Sauyo Rd., Sauyo Q.C",,,,,
SUBJECT,: Bill of Materials ( Unit : ANDREW ),,,,,
,,,,,,
ITEM,DESCRIPTION,QTY,UNIT,UNIT COST,AMOUNT,
1,MASONRY WORKS,,,,,
,Portland Cement,580,Bags,190,110200,
,S-1 Sand,98,m3,700,68600,
,3/4 Gravel,50,Pcs.,900,45000,
,"4"" CHB",1000,Pcs.,8,8000,
,16 mm diameter Deform Bar,240,Pcs.,375,90000,
,10 mm diameter Deform Bar,600,Pcs.,155,93000,
,16x16 Vinyl Tiles,517,Pcs.,18,9306,
,12x12 Vinyl Tiles,1090,Pcs.,12,13080,
,2x6 Dec. Stone,35,m3,500,17500,
,,,,,,
,,,,,454686,
2,ROOF FRAMING,,,,,
,2x2x3/16 Angular Bar,47,Pcs.,600,28200,206.8
,2x4x#16 C-Purlins,56,Pcs.,350,19600,246.40000000000003
,Welding Rod,4,box,80,320,17.6
,,,,,,
,,,,,48120,
,,,,,,
3,ROOFING,,,,,
,#26 G.I Sheet,339,m2,500,169500,1491.6000000000001
,,,,,,
,,,,,169500,
,,,,,,
4,CARPENTRY,,,,,
,1X12X8 Pascia Bd.,50,Pcs.,336,16800,220.00000000000003
,2x2x10 Good Lumber,300,bd. Ft.,36,10800,1320.0
,1/4 Thk Plywood,55,Pcs.,260,14300,242.00000000000003
,Forbs and Scaffs,4,Lot,1000,4000,17.6
,Flash Door w/ locks,3,Sets,2000,6000,13.200000000000001
,PVC Door w/ locks,3,Sets,3000,9000,13.200000000000001
,3/4 Plyboard,18,Pcs.,700,12600,79.2
,Stickwell,4,Gal.,350,1400,17.6
,Miscellaneous,4,lot,4000,16000,17.6
,,,,,,
,,,,,90900,
,,,,,,
5,TOILET AND BATH,,,,,
,12X12 Floor Tiles,150,Pcs.,28,4200,660.0
,12x12 Wall Tiles,200,Pcs.,26,5200,880.0000000000001
,Water Closet,3,Sets,4500,27000,13.200000000000001
,Lavatory,3,Sets,,,13.200000000000001
,Kit. Sink,4,Set,550,2200,17.6
,Tiles Grout,13,bags,45,585,57.2
,,,,,,
,,,,,39185,
,,,,,,
,,,,,,
,,,,,,
6,STEEL WORKS,,,,,
,.80 x 1.2 Steel Csmt. Window,35,m2,1200,42000,154.0
,1.60 x 1.2 Steel Csmt. Window,18,m2,800,14400,79.2
,.70 x 2.10 Steel Csmt. Door,18,panels,1500,27000,79.2
,5.6 m2 Railings,26,m2,1200,31200,114.4
,,,,,,
,,,,,114600,
,,,,,,
7,PLUMBING,,,,,
,Water Meter,4,Set,350,1400,17.6
,Gate Valve,4,Pc.,175,700,17.6
,Control Valve,9,Pcs.,150,1350,39.6
,Angle Valve,31,Pcs.,90,2790,136.4
,Hose Bibb,9,Pcs.,90,810,39.6
,Center Set Faucet,18,Sets.,150,2700,79.2
,Kitchen Faucet,4,Set,150,600,17.6
,1/2 diameter PVC Pipe,48,Pcs.,45,2160,211.20000000000002
,1/2 diameter Tee,48,Pcs.,10,480,211.20000000000002
,1/2 diameter Elbow,57,Pcs.,8,456,250.8
,Nipple,35,Pcs.,10,350,154.0
,1/2 diameter Coupling,70,Pcs.,8,560,308.0
,Thread Seal Tape,48,Pcs.,10,480,211.20000000000002
,,,,,,
,,,,,14836,
,,,,,,
8,SANITARY,,,,,
,4” diameter Clean-out,25,Pcs.,65,1625,110.00000000000001
,2” diameter Clean-out,4,Pc.,25,100,17.6
