HARVARD MULTILAND REALTY CORP.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
BILL OF QUANTITIES,,,,,,,,,,,,,,,
PROJECT :,MONTVILLE PLACE : SAUYO [PROPOSED TOWNHOUSES],,,,,,,,,,2009-12-10 00:00:00,,,,
LOCATION :,"LINUM ST., SAUYO ROAD, SAUYO, QUEZON CITY",,,,,,,,,,2  OF  8,,,,
SUBJECT :,BILL OF QUATITIES [ UNIT : BERN ],,,,,,,,,,,,,,
NO.,SCOPE OF WORKS,,,,,MATERIALS,,LABOR,,TOTAL,GRAND,,,,
,,,,UNIT,QTY,UNIT,TOTAL,UNIT,TOTAL,UNIT,TOTAL,OLD PRICE,,,
,,,,,,COST,COST,COST,COST,COST,COST,,,,
1,M A S O N R Y  W O R K S,,,,,,,,,,,,,,
a.,"CHB 5""",,,pcs,1800,11.5,20700,2.3000000000000003,4140.000000000001,13.8,24840,,,,0.0
b.,"CHB 4""",,,pcs,350,10.5,3675,2.1,735,12.6,4410,,,,
c.,Portland Cement,,,bags,400,240,96000,48,19200,288,115200,230,,,
d.,S-1 White Sand,,,cu.m.,28.3,1630,46129,326,9225.800000000001,1956,55354.8,600,,,
e.,3/4 Gravel,,,cu.m.,18.2,1450,26390,290,5278,1740,31668,950,,,
,TOTAL MASONRY WORKS COST,,,,,,192894,,38578.8,,231472.8,,,,
2,F O R M W O R K S,,,,,,,,,,,,,,
a.,18mm Phenolic Board,,,pcs,25,1350,33750,270,6750,1620,40500,,,,
b.,2x3x12 Cocolumber,,,bd.ft.,90,20,1800,4,360,24,2160,,,,
c.,2x3x10 Cocolumber,,,bd.ft.,290,160,46400,32,9280,192,55680,20,,,
d.,2x2x8 Cocolumber,,,bd.ft.,50,20,1000,4,200,24,1200,,,,
,TOTAL FORMWORKS COST,,,,,,82950,,16590,,99540,,,,
3,S T E E L  W O R K S,,,,,,,,,,,,,,
a.,16mm dia. Deformed Bars,,,pcs,140,450,63000,90,12600,540,75600,315,,,
b.,12mm dia. Deformed Bars,,,pcs,69,254,17526,50.800000000000004,3505.2000000000003,304.8,21031.2,220,,,
c.,10mm dia. Deformed Bars,,,pcs,328,187,61336,37.4,12267.199999999999,224.4,73603.2,150,,,
d.,G.I. Wire # 16,,,roll,3,1750,5250,350,1050,2100,6300,1650,,,
e.,1.5mm 1x1 Tubular Steel,,,pcs,5,515,2575,103,515,618,3090,340,,,
f.,1.5mm 1x2 Tubular Steel,,,pcs,3,506,1518,101.2,303.6,607.2,1821.6000000000001,475,,,
g.,1.5mm 2x2 Tubular Steel,,,pcs,2,1000,2000,200,400,1200,2400,650,,,
h.,Roof Framing,,,,,,,,,,,,,,
,h.1. 6mm x 50 x 50mm Shelf Angle Bars,,,pcs,12,850,10200,170,2040,1020,12240,,,,
,h.2. GA. 18 - 50 x 100mm x 6.0m. C. Purlins,,,pcs,14,950,13300,190,2660,1140,15960,485,,,
,h.3. Sag Rods : 12mmǾ D.S. Bars,,,pcs,6,380,2280,76,456,456,2736,280,,,
,h.4. Welding rod,,,kgs.,10,150,1500,30,300,180,1800,100,,,
,TOTAL STEEL WORKS COST,,,,,,180485,,36097,,216582,,,,
4,R O O F I N G  W O R K S,,,,,,,,,,,,,,
a.,Panels,,,,,,,,,,,,,,
,a.1. Megarib 0.6M x 1.035 x LS,,,lm,40.5,435.75,17647.875,87.15,3529.5750000000003,522.9,21177.45,,,,
b.,Bended Materials,,,,,,,,,,,,,,
,b.1. Firewall Capping 0.4m x 0.915m x 2.44m,,,pcs,9,552.16,4969.44,110.432,993.888,662.592,5963.3279999999995,,,,
,b.2. Flashing 0.4m x 1.22m x 2.44m,,,pcs,5,734.72,3673.6000000000004,146.94400000000002,734.72,881.664,4408.32,,,,
,b.3. Gutter/Flashing 0.4m x 1.22m x 2.44m,,,pcs,2,734.72,1469.44,146.94400000000002,293.88800000000003,881.664,1763.328,,,,
,b.4. Wall Capping 0.4m x 0.457m x 2.44m,,,pcs,3,275.52,826.56,55.104,165.312,330.62399999999997,991.8719999999998,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HARVARD MULTILAND REALTY CORP.,,,,,,,,,,,,,,,
BILL OF QUANTITIES,,,,,,,,,,,,,,,
PROJECT :,MONTVILLE PLACE : SAUYO [PROPOSED TOWNHOUSES],,,,,,,,,,2009-12-10 00:00:00,,,,
LOCATION :,"LINUM ST., SAUYO ROAD, SAUYO, QUEZON CITY",,,,,,,,,,2  OF  8,,,,
SUBJECT :,BILL OF QUATITIES [ UNIT : BERN ],,,,,,,,,,,,,,
NO.,SCOPE OF WORKS,,,,,MATERIALS,,LABOR,,TOTAL,GRAND,,,,
,,,,UNIT,QTY,UNIT,TOTAL,UNIT,TOTAL,UNIT,TOTAL,,,,
,,,,,,COST,COST,COST,COST,COST,COST,,,,
c.,Insulation,,,,,,,,,,,,,,
,c.1. Insulation 5mm x 50m 1-sided Aluminum,,,roll,1,3700,3700,740,740,4440,4440,1767.5,,,
d.,Hardware and Accessories,,,,,,,,,,,,,,
,d.1. 12 x 65mm Tek Screw,,,pcs,279,1.5,418.5,0.30000000000000004,83.70000000000002,1.8,502.2,,,,
,d.2. 1/2 x 5/32 Blind Rivets,,,box,1,350,350,70,70,420,420,,,,
,d.3. Silicon Sealant,,,tube,3,150,450,30,90,180,540,,,,
,d.4. Touch-up Paint #300ml.,,,can,1,300,300,60,60,360,360,,,,
,TOTAL ROOFING WORKS COST,,,,,,33805.415,,6761.0830000000005,,80723.498,,,,
5,P L U M B I N G  W O R K S,,,,,,,,,,,,,,
a.,Sanitary,,,,,,,,,,,,,,
,"a.1. 4"" dia. Clean Out",,,pcs,5,155,775,31,155,186,930,65,,,
,"a.2. 2"" dia. Clean Out",,,pcs,1,49,49,9.8,9.8,58.8,58.8,25,,,
,"a.3. 6"" dia. PVC Pipe",,,pcs,5,900,4500,180,900,1080,5400,,,,
,"a.4. 4"" dia. PVC Pipe",,,pcs,9,864,7776,172.8,1555.2,1036.8,9331.199999999999,560,,,
,"a.5. 2"" dia. PVC Pipe",,,pcs,3,603,1809,120.60000000000001,361.8,723.6,2170.8,210,,,
,"a.6. 4"" dia. 1/4 Bend",,,pcs,8,96,768,19.200000000000003,153.60000000000002,115.2,921.6,,,,
,"a.7. 4"" dia. 1/8 Bend",,,pcs,5,96,480,19.200000000000003,96.00000000000001,115.2,576,,,,
,"a.8. 4"" dia. WYE",,,pcs,5,165,825,33,165,198,990,,,,
,"a.9. 2"" dia. WYE",,,pcs,2,97,194,19.400000000000002,38.800000000000004,116.4,232.8,,,,
,"a.10. 4"" dia. TEE",,,pcs,2,186,372,37.2,74.4,223.2,446.4,165,,,
,"a.11. 2"" dia. 1/4 Bend",,,pcs,5,25,125,5,25,30,150,,,,
,"a.12. 2"" dia. 1/2 Bend",,,pcs,2,25,50,5,10,30,60,,,,
,"a.13. 4""x2"" dia. WYE",,,pcs,5,97,485,19.400000000000002,97.00000000000001,116.4,582,,,,
,"a.14. 4"" dia. Coupling",,,pcs,5,65,325,13,65,78,390,,,,
,"a.15. 2"" dia. Coupling",,,pcs,5,25,125,5,25,30,150,,,,
b.,Waterline,,,,,,,,,,,,,,
,b.1. Water Meter,,,pcs,1,350,350,70,70,420,420,,,,
,b.2. Gate Valve,,,pcs,1,360,360,72,72,432,432,175,,,
,b.3. Control Valve,,,pcs,2,150,300,30,60,180,360,,,,
,b.4. Angle Valve,,,pcs,7,90,630,18,126,108,756,,,,
,b.5. Hose Bibb,,,pcs,2,90,180,18,36,108,216,,,,
,b.6. Center Set Faucet,,,pcs,4,150,600,30,120,180,720,,,,
,b.7. Kitchen Faucet,,,pcs,1,150,150,30,30,180,180,,,,
,b.8. 1/2 dia. PVC Pipe,,,pcs,10,62,620,12.4,124,74.4,744,45,,,
,b.9. 1/2 dia. TEE,,,pcs,10,10,100,2,20,12,120,,,,
,b.10. 1/2 dia. Elbow,,,pcs,7,8,56,1.6,11.200000000000001,9.6,67.2,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HARVARD MULTILAND REALTY CORP.,,,,,,,,,,,,,,,
BILL OF QUANTITIES,,,,,,,,,,,,,,,
PROJECT :,MONTVILLE PLACE : SAUYO [PROPOSED TOWNHOUSES],,,,,,,,,,2009-12-10 00:00:00,,,,
LOCATION :,"LINUM ST., SAUYO ROAD, SAUYO, QUEZON CITY",,,,,,,,,,2  OF  8,,,,
SUBJECT :,BILL OF QUATITIES [ UNIT : BERN ],,,,,,,,,,,,,,
NO.,SCOPE OF WORKS,,,,,MATERIALS,,LABOR,,TOTAL,GRAND,,,,
,,,,UNIT,QTY,UNIT,TOTAL,UNIT,TOTAL,UNIT,TOTAL,,,,
,,,,,,COST,COST,COST,COST,COST,COST,,,,
,b.11. Nipple,,,pcs,7,10,70,2,14,12,84,,,,
,b.12. 1/2 dia. Coupling,,,pcs,15,8,120,1.6,24,9.6,144,,,,
,b.13. Thread Seal Tape,,,pcs,10,10,100,2,20,12,120,,,,
,TOTAL PLUMBING WORKS COST,,,,,,22294,,3394,,60521,,,,
6,E L E C T R I C A L  W O R K S,,,,,,,,,,,,,,
a.,Electrical,,,,,,,,,,,,,,
,"a.1. 1""x4"" Entrance Cap",,,set,1,45,45,9,9,54,54,,,,
,"a.2. 1"" dia. PVC Pipe",,,pcs,1,280,280,56,56,336,336,,,,
,a.3. Meter Base,,,set,1,270,270,54,54,324,324,,,,
,"a.4. 1"" dia. PVC Conduit Pipe",,,pcs,3,100,300,20,60,120,360,,,,
,"a.5. 1"" dia. PVC Conduit Bend",,,pcs,2,60,120,12,24,72,144,,,,
,a.6. 4x4x2 Pull Box,,,pcs,2,25,50,5,10,30,60,,,,
,a.7. 100 amp Main Circ. Brkr w/ 10 Branches,,,set,1,3630,3630,726,726,4356,4356,,,,
,a.8. 32 watts Circ. Light,,,set,6,180,1080,36,216,216,1296,,,,
,a.9. 18 watts Pin Light,,,set,7,115,805,23,161,138,966,,,,
,a.10. 1 Gang Switch,,,set,6,65,390,13,78,78,468,,,,
,a.11. 2 Gang Switch,,,set,4,95,380,19,76,114,456,,,,
,a.12. Convinience Outlet,,,set,15,75,1125,15,225,90,1350,,,,
,a.13. 3-Prong Outlet,,,set,5,75,375,15,75,90,450,,,,
,a.14. #8 THHN Stranded Wire,,,mts,20,100,2000,20,400,120,2400,80,,,
,a.15. #10 THHN Stranded Wire,,,mts,70,50,3500,10,700,60,4200,,,,
,a.16. #12 THHN Stranded Wire,,,box,1,4356,4356,871.2,871.2,5227.2,5227.2,3800,,,
,a.17. #14 THHN Stranded Wire,,,box,1,3600,3600,720,720,4320,4320,2800,,,
,a.18. 2x2x4 Utility Box,,,pcs,30,12,360,2.4000000000000004,72.00000000000001,14.4,432,,,,
,a.19. 2x2x4 Junction Box,,,pcs,14,12,168,2.4000000000000004,33.60000000000001,14.4,201.6,,,,
,a.20. Electrical Tape,,,pcs,5,22,110,4.4,22,26.4,132,,,,
,"a.21. 1"" dia. Moldflex",,,roll,1,1000,1000,200,200,1200,1200,,,,
,a.22. 3/4 dia. Moldflex,,,roll,2,700,1400,140,280,840,1680,,,,
,TOTAL ELECTRICAL WORKS COST,,,,,,25344,,5068.8,,30412.8,,,,
7,C A R P E N T R Y  W O R K S,,,,,,,,,,,,,,
a.,0.40mm  1x2 Metal Furring,,,pcs,130,130,16900,26,3380,156,20280,,,,
b.,12mm 4x8 Gypsum Board,,,pcs,25,1150,28750,230,5750,1380,34500,,,,
c.,# 4 1/4 Gypsum Screw,,,pcs,2500,1.75,4375,0.35000000000000003,875.0000000000001,2.1,5250,,,,
d.,# 2 Gypsum Screw,,,pcs,800,2.25,1800,0.45,360,2.7,2160,,,,
e.,1/8x1/2 Blind Rivet,,,box,3,350,1050,70,210,420,1260,,,,
f.,4x8 HardiFlex,,,pcs,20,750,15000,150,3000,900,18000,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HARVARD MULTILAND REALTY CORP.,,,,,,,,,,,,,,,
BILL OF QUANTITIES,,,,,,,,,,,,,,,
PROJECT :,MONTVILLE PLACE : SAUYO [PROPOSED TOWNHOUSES],,,,,,,,,,2009-12-10 00:00:00,,,,
LOCATION :,"LINUM ST., SAUYO ROAD, SAUYO, QUEZON CITY",,,,,,,,,,2  OF  8,,,,
