Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
National Capital Region,Region,NCR,2018,10th Decile,355545.54,FALSE
National Capital Region,Region,NCR,2018,1st Decile,70127.21,FALSE
National Capital Region,Region,NCR,2018,2nd Decile,87785.99,FALSE
National Capital Region,Region,NCR,2018,3rd Decile,101204.78,FALSE
National Capital Region,Region,NCR,2018,4th Decile,111696.33,FALSE
National Capital Region,Region,NCR,2018,5th Decile,124357.3,FALSE
National Capital Region,Region,NCR,2018,6th Decile,136331.78,FALSE
National Capital Region,Region,NCR,2018,7th Decile,156437.84,FALSE
National Capital Region,Region,NCR,2018,8th Decile,173262.16,FALSE
National Capital Region,Region,NCR,2018,9th Decile,211020.73,FALSE
National Capital Region,Region,NCR,2018,All Income Groups,1527769.65,FALSE
National Capital Region,Region,NCR,2021,10th Decile,315898.85,FALSE
National Capital Region,Region,NCR,2021,1st Decile,77163.78,FALSE
National Capital Region,Region,NCR,2021,2nd Decile,91809.85,FALSE
National Capital Region,Region,NCR,2021,3rd Decile,103516.9,FALSE
National Capital Region,Region,NCR,2021,4th Decile,113145.22,FALSE
National Capital Region,Region,NCR,2021,5th Decile,125436.46,FALSE
National Capital Region,Region,NCR,2021,6th Decile,134488.1,FALSE
National Capital Region,Region,NCR,2021,7th Decile,148349.74,FALSE
National Capital Region,Region,NCR,2021,8th Decile,169983.54,FALSE
National Capital Region,Region,NCR,2021,9th Decile,187836.03,FALSE
National Capital Region,Region,NCR,2021,All Income Groups,1467628.46,FALSE
National Capital Region,Region,NCR,2023,10th Decile,427620.84,TRUE
National Capital Region,Region,NCR,2023,1st Decile,94452.9,TRUE
National Capital Region,Region,NCR,2023,2nd Decile,117464.79,TRUE
National Capital Region,Region,NCR,2023,3rd Decile,127934.6,TRUE
National Capital Region,Region,NCR,2023,4th Decile,141971.78,TRUE
National Capital Region,Region,NCR,2023,5th Decile,154774.39,TRUE
National Capital Region,Region,NCR,2023,6th Decile,170358.4,TRUE
National Capital Region,Region,NCR,2023,7th Decile,188200.04,TRUE
National Capital Region,Region,NCR,2023,8th Decile,208683.05,TRUE
National Capital Region,Region,NCR,2023,9th Decile,234340.51,TRUE
National Capital Region,Region,NCR,2023,All Income Groups,1865801.3,TRUE
Manila,Province,NCR,2018,10th Decile,40344.05,FALSE
Manila,Province,NCR,2018,1st Decile,9229,FALSE
Manila,Province,NCR,2018,2nd Decile,12068.34,FALSE
Manila,Province,NCR,2018,3rd Decile,14075.71,FALSE
Manila,Province,NCR,2018,4th Decile,16395.65,FALSE
Manila,Province,NCR,2018,5th Decile,16359.63,FALSE
Manila,Province,NCR,2018,6th Decile,18953.61,FALSE
Manila,Province,NCR,2018,7th Decile,21199.05,FALSE
Manila,Province,NCR,2018,8th Decile,22872.7,FALSE
Manila,Province,NCR,2018,9th Decile,25676.51,FALSE
Manila,Province,NCR,2018,All Income Groups,197174.25,FALSE
Manila,Province,NCR,2021,10th Decile,36244.13,FALSE
Manila,Province,NCR,2021,1st Decile,12756.53,FALSE
Manila,Province,NCR,2021,2nd Decile,14367.17,FALSE
Manila,Province,NCR,2021,3rd Decile,15252.71,FALSE
Manila,Province,NCR,2021,4th Decile,17313.18,FALSE
Manila,Province,NCR,2021,5th Decile,18312.17,FALSE
Manila,Province,NCR,2021,6th Decile,18747.08,FALSE
Manila,Province,NCR,2021,7th Decile,21382.04,FALSE
Manila,Province,NCR,2021,8th Decile,23313.65,FALSE
Manila,Province,NCR,2021,9th Decile,26681.02,FALSE
Manila,Province,NCR,2021,All Income Groups,204369.69,FALSE
Manila,Province,NCR,2023,10th Decile,47901.45,TRUE
Manila,Province,NCR,2023,1st Decile,12026.79,TRUE
Manila,Province,NCR,2023,2nd Decile,16715.58,TRUE
Manila,Province,NCR,2023,3rd Decile,18672.51,TRUE
Manila,Province,NCR,2023,4th Decile,20079.84,TRUE
Manila,Province,NCR,2023,5th Decile,20757.54,TRUE
Manila,Province,NCR,2023,6th Decile,22831.85,TRUE
Manila,Province,NCR,2023,7th Decile,25612.84,TRUE
Manila,Province,NCR,2023,8th Decile,30157.34,TRUE
Manila,Province,NCR,2023,9th Decile,31476.92,TRUE
Manila,Province,NCR,2023,All Income Groups,246232.67,TRUE
Mandaluyong,Province,NCR,2018,10th Decile,27465.28,FALSE
Mandaluyong,Province,NCR,2018,1st Decile,2706.97,FALSE
Mandaluyong,Province,NCR,2018,2nd Decile,3517.13,FALSE
Mandaluyong,Province,NCR,2018,3rd Decile,3899.12,FALSE
Mandaluyong,Province,NCR,2018,4th Decile,4683.56,FALSE
Mandaluyong,Province,NCR,2018,5th Decile,4765.88,FALSE
Mandaluyong,Province,NCR,2018,6th Decile,5746.47,FALSE
Mandaluyong,Province,NCR,2018,7th Decile,6346.94,FALSE
Mandaluyong,Province,NCR,2018,8th Decile,7644.74,FALSE
Mandaluyong,Province,NCR,2018,9th Decile,10370.08,FALSE
Mandaluyong,Province,NCR,2018,All Income Groups,77146.17,FALSE
