Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
National Capital Region,Region,NCR,2018,10th Decile,355545.54,False
National Capital Region,Region,NCR,2018,1st Decile,70127.21,False
National Capital Region,Region,NCR,2018,2nd Decile,87785.99,False
National Capital Region,Region,NCR,2018,3rd Decile,101204.78,False
National Capital Region,Region,NCR,2018,4th Decile,111696.33,False
National Capital Region,Region,NCR,2018,5th Decile,124357.3,False
National Capital Region,Region,NCR,2018,6th Decile,136331.78,False
National Capital Region,Region,NCR,2018,7th Decile,156437.84,False
National Capital Region,Region,NCR,2018,8th Decile,173262.16,False
National Capital Region,Region,NCR,2018,9th Decile,211020.73,False
National Capital Region,Region,NCR,2018,All Income Groups,1527769.65,False
National Capital Region,Region,NCR,2021,10th Decile,315898.85,False
National Capital Region,Region,NCR,2021,1st Decile,77163.78,False
National Capital Region,Region,NCR,2021,2nd Decile,91809.85,False
National Capital Region,Region,NCR,2021,3rd Decile,103516.9,False
National Capital Region,Region,NCR,2021,4th Decile,113145.22,False
National Capital Region,Region,NCR,2021,5th Decile,125436.46,False
National Capital Region,Region,NCR,2021,6th Decile,134488.1,False
National Capital Region,Region,NCR,2021,7th Decile,148349.74,False
National Capital Region,Region,NCR,2021,8th Decile,169983.54,False
National Capital Region,Region,NCR,2021,9th Decile,187836.03,False
National Capital Region,Region,NCR,2021,All Income Groups,1467628.46,False
National Capital Region,Region,NCR,2023,10th Decile,427620.84,False
National Capital Region,Region,NCR,2023,1st Decile,94452.9,False
National Capital Region,Region,NCR,2023,2nd Decile,117464.79,False
National Capital Region,Region,NCR,2023,3rd Decile,127934.6,False
National Capital Region,Region,NCR,2023,4th Decile,141971.78,False
National Capital Region,Region,NCR,2023,5th Decile,154774.39,False
National Capital Region,Region,NCR,2023,6th Decile,170358.4,False
National Capital Region,Region,NCR,2023,7th Decile,188200.04,False
National Capital Region,Region,NCR,2023,8th Decile,208683.05,False
National Capital Region,Region,NCR,2023,9th Decile,234340.51,False
National Capital Region,Region,NCR,2023,All Income Groups,1865801.3,False
Manila,Province,NCR,2018,10th Decile,40344.05,False
Manila,Province,NCR,2018,1st Decile,9229.0,False
Manila,Province,NCR,2018,2nd Decile,12068.34,False
Manila,Province,NCR,2018,3rd Decile,14075.71,False
Manila,Province,NCR,2018,4th Decile,16395.65,False
Manila,Province,NCR,2018,5th Decile,16359.63,False
Manila,Province,NCR,2018,6th Decile,18953.61,False
Manila,Province,NCR,2018,7th Decile,21199.05,False
Manila,Province,NCR,2018,8th Decile,22872.7,False
Manila,Province,NCR,2018,9th Decile,25676.51,False
Manila,Province,NCR,2018,All Income Groups,197174.25,False
Manila,Province,NCR,2021,10th Decile,36244.13,False
Manila,Province,NCR,2021,1st Decile,12756.53,False
Manila,Province,NCR,2021,2nd Decile,14367.17,False
Manila,Province,NCR,2021,3rd Decile,15252.71,False
Manila,Province,NCR,2021,4th Decile,17313.18,False
Manila,Province,NCR,2021,5th Decile,18312.17,False
Manila,Province,NCR,2021,6th Decile,18747.08,False
Manila,Province,NCR,2021,7th Decile,21382.04,False
Manila,Province,NCR,2021,8th Decile,23313.65,False
Manila,Province,NCR,2021,9th Decile,26681.02,False
Manila,Province,NCR,2021,All Income Groups,204369.69,False
Manila,Province,NCR,2023,10th Decile,47901.45,False
Manila,Province,NCR,2023,1st Decile,12026.79,False
Manila,Province,NCR,2023,2nd Decile,16715.58,False
Manila,Province,NCR,2023,3rd Decile,18672.51,False
Manila,Province,NCR,2023,4th Decile,20079.84,False
Manila,Province,NCR,2023,5th Decile,20757.54,False
Manila,Province,NCR,2023,6th Decile,22831.85,False
Manila,Province,NCR,2023,7th Decile,25612.84,False
Manila,Province,NCR,2023,8th Decile,30157.34,False
Manila,Province,NCR,2023,9th Decile,31476.92,False
Manila,Province,NCR,2023,All Income Groups,246232.67,False
Mandaluyong,Province,NCR,2018,10th Decile,27465.28,False
Mandaluyong,Province,NCR,2018,1st Decile,2706.97,False
Mandaluyong,Province,NCR,2018,2nd Decile,3517.13,False
Mandaluyong,Province,NCR,2018,3rd Decile,3899.12,False
Mandaluyong,Province,NCR,2018,4th Decile,4683.56,False
Mandaluyong,Province,NCR,2018,5th Decile,4765.88,False
Mandaluyong,Province,NCR,2018,6th Decile,5746.47,False
Mandaluyong,Province,NCR,2018,7th Decile,6346.94,False
Mandaluyong,Province,NCR,2018,8th Decile,7644.74,False
Mandaluyong,Province,NCR,2018,9th Decile,10370.08,False
Mandaluyong,Province,NCR,2018,All Income Groups,77146.17,False
Mandaluyong,Province,NCR,2021,10th Decile,11970.43,False
Mandaluyong,Province,NCR,2021,1st Decile,3956.37,False
Mandaluyong,Province,NCR,2021,2nd Decile,4231.84,False
Mandaluyong,Province,NCR,2021,3rd Decile,4447.2,False
Mandaluyong,Province,NCR,2021,4th Decile,5169.04,False
Mandaluyong,Province,NCR,2021,5th Decile,5413.22,False
Mandaluyong,Province,NCR,2021,6th Decile,5908.25,False
Mandaluyong,Province,NCR,2021,7th Decile,6108.5,False
