Area,Area_Level,Region,IncomeGroup,Value_2018,Value_2021,Value_2023,pct_change_2018_2021,pct_change_2021_2023
Angeles,Province,Region III (Central Luzon),10th Decile,7610.29,12089.72,10251.47,58.86017484,-15.20506678
Angeles,Province,Region III (Central Luzon),1st Decile,2354.89,3435.55,4790.08,45.89004157,39.42687488
Angeles,Province,Region III (Central Luzon),2nd Decile,2710.55,3815.46,5672.65,40.76331372,48.67538907
Angeles,Province,Region III (Central Luzon),3rd Decile,2890.25,4256.86,5843.41,47.28345299,37.27042938
Angeles,Province,Region III (Central Luzon),4th Decile,3244.12,4407.98,6195.45,35.87598486,40.55077382
Angeles,Province,Region III (Central Luzon),5th Decile,3542.74,5035.15,6770.01,42.12586868,34.45498148
Angeles,Province,Region III (Central Luzon),6th Decile,3573.39,5289.04,6937.27,48.0118319,31.16312223
Angeles,Province,Region III (Central Luzon),7th Decile,4073.35,5551.37,7303.45,36.28512158,31.56121822
Angeles,Province,Region III (Central Luzon),8th Decile,4388.53,6160.52,7785.74,40.37775747,26.38121457
Angeles,Province,Region III (Central Luzon),9th Decile,4835.36,6786.25,8178.31,40.34632375,20.51294898
Angeles,Province,Region III (Central Luzon),All Income Groups,39223.47,56827.9,69727.85,44.88238802,22.70002939
Aurora,Province,Region III (Central Luzon),10th Decile,4800.27,4721.34,5186.72,-1.644282509,9.856947392
Aurora,Province,Region III (Central Luzon),1st Decile,613.6,615.34,840.35,0.28357236,36.56677609
Aurora,Province,Region III (Central Luzon),2nd Decile,727.45,772.23,1015.84,6.155749536,31.54630097
Aurora,Province,Region III (Central Luzon),3rd Decile,861.82,911.73,1090.25,5.791232508,19.58035822
Aurora,Province,Region III (Central Luzon),4th Decile,870.65,1000.28,1108.23,14.88887613,10.79197825
Aurora,Province,Region III (Central Luzon),5th Decile,944.17,1072.69,1271.27,13.61195547,18.51233814
Aurora,Province,Region III (Central Luzon),6th Decile,996.03,1196.01,1341.3,20.0777085,12.14789174
Aurora,Province,Region III (Central Luzon),7th Decile,1089.4,1431.43,1429.71,31.39618138,-0.120159561
Aurora,Province,Region III (Central Luzon),8th Decile,1606.7,1595.95,1808.66,-0.669073256,13.32811178
Aurora,Province,Region III (Central Luzon),9th Decile,2217.29,2103.14,2374.78,-5.148176377,12.91592571
Aurora,Province,Region III (Central Luzon),All Income Groups,14727.37,15420.13,17467.09,4.703894857,13.27459626
Bataan,Province,Region III (Central Luzon),10th Decile,20379.59,22452.36,20238.28,10.17081305,-9.861235077
Bataan,Province,Region III (Central Luzon),1st Decile,2960.18,2889.87,3663.45,-2.3751934,26.76867818
Bataan,Province,Region III (Central Luzon),2nd Decile,4007.2,4054.09,4612.39,1.170143741,13.77127789
Bataan,Province,Region III (Central Luzon),3rd Decile,4614.35,4705.24,5101.35,1.96972488,8.418486623
Bataan,Province,Region III (Central Luzon),4th Decile,5231.8,5218.69,6257.03,-0.250582973,19.89656408
Bataan,Province,Region III (Central Luzon),5th Decile,6113.36,5561.95,6880.33,-9.019753458,23.70355721
Bataan,Province,Region III (Central Luzon),6th Decile,6483.69,6382.95,7385.34,-1.553744858,15.70418067
Bataan,Province,Region III (Central Luzon),7th Decile,6840.08,7075.05,7945.03,3.43519374,12.2964502
Bataan,Province,Region III (Central Luzon),8th Decile,8444.53,8559.97,9469.98,1.367038781,10.6309952
Bataan,Province,Region III (Central Luzon),9th Decile,9551.95,9471.29,11637.52,-0.844434906,22.87154126
Bataan,Province,Region III (Central Luzon),All Income Groups,74626.73,76371.47,83190.7,2.33795585,8.929028078
Batangas,Province,Region IV-A (Calabarzon),10th Decile,63447.48,61097.96,76706.73,-3.703094276,25.54712138
Batangas,Province,Region IV-A (Calabarzon),1st Decile,10695.71,13491.75,15812.56,26.14169606,17.20169733
Batangas,Province,Region IV-A (Calabarzon),2nd Decile,12515.48,15926.96,18803.46,27.25808359,18.06057151
Batangas,Province,Region IV-A (Calabarzon),3rd Decile,15720.82,18281.64,21804.79,16.28935386,19.2715205
Batangas,Province,Region IV-A (Calabarzon),4th Decile,16173.37,19775.34,24124.34,22.27099238,21.99203655
Batangas,Province,Region IV-A (Calabarzon),5th Decile,19888.3,20659.39,27332.17,3.877103624,32.29901754
Batangas,Province,Region IV-A (Calabarzon),6th Decile,21272.83,25011.22,28811.43,17.57354334,15.19402092
Batangas,Province,Region IV-A (Calabarzon),7th Decile,22652.89,26880.54,31639.43,18.66274016,17.70384821
Batangas,Province,Region IV-A (Calabarzon),8th Decile,27584.76,34258.81,37867.52,24.19470026,10.53367003
Batangas,Province,Region IV-A (Calabarzon),9th Decile,35574.04,34933.99,44228.13,-1.799205263,26.60486248
Batangas,Province,Region IV-A (Calabarzon),All Income Groups,245525.68,270317.58,327130.55,10.09747738,21.01711994
Bulacan,Province,Region III (Central Luzon),10th Decile,64276.4,69618.47,61163.82,8.311090851,-12.14426287
Bulacan,Province,Region III (Central Luzon),1st Decile,13347.37,13696.51,19188.78,2.615796221,40.09977724
Bulacan,Province,Region III (Central Luzon),2nd Decile,16170.3,19038.71,23684.81,17.73875562,24.4034391
Bulacan,Province,Region III (Central Luzon),3rd Decile,19603.63,20477.3,26399.89,4.456674606,28.92270954
Bulacan,Province,Region III (Central Luzon),4th Decile,21732.12,21213.87,28168.57,-2.384719024,32.78374007
Bulacan,Province,Region III (Central Luzon),5th Decile,24108.05,25647.67,28215.41,6.386331537,10.0115917
Bulacan,Province,Region III (Central Luzon),6th Decile,27779.06,26006.34,33627.41,-6.38149743,29.30466186
Bulacan,Province,Region III (Central Luzon),7th Decile,27796.07,30471.34,36692.92,9.624633986,20.417809
Bulacan,Province,Region III (Central Luzon),8th Decile,31916.33,33663.69,38859.48,5.47481493,15.43440425
Bulacan,Province,Region III (Central Luzon),9th Decile,42411.01,41397.88,46692.62,-2.388837238,12.78988199
Bulacan,Province,Region III (Central Luzon),All Income Groups,289140.33,301231.77,342693.71,4.181858684,13.76413251
Caloocan,Province,NCR,10th Decile,28062.5,22637.36,23783.1,-19.33234744,5.06127923
Caloocan,Province,NCR,1st Decile,6913.78,7449.83,9714.43,7.753356341,30.39800908
Caloocan,Province,NCR,2nd Decile,8804.2,8654.86,11273.81,-1.696235887,30.25987711
Caloocan,Province,NCR,3rd Decile,9527.75,9641.16,11602.38,1.190312508,20.342158
Caloocan,Province,NCR,4th Decile,11662.0,10626.57,13567.6,-8.878665752,27.67619279
Caloocan,Province,NCR,5th Decile,12364.79,11525.44,14658.11,-6.788226893,27.18048075
Caloocan,Province,NCR,6th Decile,13480.48,12638.44,15307.98,-6.246365115,21.12238536
Caloocan,Province,NCR,7th Decile,14232.14,13693.4,17141.94,-3.785375917,25.18395723
Caloocan,Province,NCR,8th Decile,16910.58,15020.12,18023.03,-11.1791553,19.99258328
Caloocan,Province,NCR,9th Decile,19393.07,17998.65,19089.52,-7.190300453,6.060843452
Caloocan,Province,NCR,All Income Groups,141351.28,129885.82,154161.91,-8.111323789,18.69033125
Cavite,Province,Region IV-A (Calabarzon),10th Decile,83899.16,100082.52,110395.01,19.28906082,10.30398715
Cavite,Province,Region IV-A (Calabarzon),1st Decile,16117.17,18926.84,25575.28,17.43277511,35.12704709
Cavite,Province,Region IV-A (Calabarzon),2nd Decile,23321.84,24877.93,33277.06,6.672243699,33.76137002
Cavite,Province,Region IV-A (Calabarzon),3rd Decile,26593.72,29622.38,35966.51,11.38862859,21.41667888
Cavite,Province,Region IV-A (Calabarzon),4th Decile,27944.31,32946.0,39130.95,17.89877796,18.77299217
Cavite,Province,Region IV-A (Calabarzon),5th Decile,31693.93,36300.78,44609.95,14.53543313,22.88978364
Cavite,Province,Region IV-A (Calabarzon),6th Decile,38671.54,38078.24,51832.31,-1.534203189,36.12055074
Cavite,Province,Region IV-A (Calabarzon),7th Decile,39938.19,43195.63,52854.2,8.156203373,22.36006281
Cavite,Province,Region IV-A (Calabarzon),8th Decile,48075.92,46207.2,57280.39,-3.887018699,23.96420904
Cavite,Province,Region IV-A (Calabarzon),9th Decile,55236.85,56578.75,76099.32,2.429356489,34.50159291
Cavite,Province,Region IV-A (Calabarzon),All Income Groups,391492.64,426816.26,527020.97,9.022805639,23.47724756
Laguna,Province,Region IV-A (Calabarzon),10th Decile,82422.04,69829.63,102337.19,-15.27796449,46.55267399
Laguna,Province,Region IV-A (Calabarzon),1st Decile,13051.98,14014.76,20268.14,7.376505327,44.61995782
Laguna,Province,Region IV-A (Calabarzon),2nd Decile,18221.79,18402.11,25889.19,0.989584448,40.68598655
Laguna,Province,Region IV-A (Calabarzon),3rd Decile,20325.42,22174.15,28537.96,9.095654604,28.69922861
Laguna,Province,Region IV-A (Calabarzon),4th Decile,25085.78,24572.53,32799.71,-2.045979834,33.48120849
Laguna,Province,Region IV-A (Calabarzon),5th Decile,27496.58,26591.21,35510.49,-3.292664033,33.54221188
Laguna,Province,Region IV-A (Calabarzon),6th Decile,30374.5,30778.49,42435.89,1.330030124,37.87515242
Laguna,Province,Region IV-A (Calabarzon),7th Decile,34663.55,35469.85,43380.88,2.326074508,22.30353385
Laguna,Province,Region IV-A (Calabarzon),8th Decile,42149.4,39439.6,51280.57,-6.429035763,30.0230479
Laguna,Province,Region IV-A (Calabarzon),9th Decile,50780.31,45302.0,58380.15,-10.78825631,28.86881374
Laguna,Province,Region IV-A (Calabarzon),All Income Groups,344571.35,326574.32,440820.18,-5.223019848,34.98311196
Las Pinas,Province,NCR,10th Decile,15304.76,13111.64,17973.95,-14.32965953,37.08391933
Las Pinas,Province,NCR,1st Decile,3428.67,3336.31,4905.24,-2.693755888,47.02590587
Las Pinas,Province,NCR,2nd Decile,4412.58,3976.73,5972.29,-9.877441316,50.18092755
Las Pinas,Province,NCR,3rd Decile,5303.65,4622.11,6668.52,-12.85039548,44.2743682
Las Pinas,Province,NCR,4th Decile,5771.18,5025.24,7403.72,-12.92525965,47.33067475
Las Pinas,Province,NCR,5th Decile,6461.74,5623.53,9040.78,-12.97189302,60.76699155
Las Pinas,Province,NCR,6th Decile,7059.95,6565.61,9110.02,-7.002032592,38.75359639
Las Pinas,Province,NCR,7th Decile,8437.25,6798.1,9793.41,-19.42753859,44.06098763
Las Pinas,Province,NCR,8th Decile,8712.04,7748.51,11876.12,-11.05975179,53.26972541
